"Page: 110  March 12, 2015"
""
"L.203 Net Interbank Transactions"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Foreign banking offices in the U.S., including IBFs; interbank transactions due from foreign affiliates; asset","    1217.3","    1002.0","     963.6","     949.0","     949.7","     875.1","     949.0","     932.9","     944.9","     972.2","     949.7","   30",
"Rest of the world; U.S. deposits at foreign banks; liability","      35.3","      22.9","      20.3","      20.0","      21.1","      18.3","      20.0","      20.5","      21.3","      21.3","      21.1","   31",
"U.S.-chartered depository institutions, including IBFs; deposits at foreign banks; asset","      18.2","      14.3","      11.0","      11.5","      12.2","      11.3","      11.5","      12.5","      12.9","      12.9","      12.2","   32",
"Foreign banking offices in the U.S., including IBFs; deposits at foreign banks; asset","      17.0","       8.6","       9.3","       8.5","       9.0","       7.0","       8.5","       8.0","       8.4","       8.4","       9.0","   33",
"Rest of the world; loans to U.S. private depository institutions; asset","      15.5","      14.2","      15.1","      15.5","      12.8","      18.2","      15.5","      18.0","      15.8","      13.8","      12.8","   34",
"International banking facilities of U.S.-chartered depository institutions; other borrowed money owed to nonrelated foreign banks; liability","       6.3","       6.7","       6.4","       6.4","       4.1","       7.6","       6.4","       6.8","       5.5","       4.6","       4.1","   35",
"International banking facilities of foreign banking offices in U.S.; other borrowed money owed to nonrelated foreign banks; liability","       9.2","       7.5","       8.6","       9.1","       8.6","      10.7","       9.1","      11.3","      10.4","       9.1","       8.6","   36",
"Rest of the world; net interbank transactions with banks in foreign countries; asset","      24.2","     238.1","     102.1","     414.3","     374.5","     440.5","     414.3","     466.9","     493.3","     515.9","     374.5","   37",
"U.S.-chartered depository institutions; net interbank transactions with U.S. banking; liability","      21.3","      62.1","      18.7","      57.2","      11.9","      33.1","      57.2","      29.0","      26.2","      55.0","      11.9","   38",
"U.S.-chartered depository institutions; interbank transactions due to U.S. banks; liability","      91.2","     112.9","     122.0","     174.1","      62.8","     152.4","     174.1","     153.1","     148.7","     109.4","      62.8","   39",
"Foreign banking offices in the U.S., including IBFs; interbank transactions due from U.S. depository institutions; asset","      33.1","      28.2","      31.3","      29.0","      27.6","      50.0","      29.0","      34.0","      39.2","      29.2","      27.6","   40",
"Banks in U.S.-affiliated areas; checkable deposits and currency; asset","       3.3","       4.6","       4.9","       4.7","       5.3","       5.0","       4.7","       5.5","       5.8","       5.2","       5.3","   41",
"Credit unions; interbank transactions due from U.S. depository institutions; asset","      30.0","      51.9","      65.7","      63.5","      63.3","      64.5","      63.5","      63.8","      65.1","      61.7","      63.3","   42",
"Foreign banking offices in the U.S.; interbank transactions due to U.S. banks; liability","      69.9","      50.8","     103.3","     116.9","      50.9","     119.3","     116.9","     124.2","     122.5","      54.4","      50.9","   43",
"Instrument discrepancies; net interbank transactions","      24.8","      28.3","      20.1","      76.9","     -33.4","      32.9","      76.9","      49.8","      38.6","      13.3","     -33.4","   44",
