"Page: 126  March 12, 2015"
""
"L.224 Security Credit"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"All sectors; security credit; liability","    1041.7","    1034.2","    1131.9","    1236.2","    1332.0","    1183.8","    1236.2","    1273.1","    1329.5","    1372.7","    1332.0","    1",
"Households and nonprofit organizations; security credit; liability","     278.2","     238.9","     303.7","     339.2","     369.5","     313.7","     339.2","     320.6","     375.4","     390.3","     369.5","    2",
"Security brokers and dealers; security credit; liability","     763.5","     795.4","     828.2","     897.1","     962.5","     870.0","     897.1","     952.5","     954.1","     982.4","     962.5","    3",
"All sectors; security credit; liability","    1041.7","    1034.2","    1131.9","    1236.2","    1332.0","    1183.8","    1236.2","    1273.1","    1329.5","    1372.7","    1332.0","    4",
"Households and nonprofit organizations; security credit; asset","     725.2","     726.1","     757.0","     815.5","     868.5","     791.5","     815.5","     866.2","     866.6","     892.5","     868.5","    5",
"U.S.-chartered depository institutions; security credit; asset","      23.6","      35.8","      45.0","      52.9","      61.1","      53.9","      52.9","      58.4","      61.0","      60.3","      61.1","    6",
"Foreign banking offices in the U.S.; security credit; asset","      14.7","      33.5","      26.2","      28.7","      33.0","      24.7","      28.7","      28.0","      26.5","      29.6","      33.0","    7",
"Security brokers and dealers; security credit; asset","     278.2","     238.9","     303.7","     339.2","     369.5","     313.7","     339.2","     320.6","     375.4","     390.3","     369.5","    8",
