Codes:,Depreciable assets (Net),Accumulated depreciation (Net),Inventories (Net),Land (Net),Depreciable assets (Income),Accumulated depreciation (Income),Inventories (Income),Land (Income)
5239,45675485000.0,12247374000.0,7782486000.0,12395170000.0,30755602000.0,8620722000.0,6583440000.0,6110263000.0
52391,11418871250.0,3061843500.0,1945621500.0,3098792500.0,7688900500.0,2155180500.0,1645860000.0,1527565750.0
523910,11418871250.0,3061843500.0,1945621500.0,3098792500.0,7688900500.0,2155180500.0,1645860000.0,1527565750.0
52392,11418871250.0,3061843500.0,1945621500.0,3098792500.0,7688900500.0,2155180500.0,1645860000.0,1527565750.0
523920,11418871250.0,3061843500.0,1945621500.0,3098792500.0,7688900500.0,2155180500.0,1645860000.0,1527565750.0
52393,11418871250.0,3061843500.0,1945621500.0,3098792500.0,7688900500.0,2155180500.0,1645860000.0,1527565750.0
523930,11418871250.0,3061843500.0,1945621500.0,3098792500.0,7688900500.0,2155180500.0,1645860000.0,1527565750.0
52399,11418871250.0,3061843500.0,1945621500.0,3098792500.0,7688900500.0,2155180500.0,1645860000.0,1527565750.0
523991,5709435625.0,1530921750.0,972810750.0,1549396250.0,3844450250.0,1077590250.0,822930000.0,763782875.0
523999,5709435625.0,1530921750.0,972810750.0,1549396250.0,3844450250.0,1077590250.0,822930000.0,763782875.0
524,13923543708.8,6595601458.88,330964586.573,645493574.428,8336879321.19,4783562806.61,156079060.667,335626887.827
5242,13923543708.8,6595601458.88,330964586.573,645493574.428,8336879321.19,4783562806.61,156079060.667,335626887.827
52421,13923543708.8,6595601458.88,330964586.573,645493574.428,8336879321.19,4783562806.61,156079060.667,335626887.827
524210,13923543708.8,6595601458.88,330964586.573,645493574.428,8336879321.19,4783562806.61,156079060.667,335626887.827
525,84388512895.4,37239750909.0,2067135103.81,5564838568.05,49637027240.3,26576968611.4,1039248547.15,3393366142.36
5251,8085709.96042,3568137.5879,198063.152495,533196.629423,4755986.2331,2546479.99409,99575.9024628,325136.36602
52511,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
525110,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
52512,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
525120,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
52519,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
525190,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
5259,84380427185.4,37236182771.5,2066937040.66,5564305371.42,49632271254.1,26574422131.5,1039148971.25,3393041005.99
52591,84375036712.1,37233804013.1,2066804998.56,5563949907.0,49629100596.6,26572724478.1,1039082587.31,3392824248.42
525910,84375036712.1,37233804013.1,2066804998.56,5563949907.0,49629100596.6,26572724478.1,1039082587.31,3392824248.42
52592,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
