Codes:,Corporate general partners,Corporate limited partners,Individual general partners,Individual limited partners,Partnership general partners,Partnership limited partners,Tax-exempt organization general partners,Tax-exempt organization limited partners,Nominee and other general partners,Nominee and other limited partners
1,94440747000.0,236425766000.0,83792696000.0,291199705000.0,106154000000.0,344662139000.0,2103494000.0,78976841000.0,9520084000.0,131788318000.0
11,845322984.068,786350000.0,2876711000.0,2120329015.93,979274000.0,59843984.0676,8029000.0,-17005015.9324,-99394984.0676,1119989000.0
111,441089381.516,410317289.003,1501067283.99,1106387300.33,510984997.611,31226580.1561,4189530.76036,-8873214.26445,-51864284.8644,584410059.38
1111,88217876.3031,82063457.8007,300213456.798,221277460.065,102196999.522,6245316.03122,837906.152072,-1774642.85289,-10372856.9729,116882011.876
11111,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
111110,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
11112,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
111120,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
11113,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
111130,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
11114,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
111140,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
11115,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
111150,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
11116,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
111160,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
11119,12602553.7576,11723351.1144,42887636.6854,31611065.7236,14599571.3603,892188.004461,119700.878867,-253520.407556,-1481836.71041,16697430.268
111191,6301276.87879,5861675.55719,21443818.3427,15805532.8618,7299785.68016,446094.00223,59850.4394337,-126760.203778,-740918.355206,8348715.134
111199,6301276.87879,5861675.55719,21443818.3427,15805532.8618,7299785.68016,446094.00223,59850.4394337,-126760.203778,-740918.355206,8348715.134
1112,88217876.3031,82063457.8007,300213456.798,221277460.065,102196999.522,6245316.03122,837906.152072,-1774642.85289,-10372856.9729,116882011.876
11121,88217876.3031,82063457.8007,300213456.798,221277460.065,102196999.522,6245316.03122,837906.152072,-1774642.85289,-10372856.9729,116882011.876
111211,44108938.1516,41031728.9003,150106728.399,110638730.033,51098499.7611,3122658.01561,418953.076036,-887321.426445,-5186428.48644,58441005.938
111219,44108938.1516,41031728.9003,150106728.399,110638730.033,51098499.7611,3122658.01561,418953.076036,-887321.426445,-5186428.48644,58441005.938
1113,88217876.3031,82063457.8007,300213456.798,221277460.065,102196999.522,6245316.03122,837906.152072,-1774642.85289,-10372856.9729,116882011.876
11131,29405958.7677,27354485.9336,100071152.266,73759153.3552,34065666.5074,2081772.01041,279302.050691,-591547.61763,-3457618.99096,38960670.6253
111310,29405958.7677,27354485.9336,100071152.266,73759153.3552,34065666.5074,2081772.01041,279302.050691,-591547.61763,-3457618.99096,38960670.6253
11132,29405958.7677,27354485.9336,100071152.266,73759153.3552,34065666.5074,2081772.01041,279302.050691,-591547.61763,-3457618.99096,38960670.6253
111320,29405958.7677,27354485.9336,100071152.266,73759153.3552,34065666.5074,2081772.01041,279302.050691,-591547.61763,-3457618.99096,38960670.6253
11133,29405958.7677,27354485.9336,100071152.266,73759153.3552,34065666.5074,2081772.01041,279302.050691,-591547.61763,-3457618.99096,38960670.6253
