Codes:,Land,FA
1,22677760.2156,3634540239.78
11,22677760.2156,3634540239.78
111,12675400.9086,1961962963.4
1111,2535080.18172,392392592.679
11111,362154.311674,56056084.6685
111110,362154.311674,56056084.6685
11112,362154.311674,56056084.6685
111120,362154.311674,56056084.6685
11113,362154.311674,56056084.6685
111130,362154.311674,56056084.6685
11114,362154.311674,56056084.6685
111140,362154.311674,56056084.6685
11115,362154.311674,56056084.6685
111150,362154.311674,56056084.6685
11116,362154.311674,56056084.6685
111160,362154.311674,56056084.6685
11119,362154.311674,56056084.6685
111191,181077.155837,28028042.3342
111199,181077.155837,28028042.3342
1112,2535080.18172,392392592.679
11121,2535080.18172,392392592.679
111211,1267540.09086,196196296.34
111219,1267540.09086,196196296.34
1113,2535080.18172,392392592.679
11131,845026.727239,130797530.893
111310,845026.727239,130797530.893
11132,845026.727239,130797530.893
111320,845026.727239,130797530.893
11133,845026.727239,130797530.893
111331,120718.103891,18685361.5562
111332,120718.103891,18685361.5562
111333,120718.103891,18685361.5562
111334,120718.103891,18685361.5562
111335,120718.103891,18685361.5562
111336,120718.103891,18685361.5562
111339,120718.103891,18685361.5562
1114,2535080.18172,392392592.679
11141,1267540.09086,196196296.34
111411,633770.045429,98098148.1698
111419,633770.045429,98098148.1698
11142,1267540.09086,196196296.34
111421,633770.045429,98098148.1698
111422,633770.045429,98098148.1698
1119,2535080.18172,392392592.679
11191,507016.036343,78478518.5358
111910,507016.036343,78478518.5358
11192,507016.036343,78478518.5358
111920,507016.036343,78478518.5358
11193,507016.036343,78478518.5358
111930,507016.036343,78478518.5358
11194,507016.036343,78478518.5358
111940,507016.036343,78478518.5358
11199,507016.036343,78478518.5358
111991,169005.345448,26159506.1786
111992,169005.345448,26159506.1786
111998,169005.345448,26159506.1786
112,10002359.3071,1672577276.39
1121,1667059.88451,278762879.398
11211,555686.62817,92920959.7994
112111,277843.314085,46460479.8997
112112,277843.314085,46460479.8997
11212,555686.62817,92920959.7994
112120,555686.62817,92920959.7994
11213,555686.62817,92920959.7994
112130,555686.62817,92920959.7994
1122,1667059.88451,278762879.398
11221,1667059.88451,278762879.398
112210,1667059.88451,278762879.398
1123,1667059.88451,278762879.398
11231,333411.976902,55752575.8796
112310,333411.976902,55752575.8796
11232,333411.976902,55752575.8796
112320,333411.976902,55752575.8796
11233,333411.976902,55752575.8796
112330,333411.976902,55752575.8796
11234,333411.976902,55752575.8796
112340,333411.976902,55752575.8796
11239,333411.976902,55752575.8796
112390,333411.976902,55752575.8796
1124,1667059.88451,278762879.398
11241,833529.942255,139381439.699
112410,833529.942255,139381439.699
11242,833529.942255,139381439.699
112420,833529.942255,139381439.699
1125,1667059.88451,278762879.398
11251,1667059.88451,278762879.398
112511,555686.62817,92920959.7994
112512,555686.62817,92920959.7994
112519,555686.62817,92920959.7994
1129,1667059.88451,278762879.398
11291,416764.971128,69690719.8495
112910,416764.971128,69690719.8495
11292,416764.971128,69690719.8495
112920,416764.971128,69690719.8495
11293,416764.971128,69690719.8495
112930,416764.971128,69690719.8495
11299,416764.971128,69690719.8495
112990,416764.971128,69690719.8495
