Codes:,Total net income,Total net loss,Depreciation
1,1.068043099e+12,290118622000.0,136841830000.0
11,15536445015.2,7022613881.56,1259978584.63
111,9854562087.24,2366512987.85,207694411.826
1111,1970912417.45,473302597.569,41538882.3653
11111,281558916.778,67614656.7956,5934126.05218
111110,281558916.778,67614656.7956,5934126.05218
11112,281558916.778,67614656.7956,5934126.05218
111120,281558916.778,67614656.7956,5934126.05218
11113,281558916.778,67614656.7956,5934126.05218
111130,281558916.778,67614656.7956,5934126.05218
11114,281558916.778,67614656.7956,5934126.05218
111140,281558916.778,67614656.7956,5934126.05218
11115,281558916.778,67614656.7956,5934126.05218
111150,281558916.778,67614656.7956,5934126.05218
11116,281558916.778,67614656.7956,5934126.05218
111160,281558916.778,67614656.7956,5934126.05218
11119,281558916.778,67614656.7956,5934126.05218
111191,140779458.389,33807328.3978,2967063.02609
111199,140779458.389,33807328.3978,2967063.02609
1112,1970912417.45,473302597.569,41538882.3653
11121,1970912417.45,473302597.569,41538882.3653
111211,985456208.724,236651298.785,20769441.1826
111219,985456208.724,236651298.785,20769441.1826
1113,1970912417.45,473302597.569,41538882.3653
11131,656970805.816,157767532.523,13846294.1218
111310,656970805.816,157767532.523,13846294.1218
11132,656970805.816,157767532.523,13846294.1218
111320,656970805.816,157767532.523,13846294.1218
11133,656970805.816,157767532.523,13846294.1218
111331,93852972.2594,22538218.9319,1978042.01739
111332,93852972.2594,22538218.9319,1978042.01739
111333,93852972.2594,22538218.9319,1978042.01739
111334,93852972.2594,22538218.9319,1978042.01739
111335,93852972.2594,22538218.9319,1978042.01739
111336,93852972.2594,22538218.9319,1978042.01739
111339,93852972.2594,22538218.9319,1978042.01739
1114,1970912417.45,473302597.569,41538882.3653
11141,985456208.724,236651298.785,20769441.1826
111411,492728104.362,118325649.392,10384720.5913
111419,492728104.362,118325649.392,10384720.5913
11142,985456208.724,236651298.785,20769441.1826
111421,492728104.362,118325649.392,10384720.5913
111422,492728104.362,118325649.392,10384720.5913
1119,1970912417.45,473302597.569,41538882.3653
11191,394182483.49,94660519.5138,8307776.47305
111910,394182483.49,94660519.5138,8307776.47305
11192,394182483.49,94660519.5138,8307776.47305
111920,394182483.49,94660519.5138,8307776.47305
11193,394182483.49,94660519.5138,8307776.47305
111930,394182483.49,94660519.5138,8307776.47305
11194,394182483.49,94660519.5138,8307776.47305
111940,394182483.49,94660519.5138,8307776.47305
11199,394182483.49,94660519.5138,8307776.47305
111991,131394161.163,31553506.5046,2769258.82435
111992,131394161.163,31553506.5046,2769258.82435
111998,131394161.163,31553506.5046,2769258.82435
112,3266034000.0,3411899000.0,423807000.0
1121,544339000.0,568649833.333,70634500.0
11211,181446333.333,189549944.444,23544833.3333
112111,90723166.6667,94774972.2222,11772416.6667
112112,90723166.6667,94774972.2222,11772416.6667
11212,181446333.333,189549944.444,23544833.3333
112120,181446333.333,189549944.444,23544833.3333
11213,181446333.333,189549944.444,23544833.3333
112130,181446333.333,189549944.444,23544833.3333
1122,544339000.0,568649833.333,70634500.0
11221,544339000.0,568649833.333,70634500.0
112210,544339000.0,568649833.333,70634500.0
1123,544339000.0,568649833.333,70634500.0
11231,108867800.0,113729966.667,14126900.0
112310,108867800.0,113729966.667,14126900.0
11232,108867800.0,113729966.667,14126900.0
112320,108867800.0,113729966.667,14126900.0
11233,108867800.0,113729966.667,14126900.0
112330,108867800.0,113729966.667,14126900.0
11234,108867800.0,113729966.667,14126900.0
112340,108867800.0,113729966.667,14126900.0
11239,108867800.0,113729966.667,14126900.0
112390,108867800.0,113729966.667,14126900.0
1124,544339000.0,568649833.333,70634500.0
11241,272169500.0,284324916.667,35317250.0
112410,272169500.0,284324916.667,35317250.0
11242,272169500.0,284324916.667,35317250.0
112420,272169500.0,284324916.667,35317250.0
1125,544339000.0,568649833.333,70634500.0
11251,544339000.0,568649833.333,70634500.0
112511,181446333.333,189549944.444,23544833.3333
112512,181446333.333,189549944.444,23544833.3333
112519,181446333.333,189549944.444,23544833.3333
1129,544339000.0,568649833.333,70634500.0
11291,136084750.0,142162458.333,17658625.0
112910,136084750.0,142162458.333,17658625.0
11292,136084750.0,142162458.333,17658625.0
112920,136084750.0,142162458.333,17658625.0
11293,136084750.0,142162458.333,17658625.0
112930,136084750.0,142162458.333,17658625.0
11299,136084750.0,142162458.333,17658625.0
112990,136084750.0,142162458.333,17658625.0
113,935046762.503,955538426.326,131806397.609
1131,311682254.168,318512808.775,43935465.8696
11311,311682254.168,318512808.775,43935465.8696
113110,311682254.168,318512808.775,43935465.8696
1132,311682254.168,318512808.775,43935465.8696
11321,311682254.168,318512808.775,43935465.8696
113210,311682254.168,318512808.775,43935465.8696
1133,311682254.168,318512808.775,43935465.8696
11331,311682254.168,318512808.775,43935465.8696
113310,311682254.168,318512808.775,43935465.8696
114,378685165.458,138712467.387,127521775.197
1141,189342582.729,69356233.6936,63760887.5987
11411,189342582.729,69356233.6936,63760887.5987
114111,63114194.243,23118744.5645,21253629.1996
114112,63114194.243,23118744.5645,21253629.1996
114119,63114194.243,23118744.5645,21253629.1996
1142,189342582.729,69356233.6936,63760887.5987
11421,189342582.729,69356233.6936,63760887.5987
114210,189342582.729,69356233.6936,63760887.5987
115,1102117000.0,149951000.0,369149000.0
1151,367372333.333,49983666.6667,123049666.667
11511,367372333.333,49983666.6667,123049666.667
115111,61228722.2222,8330611.11111,20508277.7778
115112,61228722.2222,8330611.11111,20508277.7778
115113,61228722.2222,8330611.11111,20508277.7778
115114,61228722.2222,8330611.11111,20508277.7778
115115,61228722.2222,8330611.11111,20508277.7778
115116,61228722.2222,8330611.11111,20508277.7778
1152,367372333.333,49983666.6667,123049666.667
11521,367372333.333,49983666.6667,123049666.667
115210,367372333.333,49983666.6667,123049666.667
1153,367372333.333,49983666.6667,123049666.667
11531,367372333.333,49983666.6667,123049666.667
115310,367372333.333,49983666.6667,123049666.667
21,74503865895.1,14627683245.5,15352389978.6
211,67219933631.7,10908612415.2,12308317326.2
2111,67219933631.7,10908612415.2,12308317326.2
21111,67219933631.7,10908612415.2,12308317326.2
211111,33609966815.9,5454306207.58,6154158663.09
211112,33609966815.9,5454306207.58,6154158663.09
212,4517963631.7,1797951415.16,1012869326.19
2121,1505987877.23,599317138.388,337623108.729
21211,1505987877.23,599317138.388,337623108.729
212111,501995959.078,199772379.463,112541036.243
212112,501995959.078,199772379.463,112541036.243
212113,501995959.078,199772379.463,112541036.243
2122,1505987877.23,599317138.388,337623108.729
21221,376496969.309,149829284.597,84405777.1822
212210,376496969.309,149829284.597,84405777.1822
21222,376496969.309,149829284.597,84405777.1822
212221,188248484.654,74914642.2984,42202888.5911
212222,188248484.654,74914642.2984,42202888.5911
21223,376496969.309,149829284.597,84405777.1822
212231,188248484.654,74914642.2984,42202888.5911
212234,188248484.654,74914642.2984,42202888.5911
21229,376496969.309,149829284.597,84405777.1822
212291,188248484.654,74914642.2984,42202888.5911
212299,188248484.654,74914642.2984,42202888.5911
2123,1505987877.23,599317138.388,337623108.729
21231,501995959.078,199772379.463,112541036.243
212311,125498989.77,49943094.8656,28135259.0607
212312,125498989.77,49943094.8656,28135259.0607
