Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
1,1720204445.0,1134688870.0,5965310712.0,4356966169.0,20451749552.0,511882457.0,6660515415.0,10043357525.0,3305076616.0,49718769895.0
11,5392533.4475,46988172.0705,20220563.7032,7614626.085,246362817.216,533560.466199,12137886.1829,178234720.179,32742144.0246,70483216.1595
111,4602491.50844,42961570.4851,17354068.3212,7052051.66347,198607518.926,430061.537123,-5523233.56004,142471016.137,26989301.9366,58402489.9073
1111,920498.301688,8592314.09702,3470813.66424,1410410.33269,39721503.7852,86012.3074246,-1104646.71201,28494203.2274,5397860.38732,11680497.9815
11111,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
111110,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
11112,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
111120,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
11113,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
111130,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
11114,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
111140,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
11115,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
111150,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
11116,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
111160,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
11119,131499.757384,1227473.44243,495830.523463,201487.190385,5674500.54074,12287.4724892,-157806.673144,4070600.46106,771122.912475,1668642.56878
111191,65749.878692,613736.721215,247915.261732,100743.595192,2837250.27037,6143.73624462,-78903.336572,2035300.23053,385561.456237,834321.284389
111199,65749.878692,613736.721215,247915.261732,100743.595192,2837250.27037,6143.73624462,-78903.336572,2035300.23053,385561.456237,834321.284389
1112,920498.301688,8592314.09702,3470813.66424,1410410.33269,39721503.7852,86012.3074246,-1104646.71201,28494203.2274,5397860.38732,11680497.9815
11121,920498.301688,8592314.09702,3470813.66424,1410410.33269,39721503.7852,86012.3074246,-1104646.71201,28494203.2274,5397860.38732,11680497.9815
111211,460249.150844,4296157.04851,1735406.83212,705205.166347,19860751.8926,43006.1537123,-552323.356004,14247101.6137,2698930.19366,5840248.99073
111219,460249.150844,4296157.04851,1735406.83212,705205.166347,19860751.8926,43006.1537123,-552323.356004,14247101.6137,2698930.19366,5840248.99073
1113,920498.301688,8592314.09702,3470813.66424,1410410.33269,39721503.7852,86012.3074246,-1104646.71201,28494203.2274,5397860.38732,11680497.9815
11131,306832.767229,2864104.69901,1156937.88808,470136.777565,13240501.2617,28670.7691415,-368215.57067,9498067.74248,1799286.79577,3893499.32715
111310,306832.767229,2864104.69901,1156937.88808,470136.777565,13240501.2617,28670.7691415,-368215.57067,9498067.74248,1799286.79577,3893499.32715
11132,306832.767229,2864104.69901,1156937.88808,470136.777565,13240501.2617,28670.7691415,-368215.57067,9498067.74248,1799286.79577,3893499.32715
111320,306832.767229,2864104.69901,1156937.88808,470136.777565,13240501.2617,28670.7691415,-368215.57067,9498067.74248,1799286.79577,3893499.32715
11133,306832.767229,2864104.69901,1156937.88808,470136.777565,13240501.2617,28670.7691415,-368215.57067,9498067.74248,1799286.79577,3893499.32715
111331,43833.2524613,409157.814144,165276.841154,67162.396795,1891500.18025,4095.82416308,-52602.2243814,1356866.82035,257040.970825,556214.189593
111332,43833.2524613,409157.814144,165276.841154,67162.396795,1891500.18025,4095.82416308,-52602.2243814,1356866.82035,257040.970825,556214.189593
111333,43833.2524613,409157.814144,165276.841154,67162.396795,1891500.18025,4095.82416308,-52602.2243814,1356866.82035,257040.970825,556214.189593
111334,43833.2524613,409157.814144,165276.841154,67162.396795,1891500.18025,4095.82416308,-52602.2243814,1356866.82035,257040.970825,556214.189593
111335,43833.2524613,409157.814144,165276.841154,67162.396795,1891500.18025,4095.82416308,-52602.2243814,1356866.82035,257040.970825,556214.189593
111336,43833.2524613,409157.814144,165276.841154,67162.396795,1891500.18025,4095.82416308,-52602.2243814,1356866.82035,257040.970825,556214.189593
111339,43833.2524613,409157.814144,165276.841154,67162.396795,1891500.18025,4095.82416308,-52602.2243814,1356866.82035,257040.970825,556214.189593
1114,920498.301688,8592314.09702,3470813.66424,1410410.33269,39721503.7852,86012.3074246,-1104646.71201,28494203.2274,5397860.38732,11680497.9815
11141,460249.150844,4296157.04851,1735406.83212,705205.166347,19860751.8926,43006.1537123,-552323.356004,14247101.6137,2698930.19366,5840248.99073
111411,230124.575422,2148078.52425,867703.41606,352602.583173,9930375.94629,21503.0768562,-276161.678002,7123550.80686,1349465.09683,2920124.49536
111419,230124.575422,2148078.52425,867703.41606,352602.583173,9930375.94629,21503.0768562,-276161.678002,7123550.80686,1349465.09683,2920124.49536
11142,460249.150844,4296157.04851,1735406.83212,705205.166347,19860751.8926,43006.1537123,-552323.356004,14247101.6137,2698930.19366,5840248.99073
111421,230124.575422,2148078.52425,867703.41606,352602.583173,9930375.94629,21503.0768562,-276161.678002,7123550.80686,1349465.09683,2920124.49536
111422,230124.575422,2148078.52425,867703.41606,352602.583173,9930375.94629,21503.0768562,-276161.678002,7123550.80686,1349465.09683,2920124.49536
1119,920498.301688,8592314.09702,3470813.66424,1410410.33269,39721503.7852,86012.3074246,-1104646.71201,28494203.2274,5397860.38732,11680497.9815
11191,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
111910,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
11192,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
111920,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
11193,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
111930,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
11194,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
111940,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
11199,184099.660338,1718462.8194,694162.732848,282082.066539,7944300.75703,17202.4614849,-220929.342402,5698840.64549,1079572.07746,2336099.59629
111991,61366.5534459,572820.939801,231387.577616,94027.3555129,2648100.25234,5734.15382831,-73643.1141339,1899613.5485,359857.359155,778699.86543
111992,61366.5534459,572820.939801,231387.577616,94027.3555129,2648100.25234,5734.15382831,-73643.1141339,1899613.5485,359857.359155,778699.86543
111998,61366.5534459,572820.939801,231387.577616,94027.3555129,2648100.25234,5734.15382831,-73643.1141339,1899613.5485,359857.359155,778699.86543
113,355222.707762,2067369.80753,934531.110308,199475.092203,16971760.8185,100204.928013,9779165.24033,13546044.2184,1032600.5624,2153684.32962
1131,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
11311,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
113110,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
1132,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
11321,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
113210,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
1133,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
11331,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
113310,118407.569254,689123.269176,311510.370103,66491.697401,5657253.60617,33401.6426709,3259721.74678,4515348.07279,344200.187467,717894.77654
114,434819.231293,1959231.77792,1931964.27169,363099.329331,30783537.4717,3294.00106316,7881954.50265,22217659.8237,4720241.52562,9927041.92266
1141,217409.615647,979615.888958,965982.135847,181549.664665,15391768.7358,1647.00053158,3940977.25133,11108829.9119,2360120.76281,4963520.96133
11411,217409.615647,979615.888958,965982.135847,181549.664665,15391768.7358,1647.00053158,3940977.25133,11108829.9119,2360120.76281,4963520.96133
114111,72469.8718822,326538.629653,321994.045282,60516.5548884,5130589.57862,549.000177193,1313659.08378,3702943.30396,786706.920937,1654506.98711
114112,72469.8718822,326538.629653,321994.045282,60516.5548884,5130589.57862,549.000177193,1313659.08378,3702943.30396,786706.920937,1654506.98711
114119,72469.8718822,326538.629653,321994.045282,60516.5548884,5130589.57862,549.000177193,1313659.08378,3702943.30396,786706.920937,1654506.98711
1142,217409.615647,979615.888958,965982.135847,181549.664665,15391768.7358,1647.00053158,3940977.25133,11108829.9119,2360120.76281,4963520.96133
11421,217409.615647,979615.888958,965982.135847,181549.664665,15391768.7358,1647.00053158,3940977.25133,11108829.9119,2360120.76281,4963520.96133
114210,217409.615647,979615.888958,965982.135847,181549.664665,15391768.7358,1647.00053158,3940977.25133,11108829.9119,2360120.76281,4963520.96133
21,35695475.1138,21717246.8211,92452223.1348,47875627.4635,735125940.939,1489798.88608,300872495.518,312927154.432,49383908.5119,594122373.309
211,11898491.7046,7239082.27372,30817407.7116,15958542.4878,245041980.313,496599.628694,100290831.839,104309051.477,16461302.8373,198040791.103
2111,11898491.7046,7239082.27372,30817407.7116,15958542.4878,245041980.313,496599.628694,100290831.839,104309051.477,16461302.8373,198040791.103
21111,11898491.7046,7239082.27372,30817407.7116,15958542.4878,245041980.313,496599.628694,100290831.839,104309051.477,16461302.8373,198040791.103
211111,5949245.8523,3619541.13686,15408703.8558,7979271.24392,122520990.157,248299.814347,50145415.9196,52154525.7387,8230651.41866,99020395.5515
211112,5949245.8523,3619541.13686,15408703.8558,7979271.24392,122520990.157,248299.814347,50145415.9196,52154525.7387,8230651.41866,99020395.5515
212,11898491.7046,7239082.27372,30817407.7116,15958542.4878,245041980.313,496599.628694,100290831.839,104309051.477,16461302.8373,198040791.103
2121,3966163.90153,2413027.42457,10272469.2372,5319514.16261,81680660.1044,165533.209565,33430277.2797,34769683.8258,5487100.94577,66013597.0344
21211,3966163.90153,2413027.42457,10272469.2372,5319514.16261,81680660.1044,165533.209565,33430277.2797,34769683.8258,5487100.94577,66013597.0344
212111,1322054.63384,804342.474857,3424156.4124,1773171.38754,27226886.7015,55177.7365215,11143425.7599,11589894.6086,1829033.64859,22004532.3448
212112,1322054.63384,804342.474857,3424156.4124,1773171.38754,27226886.7015,55177.7365215,11143425.7599,11589894.6086,1829033.64859,22004532.3448
212113,1322054.63384,804342.474857,3424156.4124,1773171.38754,27226886.7015,55177.7365215,11143425.7599,11589894.6086,1829033.64859,22004532.3448
2122,3966163.90153,2413027.42457,10272469.2372,5319514.16261,81680660.1044,165533.209565,33430277.2797,34769683.8258,5487100.94577,66013597.0344
21221,991540.975383,603256.856143,2568117.3093,1329878.54065,20420165.0261,41383.3023911,8357569.31993,8692420.95646,1371775.23644,16503399.2586
212210,991540.975383,603256.856143,2568117.3093,1329878.54065,20420165.0261,41383.3023911,8357569.31993,8692420.95646,1371775.23644,16503399.2586
21222,991540.975383,603256.856143,2568117.3093,1329878.54065,20420165.0261,41383.3023911,8357569.31993,8692420.95646,1371775.23644,16503399.2586
212221,495770.487691,301628.428071,1284058.65465,664939.270326,10210082.513,20691.6511956,4178784.65997,4346210.47823,685887.618221,8251699.6293
212222,495770.487691,301628.428071,1284058.65465,664939.270326,10210082.513,20691.6511956,4178784.65997,4346210.47823,685887.618221,8251699.6293
21223,991540.975383,603256.856143,2568117.3093,1329878.54065,20420165.0261,41383.3023911,8357569.31993,8692420.95646,1371775.23644,16503399.2586
212231,495770.487691,301628.428071,1284058.65465,664939.270326,10210082.513,20691.6511956,4178784.65997,4346210.47823,685887.618221,8251699.6293
212234,495770.487691,301628.428071,1284058.65465,664939.270326,10210082.513,20691.6511956,4178784.65997,4346210.47823,685887.618221,8251699.6293
21229,991540.975383,603256.856143,2568117.3093,1329878.54065,20420165.0261,41383.3023911,8357569.31993,8692420.95646,1371775.23644,16503399.2586
212291,495770.487691,301628.428071,1284058.65465,664939.270326,10210082.513,20691.6511956,4178784.65997,4346210.47823,685887.618221,8251699.6293
212299,495770.487691,301628.428071,1284058.65465,664939.270326,10210082.513,20691.6511956,4178784.65997,4346210.47823,685887.618221,8251699.6293
2123,3966163.90153,2413027.42457,10272469.2372,5319514.16261,81680660.1044,165533.209565,33430277.2797,34769683.8258,5487100.94577,66013597.0344
21231,1322054.63384,804342.474857,3424156.4124,1773171.38754,27226886.7015,55177.7365215,11143425.7599,11589894.6086,1829033.64859,22004532.3448
212311,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212312,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212313,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212319,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
21232,1322054.63384,804342.474857,3424156.4124,1773171.38754,27226886.7015,55177.7365215,11143425.7599,11589894.6086,1829033.64859,22004532.3448
212321,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212322,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212324,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212325,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
21239,1322054.63384,804342.474857,3424156.4124,1773171.38754,27226886.7015,55177.7365215,11143425.7599,11589894.6086,1829033.64859,22004532.3448
212391,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212392,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212393,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
212399,330513.658461,201085.618714,856039.1031,443292.846884,6806721.67537,13794.4341304,2785856.43998,2897473.65215,457258.412148,5501133.0862
213,11898491.7046,7239082.27372,30817407.7116,15958542.4878,245041980.313,496599.628694,100290831.839,104309051.477,16461302.8373,198040791.103
2131,11898491.7046,7239082.27372,30817407.7116,15958542.4878,245041980.313,496599.628694,100290831.839,104309051.477,16461302.8373,198040791.103
21311,11898491.7046,7239082.27372,30817407.7116,15958542.4878,245041980.313,496599.628694,100290831.839,104309051.477,16461302.8373,198040791.103
213111,2379698.34092,1447816.45474,6163481.54232,3191708.49757,49008396.0626,99319.9257387,20058166.3678,20861810.2955,3292260.56746,39608158.2206
213112,2379698.34092,1447816.45474,6163481.54232,3191708.49757,49008396.0626,99319.9257387,20058166.3678,20861810.2955,3292260.56746,39608158.2206
213113,2379698.34092,1447816.45474,6163481.54232,3191708.49757,49008396.0626,99319.9257387,20058166.3678,20861810.2955,3292260.56746,39608158.2206
213114,2379698.34092,1447816.45474,6163481.54232,3191708.49757,49008396.0626,99319.9257387,20058166.3678,20861810.2955,3292260.56746,39608158.2206
213115,2379698.34092,1447816.45474,6163481.54232,3191708.49757,49008396.0626,99319.9257387,20058166.3678,20861810.2955,3292260.56746,39608158.2206
22,67167656.111,9192742.61372,180823468.121,33098871.9718,2707120441.29,3983549.41258,186840799.284,849372795.889,58353140.138,465379552.763
221,67167656.111,9192742.61372,180823468.121,33098871.9718,2707120441.29,3983549.41258,186840799.284,849372795.889,58353140.138,465379552.763
2212,67167656.111,9192742.61372,180823468.121,33098871.9718,2707120441.29,3983549.41258,186840799.284,849372795.889,58353140.138,465379552.763
22121,67167656.111,9192742.61372,180823468.121,33098871.9718,2707120441.29,3983549.41258,186840799.284,849372795.889,58353140.138,465379552.763
221210,67167656.111,9192742.61372,180823468.121,33098871.9718,2707120441.29,3983549.41258,186840799.284,849372795.889,58353140.138,465379552.763
23,14551063.7517,51457379.3528,33730070.4802,33286180.0087,544632906.817,1096882.06996,206479149.374,372290585.824,142384839.086,202006057.921
236,5083207.20472,17314170.0707,11197045.8792,13283298.5056,94492626.9836,70497.8020388,43895889.8536,58694697.6426,78251815.5134,70972323.0417
2361,2541603.60236,8657085.03535,5598522.93959,6641649.2528,47246313.4918,35248.9010194,21947944.9268,29347348.8213,39125907.7567,35486161.5208
23611,2541603.60236,8657085.03535,5598522.93959,6641649.2528,47246313.4918,35248.9010194,21947944.9268,29347348.8213,39125907.7567,35486161.5208
236115,635400.900589,2164271.25884,1399630.7349,1660412.3132,11811578.373,8812.22525485,5486986.2317,7336837.20533,9781476.93917,8871540.38021
236116,635400.900589,2164271.25884,1399630.7349,1660412.3132,11811578.373,8812.22525485,5486986.2317,7336837.20533,9781476.93917,8871540.38021
236117,635400.900589,2164271.25884,1399630.7349,1660412.3132,11811578.373,8812.22525485,5486986.2317,7336837.20533,9781476.93917,8871540.38021
236118,635400.900589,2164271.25884,1399630.7349,1660412.3132,11811578.373,8812.22525485,5486986.2317,7336837.20533,9781476.93917,8871540.38021
2362,2541603.60236,8657085.03535,5598522.93959,6641649.2528,47246313.4918,35248.9010194,21947944.9268,29347348.8213,39125907.7567,35486161.5208
23621,1270801.80118,4328542.51768,2799261.46979,3320824.6264,23623156.7459,17624.4505097,10973972.4634,14673674.4107,19562953.8783,17743080.7604
236210,1270801.80118,4328542.51768,2799261.46979,3320824.6264,23623156.7459,17624.4505097,10973972.4634,14673674.4107,19562953.8783,17743080.7604
23622,1270801.80118,4328542.51768,2799261.46979,3320824.6264,23623156.7459,17624.4505097,10973972.4634,14673674.4107,19562953.8783,17743080.7604
236220,1270801.80118,4328542.51768,2799261.46979,3320824.6264,23623156.7459,17624.4505097,10973972.4634,14673674.4107,19562953.8783,17743080.7604
237,4080249.15771,28213725.4454,10637750.7511,7940054.59143,196428990.927,351915.922383,62889136.546,120486848.859,45784535.863,87415790.1738
2372,4080249.15771,28213725.4454,10637750.7511,7940054.59143,196428990.927,351915.922383,62889136.546,120486848.859,45784535.863,87415790.1738
23721,4080249.15771,28213725.4454,10637750.7511,7940054.59143,196428990.927,351915.922383,62889136.546,120486848.859,45784535.863,87415790.1738
237210,4080249.15771,28213725.4454,10637750.7511,7940054.59143,196428990.927,351915.922383,62889136.546,120486848.859,45784535.863,87415790.1738
238,5387607.38923,5929483.83679,11895273.85,12062826.9117,253711288.906,674468.345537,99694122.9741,193109039.323,18348487.7098,43617944.7059
2382,5387607.38923,5929483.83679,11895273.85,12062826.9117,253711288.906,674468.345537,99694122.9741,193109039.323,18348487.7098,43617944.7059
23821,2128183.61232,2808359.32422,4301379.583,4885146.76482,111135993.695,405389.874017,49383239.5174,80056122.9429,7723586.44491,28853885.9298
238210,2128183.61232,2808359.32422,4301379.583,4885146.76482,111135993.695,405389.874017,49383239.5174,80056122.9429,7723586.44491,28853885.9298
23822,3259423.77691,3121124.51257,7593894.26696,7177680.14688,142575295.211,269078.471521,50310883.4567,113052916.38,10624901.2649,14764058.7761
238220,3259423.77691,3121124.51257,7593894.26696,7177680.14688,142575295.211,269078.471521,50310883.4567,113052916.38,10624901.2649,14764058.7761
31.32.33,400029743.854,170224803.393,903872586.007,2254249578.41,5587423325.01,25435913.5687,3480842588.54,3197186249.28,1322048413.95,5960534849.9
311,26250740.3513,10471116.7542,67836595.0409,110042730.465,415913467.227,178188.385815,224958581.837,231864825.717,114514242.75,311407059.426
3116,26250740.3513,10471116.7542,67836595.0409,110042730.465,415913467.227,178188.385815,224958581.837,231864825.717,114514242.75,311407059.426
31161,26250740.3513,10471116.7542,67836595.0409,110042730.465,415913467.227,178188.385815,224958581.837,231864825.717,114514242.75,311407059.426
311615,26250740.3513,10471116.7542,67836595.0409,110042730.465,415913467.227,178188.385815,224958581.837,231864825.717,114514242.75,311407059.426
312,13316288.7175,5216450.29788,11909409.0358,131879750.21,116094668.536,0.0,137421119.88,56168042.5922,34572195.892,130243333.598
3121,13316288.7175,5216450.29788,11909409.0358,131879750.21,116094668.536,0.0,137421119.88,56168042.5922,34572195.892,130243333.598
31212,13316288.7175,5216450.29788,11909409.0358,131879750.21,116094668.536,0.0,137421119.88,56168042.5922,34572195.892,130243333.598
312120,13316288.7175,5216450.29788,11909409.0358,131879750.21,116094668.536,0.0,137421119.88,56168042.5922,34572195.892,130243333.598
313,1242404.40696,484571.27218,3272999.13899,1824604.91783,35082327.8959,4155.05563323,5271700.73575,25304216.8128,11370981.3925,16897720.1905
3131,414134.80232,161523.757393,1090999.713,608201.639275,11694109.2986,1385.01854441,1757233.57858,8434738.93758,3790327.13085,5632573.39684
31311,414134.80232,161523.757393,1090999.713,608201.639275,11694109.2986,1385.01854441,1757233.57858,8434738.93758,3790327.13085,5632573.39684
313110,414134.80232,161523.757393,1090999.713,608201.639275,11694109.2986,1385.01854441,1757233.57858,8434738.93758,3790327.13085,5632573.39684
3132,414134.80232,161523.757393,1090999.713,608201.639275,11694109.2986,1385.01854441,1757233.57858,8434738.93758,3790327.13085,5632573.39684
31321,103533.70058,40380.9393483,272749.928249,152050.409819,2923527.32466,346.254636102,439308.394645,2108684.7344,947581.782712,1408143.34921
313210,103533.70058,40380.9393483,272749.928249,152050.409819,2923527.32466,346.254636102,439308.394645,2108684.7344,947581.782712,1408143.34921
31322,103533.70058,40380.9393483,272749.928249,152050.409819,2923527.32466,346.254636102,439308.394645,2108684.7344,947581.782712,1408143.34921
313220,103533.70058,40380.9393483,272749.928249,152050.409819,2923527.32466,346.254636102,439308.394645,2108684.7344,947581.782712,1408143.34921
