Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
1,2.982655356e+12,567344435000.0,255941228500.0,2.1784830845e+12,2.48593849475e+13,1.0225874776e+13,3.3302577075e+12,5.0216787625e+12,1.652538308e+12,860102222500.0
11,10110281851.6,23494086035.3,266780233.1,3807313042.5,35241608079.8,123181408608.0,6068943091.47,89117360089.7,16371072012.3,2696266723.75
111,8677034160.6,21480785242.5,215030768.562,3526025831.73,29201244953.6,99303759462.9,-2761616780.02,71235508068.6,13494650968.3,2301245754.22
1111,1735406832.12,4296157048.51,43006153.7123,705205166.347,5840248990.73,19860751892.6,-552323356.004,14247101613.7,2698930193.66,460249150.844
11111,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
111110,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
11112,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
111120,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
11113,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
111130,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
11114,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
111140,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
11115,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
111150,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
11116,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
111160,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
11119,247915261.732,613736721.215,6143736.24462,100743595.192,834321284.389,2837250270.37,-78903336.572,2035300230.53,385561456.237,65749878.692
111191,123957630.866,306868360.608,3071868.12231,50371797.5962,417160642.195,1418625135.18,-39451668.286,1017650115.27,192780728.119,32874939.346
111199,123957630.866,306868360.608,3071868.12231,50371797.5962,417160642.195,1418625135.18,-39451668.286,1017650115.27,192780728.119,32874939.346
1112,1735406832.12,4296157048.51,43006153.7123,705205166.347,5840248990.73,19860751892.6,-552323356.004,14247101613.7,2698930193.66,460249150.844
11121,1735406832.12,4296157048.51,43006153.7123,705205166.347,5840248990.73,19860751892.6,-552323356.004,14247101613.7,2698930193.66,460249150.844
111211,867703416.06,2148078524.25,21503076.8562,352602583.173,2920124495.36,9930375946.29,-276161678.002,7123550806.86,1349465096.83,230124575.422
111219,867703416.06,2148078524.25,21503076.8562,352602583.173,2920124495.36,9930375946.29,-276161678.002,7123550806.86,1349465096.83,230124575.422
1113,1735406832.12,4296157048.51,43006153.7123,705205166.347,5840248990.73,19860751892.6,-552323356.004,14247101613.7,2698930193.66,460249150.844
11131,578468944.04,1432052349.5,14335384.5708,235068388.782,1946749663.58,6620250630.86,-184107785.335,4749033871.24,899643397.887,153416383.615
111310,578468944.04,1432052349.5,14335384.5708,235068388.782,1946749663.58,6620250630.86,-184107785.335,4749033871.24,899643397.887,153416383.615
11132,578468944.04,1432052349.5,14335384.5708,235068388.782,1946749663.58,6620250630.86,-184107785.335,4749033871.24,899643397.887,153416383.615
111320,578468944.04,1432052349.5,14335384.5708,235068388.782,1946749663.58,6620250630.86,-184107785.335,4749033871.24,899643397.887,153416383.615
