Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
1,90631869500.0,127391326500.0,0.0,64844773000.0,371964980500.0,1.5965112045e+12,642978395500.0,999346300000.0,407741845000.0,44022709500.0
11,4606126008.96,11988227035.9,0.0,1607229011.95,22988862012.0,66810347009.0,-4816530500.0,48303754517.9,9811969985.06,1388143991.04
111,3660999698.47,9528374924.62,0.0,1277443325.84,18271800799.7,53101599864.7,-3828231506.01,38392356262.3,7798661844.42,1103312137.52
1111,732199939.694,1905674984.92,0.0,255488665.168,3654360159.93,10620319972.9,-765646301.202,7678471252.45,1559732368.88,220662427.503
11111,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
111110,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
11112,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
111120,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
11113,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
111130,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
11114,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
111140,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
11115,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
111150,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
11116,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
111160,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
11119,104599991.385,272239283.561,0.0,36498380.7383,522051451.419,1517188567.56,-109378043.029,1096924464.64,222818909.841,31523203.929
111191,52299995.6924,136119641.78,0.0,18249190.3691,261025725.709,758594283.782,-54689021.5144,548462232.318,111409454.92,15761601.9645
111199,52299995.6924,136119641.78,0.0,18249190.3691,261025725.709,758594283.782,-54689021.5144,548462232.318,111409454.92,15761601.9645
1112,732199939.694,1905674984.92,0.0,255488665.168,3654360159.93,10620319972.9,-765646301.202,7678471252.45,1559732368.88,220662427.503
11121,732199939.694,1905674984.92,0.0,255488665.168,3654360159.93,10620319972.9,-765646301.202,7678471252.45,1559732368.88,220662427.503
