"Page: 137  March 12, 2015"
""
"R.103 Change in Net Worth of Nonfinancial Corporate Business"
"Billions of dollars; not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Nonfinancial corporate business; net worth","    1451.3","     935.8","     617.2","    1849.8","    1386.0","     509.7","     442.3","      79.9","     522.9","     281.9","     501.3","    1",
"Nonfinancial corporate business; net investment","      74.0","    -595.2","    -533.1","    -300.3","    -238.4","    -144.7","     -52.4","    -136.9","      19.5","    -121.6","       0.5","    2",
"Nonfinancial corporate business; net physical investment","     184.0","     262.4","     305.3","     293.5","     410.3","      85.8","      85.0","      89.5","     100.5","     104.9","     115.4","    3",
"Nonfinancial corporate business; total capital expenditures","    1235.4","    1331.9","    1478.0","    1525.8","    1684.3","     395.7","     396.1","     399.4","     415.8","     427.7","     441.4","    4",
"Nonfinancial corporate business; consumption of fixed capital, structures, equipment, and intellectual property products (NIPA basis)","    1092.4","    1137.8","    1182.2","    1228.9","    1281.5","     309.2","     311.8","     316.0","     318.5","     321.7","     325.3","    5",
"Nonfinancial corporate business; inventory valuation adjustment (IVA)","     -41.0","     -68.3","      -9.5","       3.3","      -7.6","       0.7","      -0.7","      -6.2","      -3.2","       1.0","       0.7","    6",
"Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account)","     145.2","    -400.9","    -478.9","    -221.2","    -225.8","    -126.9","     -16.8","     -94.5","     -12.1","    -111.3","      -7.9","    7",
"Nonfinancial corporate business; total financial assets","     632.7","     493.4","     506.2","     897.9","     676.0","     183.0","     247.5","      56.8","     274.7","     134.0","     210.4","    8",
"Nonfinancial corporate business; total liabilities","     487.6","     894.3","     985.1","    1119.1","     901.8","     310.0","     264.3","     151.3","     286.8","     245.3","     218.4","    9",
"Nonfinancial corporate business; corporate equities; liability","    -255.1","    -456.7","    -359.5","    -372.7","    -422.9","    -103.5","    -120.6","    -131.9","     -68.8","    -115.2","    -107.0","   10",
"Nonfinancial corporate business; holding gains on assets at market value","     738.3","     676.8","     492.4","    1374.0","     879.9","     452.9","     248.7","     -17.6","     332.1","     233.3","     332.0","   11",
"Nonfinancial corporate business; real estate at market value","     724.6","     684.9","     478.1","    1343.5","     871.9","     444.2","     237.3","     -19.8","     326.6","     235.9","     329.2","   12",
"Nonfinancial corporate business; mutual fund shares; asset","      13.6","      -8.1","      14.3","      30.5","       8.0","       8.7","      11.4","       2.2","       5.5","      -2.6","       2.9","   13",
"Nonfinancial corporate business; holding gains on assets less liabilities at current cost","       1.9","     181.2","      84.2","      11.6","     -64.9","      59.5","     -27.9","     -46.6","      14.7","      -3.3","     -29.7","   14",
"Nonfinancial corporate business; equipment, current cost basis","      41.1","      76.6","      30.1","       8.6","      42.0","       6.4","      -0.2","       7.6","      11.4","      11.3","      11.7","   15",
"Nonfinancial corporate business; nonresidential intellectual property products, current cost basis","      22.5","      27.9","      43.5","      26.1","      15.8","       9.1","      10.0","      11.7","       7.1","       1.3","      -4.1","   16",
"Nonfinancial corporate business; inventories excluding IVA, current cost basis","      69.1","      33.7","      12.7","      -0.3","     -28.4","      -2.1","       2.8","      22.6","       2.8","     -13.0","     -40.8","   17",
"Nonfinancial corporate business; U.S. direct investment abroad; asset","    -145.6","     -47.6","       5.9","     -28.4","     -68.9","      30.6","      -3.6","     -17.8","     -14.1","     -45.7","       8.7","   18",
"Nonfinancial corporate business; foreign direct investment in U.S.; liability","     -14.8","     -90.7","       8.1","      -5.7","      25.4","     -15.4","      36.9","      70.7","      -7.6","     -42.8","       5.1","   19",
"Nonfinancial corporate business; other volume changes","     637.1","     673.0","     573.7","     764.5","     809.4","     142.0","     273.9","     280.9","     156.7","     173.5","     198.4","   20",
"Nonfinancial corporate business; net worth","   15731.1","   16666.9","   17284.1","   19133.9","   20519.9","   18691.6","   19133.9","   19213.8","   19736.7","   20018.7","   20519.9","   21",
