YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_POS_IND,S_NET_INCM_POS,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2011,5,1,2,0,381176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66901984,0,62688172,0,5855,0,1659558,0,2548400,0,54699561,0,19069327,0,4504475,0,6713417,0,548386,0,202811,0,2766364,0,1557197,0,409770,0,72823,0,732563,1,193,0,634734,0,332843,0,463419,0,214447,0,16476790,0,12202423,0,26746266,0,12196568,0,12604311,0,407743,0,13562039,0,81214,0,143546,0,65017,0,19820,0,13252442,0,926213,0,934741,0,8528,0,61445,0,61496,1,50,0,40064,0,39487,0,577
2011,5,1,1,0,2724088,0,2674382005,0,390792167,0,651806019,0,11595652,0,316332290,0,55395804,0,28358038,0,141889594,0,49379112,0,56493038,0,355814365,0,1137589492,0,733493819,0,13260503,0,6028024,0,79295280,0,116328080,0,42567672,0,75333389,0,2674382005,0,358057576,0,189464366,0,511797253,0,111625087,0,398460628,0,124847741,0,980129354,0,58022989,0,194363814,0,782932507,0,55189956,0,5148261123,0,5033463806,0,1424007,0,12714877,0,100658434,0,4774585571,0,3108105899,0,195918472,0,511838181,0,29407024,0,8239613,0,121050058,0,96984004,0,29705162,0,7223971,0,72366945,0,538986,0,38913984,0,20987706,0,46201870,0,556081,0,486547614,0,373675553,0,457111722,0,372251545,0,378444776,0,6193230,0,72151456,0,7381440,0,9119271,0,2035251,0,1182529,0,52432965,0,11139954,0,11812210,0,672256,0,1568766,0,1688015,0,119250,0,311050,0,240769,0,64715
2011,5,11,12,0,33,0,8528614,0,454722,0,1235413,0,5358,0,2219754,0,244593,0,176059,0,355492,0,6826,0,0,0,1831945,0,3632940,0,2220693,0,14,0,14,0,422282,0,77214,0,36013,0,133439,0,8528614,0,510852,0,1291145,0,609509,0,104950,0,1570251,0,370647,0,4071260,0,153456,0,265470,0,3868872,0,216537,0,10124959,0,9985249,0,12993,0,7737,0,118979,0,9646265,0,7055970,0,55012,0,483499,0,47247,0,3639,0,63732,0,130050,0,111235,0,21450,0,282052,0,10767,0,28014,0,11854,0,65692,0,99,0,1275953,0,478693,0,717248,0,465700,0,469850,0,4151,0,246719,0,129548,0,48439,0,660,0,1074,0,66998,0,4646,0,4801,0,155,0,183,0,184,0,1,0,725,0,725,0,0
2011,5,11,11,0,51,0,3553028,0,286017,0,601071,0,1862,0,649968,0,23869,0,0,0,135089,0,138296,0,8121,0,546270,0,2120354,0,1321397,0,2628,0,961,0,284964,0,76382,0,5432,0,9651,0,3553028,0,256004,0,376813,0,224944,0,72671,0,609477,0,14088,0,1999031,0,38944,0,215642,0,1777378,0,32932,0,4530756,0,4444601,0,76,0,3676,0,82403,0,4140696,0,2675489,0,35037,0,253623,0,42544,0,1018,0,61096,0,50132,0,36973,0,11470,0,152320,0,0,0,4205,0,5952,0,30737,0,183,0,779918,0,390060,0,446759,0,389984,0,396311,0,6327,0,46619,0,31285,0,12839,0,45,0,-385,0,2835,0,9395,0,9625,0,230,0,760,0,760,4,,0,29702,0,21,0,29682
2011,5,11,10,0,105,0,3618817,0,439694,0,618085,1,4001,0,319015,0,0,1,18029,0,181093,1,81845,1,84930,0,558331,0,1796283,0,1044847,1,121019,1,23989,0,408865,0,9422,0,3956,0,58999,0,3618817,0,255027,0,462765,0,138630,1,114817,0,467805,0,71085,0,2108689,0,103810,0,374347,0,1662149,0,31617,0,3623944,0,3426077,1,2186,0,10862,0,184819,0,3304486,0,2150416,0,38827,0,223551,0,37194,1,1027,0,52530,0,45829,0,27244,0,1019,0,95409,0,0,0,7450,0,7589,0,20867,1,428,0,595105,0,319459,0,493560,0,317272,0,322690,1,5417,0,138561,0,6246,0,16227,1,14304,1,946,0,100839,0,37631,0,37863,1,232,1,96,1,96,0,0,0,0,0,0,0,0
2011,5,11,9,0,282,0,4582607,0,287855,0,537194,1,2045,0,1156171,0,0,1,11447,0,247251,0,92380,1,1295,0,605789,0,2768342,0,1845321,1,30160,1,7245,0,569385,0,11684,0,4964,0,123228,0,4582607,0,307698,0,740823,0,416122,0,132129,0,791090,0,110536,0,2084209,0,126839,0,481797,0,1558626,0,83052,0,7045225,0,6639870,1,1119,0,28731,0,375505,0,6659109,0,4321697,0,82248,0,513500,0,110494,0,16642,0,209927,0,88101,0,58679,0,1633,0,261187,0,0,0,6719,0,18410,0,50842,1,125,0,918905,0,386116,0,505788,0,384997,0,399999,1,15002,0,97107,0,35626,0,14191,1,3824,0,3162,0,40305,0,18801,0,19775,1,974,1,4883,1,4883,0,0,1,188,1,188,0,0
2011,5,11,8,0,587,0,4017451,0,483228,0,790071,1,3931,0,444664,0,0,0,0,0,473259,1,4644,0,0,0,242829,0,3325692,0,2533110,0,0,0,0,0,286979,0,13368,0,10576,0,500335,0,4017451,0,143977,0,525390,0,308447,1,23270,0,449341,1,85,0,2566941,0,274911,0,515233,0,1957051,1,180254,0,7873900,0,5689672,1,112,0,36111,0,2148004,0,7189548,0,2868708,0,43663,0,743527,0,137404,1,271,0,350303,0,139007,0,36413,1,3542,0,389943,0,0,0,4497,1,2196,0,13413,1,562,0,2456099,0,684352,0,934446,0,684240,0,686551,1,2311,0,242452,1,87513,0,13248,1,19039,1,142,1,122510,1,7689,1,7746,1,58,1,66,1,66,0,0,0,0,0,0,0,0
2011,5,11,7,0,6601,0,12970410,0,1922760,0,770121,0,5,0,1107708,0,0,1,8721,0,525224,0,794020,1,46982,0,1218301,0,14799375,0,12130623,0,0,0,0,0,3197718,0,172304,0,62680,0,600484,0,12970410,0,727498,0,1086727,0,674040,0,1094519,0,4182063,0,602755,0,4602808,0,650408,0,1849098,0,2492175,0,388874,0,20428835,0,17994526,1,4268,0,297482,0,2132558,0,18758014,0,8636434,0,260995,0,1509563,0,566814,1,412,0,801591,0,337045,0,254320,0,12449,0,829608,0,0,0,17503,1,4372,0,103351,0,0,0,5423559,0,1670821,0,2959945,0,1666552,0,1913953,0,247401,0,1128819,0,12365,0,48074,0,366892,0,-5003,0,706491,0,153239,0,155485,1,2247,1,11335,1,11335,0,0,1,3992,1,3992,0,0
2011,5,11,6,0,6058,0,4321638,0,878260,0,213647,0,0,1,250660,0,0,0,0,0,299533,0,463925,1,76554,0,321929,0,5120897,0,4519146,0,0,0,0,0,843276,1,10343,1,5677,0,367438,0,4321638,1,21499,0,649975,0,39585,1,247112,0,1486281,1,142137,0,1735050,0,528796,0,827804,0,378456,0,7,0,6986346,0,5678165,0,0,0,39760,0,1268421,0,6061928,0,1671533,0,174282,0,613416,0,211193,1,1652,0,426342,0,122399,0,90854,1,1030,0,330706,0,0,0,8575,1,8086,0,55448,0,0,0,2346413,0,924418,0,1384305,0,924418,0,924418,0,0,0,10936,1,230,0,11803,0,0,0,0,1,-1097,1,35141,1,35277,1,136,1,413810,1,413810,0,0,0,0,0,0,0,0
2011,5,11,5,0,7341,0,2658484,0,710282,1,77944,0,0,1,161618,0,0,0,0,0,75792,1,123373,0,0,1,155061,0,6076636,0,5120058,0,0,0,0,1,281295,1,128763,1,32327,1,20104,0,2658484,1,53921,1,434898,0,117681,1,74916,0,491760,0,0,0,1485308,0,448062,0,290676,0,906868,1,160298,0,6525634,0,5485913,0,0,1,1208,0,1038513,0,5796645,1,991333,0,182863,0,404859,0,363508,0,0,0,243146,0,131882,0,52254,1,66128,0,414878,0,0,1,12883,1,242,1,14974,1,1367,0,2916328,0,728989,0,780947,0,728989,0,729125,1,136,0,42326,1,1501,0,6249,0,0,0,0,1,34576,1,9633,1,9633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
