Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
111191,71657635.1733,170748718.827,3071868.12231,32122607.2271,156134916.485,660030851.403,15237353.2284,469187882.948,81371273.1984,17113337.3815
111199,71657635.1733,170748718.827,3071868.12231,32122607.2271,156134916.485,660030851.403,15237353.2284,469187882.948,81371273.1984,17113337.3815
1112,1003206892.43,2390482063.58,43006153.7123,449716501.179,2185888830.79,9240431919.64,213322945.198,6568630361.27,1139197824.78,239586723.341
11121,1003206892.43,2390482063.58,43006153.7123,449716501.179,2185888830.79,9240431919.64,213322945.198,6568630361.27,1139197824.78,239586723.341
111211,501603446.213,1195241031.79,21503076.8562,224858250.59,1092944415.4,4620215959.82,106661472.599,3284315180.63,569598912.389,119793361.67
111219,501603446.213,1195241031.79,21503076.8562,224858250.59,1092944415.4,4620215959.82,106661472.599,3284315180.63,569598912.389,119793361.67
1113,1003206892.43,2390482063.58,43006153.7123,449716501.179,2185888830.79,9240431919.64,213322945.198,6568630361.27,1139197824.78,239586723.341
11131,334402297.476,796827354.528,14335384.5708,149905500.393,728629610.265,3080143973.21,71107648.3992,2189543453.76,379732608.259,79862241.1136
111310,334402297.476,796827354.528,14335384.5708,149905500.393,728629610.265,3080143973.21,71107648.3992,2189543453.76,379732608.259,79862241.1136
11132,334402297.476,796827354.528,14335384.5708,149905500.393,728629610.265,3080143973.21,71107648.3992,2189543453.76,379732608.259,79862241.1136
111320,334402297.476,796827354.528,14335384.5708,149905500.393,728629610.265,3080143973.21,71107648.3992,2189543453.76,379732608.259,79862241.1136
11133,334402297.476,796827354.528,14335384.5708,149905500.393,728629610.265,3080143973.21,71107648.3992,2189543453.76,379732608.259,79862241.1136
111331,47771756.7822,113832479.218,2047912.08154,21415071.4847,104089944.324,440020567.602,10158235.4856,312791921.965,54247515.4656,11408891.5877
111332,47771756.7822,113832479.218,2047912.08154,21415071.4847,104089944.324,440020567.602,10158235.4856,312791921.965,54247515.4656,11408891.5877
111333,47771756.7822,113832479.218,2047912.08154,21415071.4847,104089944.324,440020567.602,10158235.4856,312791921.965,54247515.4656,11408891.5877
111334,47771756.7822,113832479.218,2047912.08154,21415071.4847,104089944.324,440020567.602,10158235.4856,312791921.965,54247515.4656,11408891.5877
111335,47771756.7822,113832479.218,2047912.08154,21415071.4847,104089944.324,440020567.602,10158235.4856,312791921.965,54247515.4656,11408891.5877
111336,47771756.7822,113832479.218,2047912.08154,21415071.4847,104089944.324,440020567.602,10158235.4856,312791921.965,54247515.4656,11408891.5877
111339,47771756.7822,113832479.218,2047912.08154,21415071.4847,104089944.324,440020567.602,10158235.4856,312791921.965,54247515.4656,11408891.5877
1114,1003206892.43,2390482063.58,43006153.7123,449716501.179,2185888830.79,9240431919.64,213322945.198,6568630361.27,1139197824.78,239586723.341
11141,501603446.213,1195241031.79,21503076.8562,224858250.59,1092944415.4,4620215959.82,106661472.599,3284315180.63,569598912.389,119793361.67
111411,250801723.107,597620515.896,10751538.4281,112429125.295,546472207.699,2310107979.91,53330736.2994,1642157590.32,284799456.195,59896680.8352
111419,250801723.107,597620515.896,10751538.4281,112429125.295,546472207.699,2310107979.91,53330736.2994,1642157590.32,284799456.195,59896680.8352
11142,501603446.213,1195241031.79,21503076.8562,224858250.59,1092944415.4,4620215959.82,106661472.599,3284315180.63,569598912.389,119793361.67
111421,250801723.107,597620515.896,10751538.4281,112429125.295,546472207.699,2310107979.91,53330736.2994,1642157590.32,284799456.195,59896680.8352
111422,250801723.107,597620515.896,10751538.4281,112429125.295,546472207.699,2310107979.91,53330736.2994,1642157590.32,284799456.195,59896680.8352
1119,1003206892.43,2390482063.58,43006153.7123,449716501.179,2185888830.79,9240431919.64,213322945.198,6568630361.27,1139197824.78,239586723.341
11191,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
111910,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
11192,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
111920,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
11193,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
111930,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
11194,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
111940,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
11199,200641378.485,478096412.717,8601230.74246,89943300.2358,437177766.159,1848086383.93,42664589.0395,1313726072.25,227839564.956,47917344.6682
111991,66880459.4951,159365470.906,2867076.91415,29981100.0786,145725922.053,616028794.643,14221529.6798,437908690.751,75946521.6519,15972448.2227
111992,66880459.4951,159365470.906,2867076.91415,29981100.0786,145725922.053,616028794.643,14221529.6798,437908690.751,75946521.6519,15972448.2227
