Codes:,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,corporate_limited_partners,tax_exempt_limited_partners
1,2103494000.0,106154000000.0,83792696000.0,131788318000.0,94440747000.0,344662139000.0,291199705000.0,9520084000.0,236425766000.0,78976841000.0
11,8029000.0,979274000.0,2876711000.0,1119989000.0,845322984.404,59843984.4042,2120329015.6,-99394984.4042,786350000.0,-17005015.5958
111,4142215.55714,505214098.58,1484114716.35,577809921.487,436107861.104,30873917.4493,1093892120.39,-51278546.6061,405683298.462,-8773002.88332
1111,828443.111427,101042819.716,296822943.27,115561984.297,87221572.2208,6174783.48985,218778424.079,-10255709.3212,81136659.6925,-1754600.57666
11111,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
111110,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
11112,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
111120,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
11113,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
111130,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
11114,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
111140,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
11115,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
111150,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
11116,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
111160,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
11119,118349.015918,14434688.5309,42403277.61,16508854.8996,12460224.603,882111.927122,31254060.5827,-1465101.3316,11590951.3846,-250657.225238
111191,59174.5079591,7217344.26543,21201638.805,8254427.44982,6230112.30148,441055.963561,15627030.2913,-732550.665801,5795475.69232,-125328.612619
111199,59174.5079591,7217344.26543,21201638.805,8254427.44982,6230112.30148,441055.963561,15627030.2913,-732550.665801,5795475.69232,-125328.612619
1112,828443.111427,101042819.716,296822943.27,115561984.297,87221572.2208,6174783.48985,218778424.079,-10255709.3212,81136659.6925,-1754600.57666
11121,828443.111427,101042819.716,296822943.27,115561984.297,87221572.2208,6174783.48985,218778424.079,-10255709.3212,81136659.6925,-1754600.57666
111211,414221.555714,50521409.858,148411471.635,57780992.1487,43610786.1104,3087391.74493,109389212.039,-5127854.66061,40568329.8462,-877300.288332
111219,414221.555714,50521409.858,148411471.635,57780992.1487,43610786.1104,3087391.74493,109389212.039,-5127854.66061,40568329.8462,-877300.288332
1113,828443.111427,101042819.716,296822943.27,115561984.297,87221572.2208,6174783.48985,218778424.079,-10255709.3212,81136659.6925,-1754600.57666
11131,276147.703809,33680939.9053,98940981.0901,38520661.4325,29073857.4069,2058261.16328,72926141.3596,-3418569.77374,27045553.2308,-584866.858888
111310,276147.703809,33680939.9053,98940981.0901,38520661.4325,29073857.4069,2058261.16328,72926141.3596,-3418569.77374,27045553.2308,-584866.858888
11132,276147.703809,33680939.9053,98940981.0901,38520661.4325,29073857.4069,2058261.16328,72926141.3596,-3418569.77374,27045553.2308,-584866.858888
111320,276147.703809,33680939.9053,98940981.0901,38520661.4325,29073857.4069,2058261.16328,72926141.3596,-3418569.77374,27045553.2308,-584866.858888
11133,276147.703809,33680939.9053,98940981.0901,38520661.4325,29073857.4069,2058261.16328,72926141.3596,-3418569.77374,27045553.2308,-584866.858888
111331,39449.6719727,4811562.84362,14134425.87,5502951.63321,4153408.20099,294037.309041,10418020.1942,-488367.110534,3863650.46155,-83552.4084126
111332,39449.6719727,4811562.84362,14134425.87,5502951.63321,4153408.20099,294037.309041,10418020.1942,-488367.110534,3863650.46155,-83552.4084126
111333,39449.6719727,4811562.84362,14134425.87,5502951.63321,4153408.20099,294037.309041,10418020.1942,-488367.110534,3863650.46155,-83552.4084126
111334,39449.6719727,4811562.84362,14134425.87,5502951.63321,4153408.20099,294037.309041,10418020.1942,-488367.110534,3863650.46155,-83552.4084126
111335,39449.6719727,4811562.84362,14134425.87,5502951.63321,4153408.20099,294037.309041,10418020.1942,-488367.110534,3863650.46155,-83552.4084126
111336,39449.6719727,4811562.84362,14134425.87,5502951.63321,4153408.20099,294037.309041,10418020.1942,-488367.110534,3863650.46155,-83552.4084126
