YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2011,3,1,12,0,3516,0,1306237123,0,140328007,0,392918072,0,8213757,0,80591467,0,55975390,0,26184145,0,57536948,0,4881033,0,46915988,0,250424274,0,297788471,0,153214185,0,12383203,0,4205217,0,22120107,0,42954805,0,9260885,0,50129257,0,1306237123,0,193960723,0,54298043,0,409939052,0,10449227,0,158588577,0,106194067,0,372807432,0,9686934,0,77558372,0,301599478,0,16037351,0,1009177284,0,970539083,0,1127001,0,4598511,0,32912689,0,965335227,0,705384629,0,8960433,0,82950646,0,4812403,0,4160593,0,13036530,0,14124911,0,12959316,0,3133165,0,23360343,0,495889,0,7613343,0,4468693,0,10150415,0,768202,0,68955717,0,43842057,0,62988900,0,70836120,0,7847220,0,42715056,0,53754265,0,11039209,0,19589728,0,4563670,0,3366526,0,764832,0,787044,0,10107656,0,714133,0,1095687,0,381555,0,-30017,0,278772,0,308788,0,103219,0,84736,0,16812
2011,3,1,11,0,3701,0,257406251,0,27048307,0,69475187,0,1363281,0,33613228,0,5540600,0,3263860,0,15815295,0,2668163,0,4601192,0,36796700,0,96403262,0,55754191,0,1388393,0,621881,0,6863589,0,7560513,0,2158570,0,6265886,0,257406251,0,31749575,0,22174682,0,49723915,0,6859411,0,37273377,0,9286707,0,100338584,0,3463467,0,25090556,0,77522831,0,5738271,0,384496768,0,374962610,0,166091,0,925122,0,8442945,0,369276794,0,280837856,0,4552883,0,28895769,0,1599846,0,716483,0,5211924,0,5696080,0,2474712,0,598159,0,8629884,0,70899,0,2377993,0,1216516,0,4054334,0,223583,0,22119874,0,15219974,0,19741902,0,23220761,0,3478859,0,15053883,0,18988665,0,3934782,0,4347923,0,662722,0,803724,0,180484,0,5581,0,2695413,0,280850,0,449156,0,168306,0,59246,0,94118,0,34872,0,48230,0,11177,0,35532
2011,3,1,10,0,7339,0,252990792,0,28288635,0,59098236,0,1532960,0,43534331,0,1660573,0,1450084,0,16949623,0,2727725,0,2786842,0,31842185,0,107955056,0,62952840,0,1051592,0,417676,0,8826824,0,7893055,0,2690500,0,6520006,0,252990792,0,31663253,0,28825216,0,28731354,0,10397154,0,42737643,0,8283318,0,102352853,0,4001886,0,24582094,0,77907547,0,4138673,0,469689358,0,462249366,0,97294,0,870713,0,6471984,0,452167497,0,348699572,0,5758143,0,34652984,0,1889879,0,827850,0,7003646,0,6354089,0,2655669,0,543422,0,9096378,0,45340,0,3139812,0,1236841,0,4369531,0,47915,0,25846424,0,17521861,0,21668961,0,25411691,0,3742730,0,17424567,0,21495748,0,4071181,0,3705158,0,517105,0,758356,0,120637,0,-3748,0,2312808,0,492845,0,704294,0,211450,0,46391,0,160076,0,113686,0,35052,0,30304,1,4358
2011,3,1,9,0,24454,0,372030615,0,45063194,0,80179006,0,1302672,0,73384709,0,446914,0,919336,0,24267207,0,6614338,0,3758124,0,36684266,0,173138365,0,105365664,0,991989,0,468157,0,14795003,0,12857974,0,4146759,0,10213443,0,372030615,0,46731524,0,52221345,0,33243943,0,19493459,0,65900520,0,12231289,0,142208535,0,8945515,0,40144462,0,101479018,0,8360459,0,795431713,0,783258048,0,112865,0,1446576,0,10614224,0,767680127,0,580889176,0,12748123,0,64026551,0,3428763,0,1375156,0,13890163,0,12328208,0,4171688,0,802854,0,13645926,0,79858,0,5745246,0,2064813,0,7546053,0,155719,0,44781832,0,27751586,0,34874082,0,41532275,0,6658193,0,27638721,0,34604841,0,6966120,0,6729368,0,764999,0,1044596,0,167287,0,72779,0,4679708,0,587648,0,1014078,0,426430,0,-81656,0,138366,0,220022,0,22220,0,13331,0,6556
2011,3,1,8,0,40828,0,285235068,0,35892221,0,57338814,0,852561,0,56543834,1,144053,1,512462,0,21113880,0,5923682,0,1742172,0,25252772,0,144447202,0,89857993,0,739147,0,298143,0,13607319,0,10053773,0,3570337,0,6502773,0,285235068,0,37123587,0,35153085,0,22819553,0,21043684,0,57402865,0,9815740,0,101876554,0,7790726,0,27895493,0,72720876,0,6530541,0,611067895,0,599162007,0,38900,0,884540,0,10982448,0,587257111,0,424763350,0,13050125,0,56169757,0,3133637,0,1140151,0,11709797,0,10507831,0,3500263,0,625671,0,9577684,1,21201,0,4510525,0,1465106,0,5969520,0,72314,0,41040180,0,23810783,0,29704363,0,35035147,0,5330784,0,23771883,0,29393762,0,5621879,0,5225430,0,530759,0,740096,0,108441,0,-11874,0,3858008,0,691792,0,1020261,0,328469,0,15258,0,37155,0,21897,0,10341,0,10237,0,0
2011,3,1,7,0,253353,0,533796024,0,75968452,0,94174828,0,1318957,0,73383916,0,147914,0,472119,0,38403959,0,16132238,0,5331526,0,41760373,0,330683180,0,203159459,0,1259329,0,659201,0,37159234,0,26510030,0,12769721,0,10316265,0,533796024,0,63765478,0,43535766,0,41397587,0,65959038,0,138825727,0,18445838,0,161866590,0,21164146,0,69179365,0,83290949,0,11767871,0,1141715109,0,1125258316,0,71309,0,2329862,0,14055623,0,1091085100,0,706346893,0,37688153,0,121867911,0,7859489,0,2539397,0,28879353,0,23639346,0,7710689,0,1496479,0,18202700,0,72833,0,7880361,0,3597408,0,10646697,0,173413,0,112483978,0,50630009,0,61424495,0,76020763,0,14596268,0,50558701,0,65499501,0,14940801,0,8253413,0,396222,0,1574156,0,561491,0,30431,0,5691114,0,2550404,0,3572829,0,1022425,0,61977,0,145853,0,83876,0,28177,0,26846,1,1331
2011,3,1,6,0,239033,0,168917267,0,29680580,0,19474325,0,44504,0,19065004,1,801,1,109367,0,10397327,0,7836842,0,1331385,0,9917118,0,135507019,0,90791993,0,326430,1,138532,0,13892116,0,14510829,0,6088148,0,3931299,0,168917267,0,15892036,0,13118309,0,12825549,0,28401051,0,50070390,0,3682762,0,44927170,0,10345130,0,27438583,0,11858392,0,4714936,0,427165484,0,419685934,0,13443,0,1062586,0,6403522,0,405113996,0,226905907,0,24006612,0,51650277,0,3676074,0,668416,0,14201171,0,10964357,0,3109390,0,957724,0,7119930,1,7978,0,3453395,0,2090104,0,3606590,0,102732,0,52593338,0,22051488,0,25401718,0,32151330,0,6749612,0,22038046,0,28699058,0,6661012,0,1719243,0,77727,0,306297,0,10669,0,-86254,0,1410804,0,1242839,0,1552260,0,309421,0,401590,0,452438,1,50848,1,7569,1,7569,0,0
2011,3,1,5,0,350227,0,123651677,0,26408656,0,11164038,0,37904,0,13731129,1,7722,1,13796,0,6778572,0,7227890,0,731848,0,6299212,0,112149143,0,77509562,0,193107,1,38279,0,6823118,0,12543951,0,5569250,0,2734489,0,123651677,0,11018862,0,7995405,0,12319794,0,30905672,0,31670635,0,1930394,0,27810915,0,9604685,0,28770289,0,-7623309,0,2940750,0,376705156,0,370001619,0,9198,0,527088,0,6167251,0,354007557,0,172714637,0,25272161,0,54399541,0,3392718,0,474824,0,15799983,0,10339793,0,2446271,0,866259,0,6000268,1,14690,0,3794669,0,1795115,0,2874565,1,6269,0,53815794,0,22697599,0,24239552,0,30455599,0,6216047,0,22688400,0,28927088,0,6238688,0,833245,0,36153,0,183007,0,49253,0,73975,0,490857,0,700986,0,1053680,0,352694,0,16920,1,22980,1,6059,1,7573,1,7363,1,210
2011,3,1,4,0,564002,0,89757193,0,24595753,0,7029066,0,71791,0,9939520,0,0,1,19245,0,4031346,0,6609874,1,239702,0,3401143,0,97493982,0,73860047,1,184482,1,134476,0,2740045,0,11530000,0,5940320,0,1949671,0,89757193,0,7948782,0,6817048,0,10179457,0,25050025,0,19770009,0,2508291,0,17483580,0,7270973,0,25365216,0,-12656367,0,2496243,0,401659797,0,394685056,0,19242,0,499296,0,6456203,0,376374523,0,159871756,0,32215454,0,59084426,0,3672804,0,591551,0,19769884,0,11450380,0,2036858,0,683222,0,5665181,1,12003,0,4043409,0,2415101,0,3374067,0,97717,0,71390711,0,25285274,0,26886315,0,33589307,0,6702992,0,25266032,0,31978370,0,6712338,0,1013361,0,33368,0,167018,0,65957,0,42584,0,704433,0,534408,0,771318,0,236911,0,72515,0,72738,1,223,1,2268,1,2267,4,
2011,3,1,3,0,1940011,0,51137874,0,19031650,0,2874749,0,17913,0,3954707,1,172,1,26318,0,2241994,0,4262727,0,42068,0,1339859,0,100945524,0,86880365,1,52346,1,8091,0,563972,0,6552568,0,4625259,0,780847,0,51137874,0,5395693,0,6224201,0,10035874,0,44898489,0,12896676,0,2628681,0,-30941740,0,8358407,0,25940550,0,-63121020,0,2119678,0,522699567,0,515477811,0,2473,0,463450,0,6755834,0,481928650,0,159619087,0,64722136,0,75832358,0,4717396,0,701446,0,26007949,0,15628858,0,2132911,0,491654,0,6727728,1,1669,0,5397041,0,3601128,0,4638874,0,128225,0,111580190,0,40770917,0,50124711,0,62112463,0,11987752,0,40768444,0,52813178,0,12044734,0,8735920,0,89966,0,1762415,0,181907,0,-56782,0,6758414,0,235970,0,330827,0,94857,1,384376,1,385821,1,1445,1,8808,1,7726,1,1082
