YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,COMP_DIV_FRN_CORP_IND,COMP_DIV_FRN_CORP,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,(cash_dist + prpty_dist)_IND,(cash_dist + prpty_dist),STCK_DIST_IND,STCK_DIST
2011,1,1,3,0,3860630,0,372990016,0,98545238,0,33888197,0,481587,0,40029833,0,80621,0,225023,0,19260769,0,25780079,0,1690124,0,17133238,0,432356179,0,335985655,0,680626,0,390575,0,13943141,0,39068888,0,21129207,0,8295082,0,372990016,0,39472603,0,38913700,0,48746535,0,130751559,0,91326386,0,12404308,0,11374925,0,55214311,0,120645433,0,1649168,0,-150208165,0,15925823,0,1812948808,0,1778094379,0,1101066,0,38851,0,719233,0,308943,0,23363,0,1317676,0,2471951,0,93825,0,1296,0,28778225,0,1727566278,0,676659214,0,184169037,0,273016686,0,17454334,0,2726121,0,86029183,0,54897336,0,9831808,0,177986,0,2569536,0,26169129,0,64714,0,18523555,0,13366406,0,18899863,0,43200,0,901080,0,342067090,0,85382530,1,1,0,85343679,0,125584406,0,40240727,0,88722877,0,5669027,0,5564307,0,61058,0,6264429,0,1235650,0,1260680,0,5261,0,6720,0,47742,1,500,0,1180688,0,2294520,1,35059
2011,1,1,2,0,1023517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434374352,0,355258767,0,30827112,0,843253,0,1423500,0,1372811,0,194211,0,9764271,0,10061899,0,89936,0,421710,0,24116882,0,428281401,0,201166669,0,13390540,0,44454653,0,3177418,0,7364622,0,10714674,0,9113418,0,22069706,0,159714,0,2299474,0,8846348,0,684957,0,2647168,0,2469308,0,3708090,0,121868,0,7947765,0,87945009,0,6092951,0,451971,0,5701669,0,43030262,0,37328594,0,4584984,0,16446658,0,12267845,0,68084,0,14155535,0,5178584,0,4785199,0,255111,0,174613,0,77809,0,34200,0,4888681,0,12479094,1,59450
2011,1,1,1,0,5823126,0,81279900132,0,4196401064,0,13089039155,0,274615718,0,1652538308,0,2859060985,0,1767134477,0,5076673794,0,256741875,0,7615290526,0,29744793619,0,10225874777,0,5021678762,0,757031840,0,320673583,0,567344435,0,4827472371,0,844601506,0,5106072476,0,81279900132,0,5343438576,0,3839009270,0,18812687525,0,752861444,0,14488932150,0,8793215010,0,29249756158,0,2982655356,0,24859384948,0,255941229,0,3330257708,0,2178483084,0,28335600572,0,25197647975,0,1289431666,0,54321570,0,135898550,0,179488795,0,27975223,0,123919334,0,91586069,0,20931643,0,94975435,0,1119424312,0,27092728580,0,16180343317,0,453807361,0,2636757330,0,182672231,0,252173405,0,471393175,0,519383532,0,860102222,0,14773314,0,196053708,0,873888617,0,26690501,0,263563643,0,170974307,0,340826975,0,27405248,0,56885036,0,3565034659,0,1242871992,0,134459066,0,1323009488,0,1829098228,0,506088740,0,292508717,0,491425714,0,170641389,0,13874162,0,994393494,0,349347851,0,345414746,0,3440855,0,107103753,0,19364739,0,1559010,0,220894314,0,667112962,0,12501724
2011,1,11,13,2,,2,,2,,2,,2,,2,,0,0,0,0,2,,0,0,0,0,2,,2,,2,,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,0,0,2,,2,,2,,2,,2,,0,0,2,,0,0,2,,2,,2,,2,,2,,2,,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,0,0,2,,2,,0,0,2,,2,,2,,2,,0,0,2,,2,,2,,2,,0,0,2,,0,0,2,,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,11,12,0,12,0,14065736,0,314618,0,2395506,0,23215,0,1922728,0,0,0,0,0,1109935,0,11095,0,0,0,1939586,0,5983562,0,3204989,0,3907,0,3907,0,602497,0,2034141,0,154344,0,1134615,0,14065736,0,2433877,0,507980,0,893254,0,35000,0,4588237,0,1264870,0,4342517,0,139406,0,4449387,0,0,0,-217075,0,29201,0,13363686,0,13132729,0,15901,0,3847,0,16701,0,19861,0,0,0,11282,0,27139,0,330,0,3519,0,132377,0,13720423,0,11145335,0,54014,0,243481,0,26889,0,16640,0,141790,0,196449,0,305453,0,9805,0,104236,0,460676,0,999,0,84494,0,43803,0,79126,0,28315,0,33380,0,745538,0,-356737,0,30189,0,-330395,0,303441,0,633836,0,-79877,0,231,0,0,0,231,0,303244,0,106136,0,106136,0,0,0,5350,0,2976,0,0,0,97810,0,44520,0,0
2011,1,11,11,0,30,0,11546726,0,499864,0,1414821,0,18327,0,1695173,0,244643,0,176059,0,384875,0,274173,0,397,0,2899040,0,4663822,0,2553334,0,754852,0,137766,0,974872,0,87257,0,21582,0,207885,0,11546726,0,607499,0,964129,0,542360,0,1474389,0,2255861,0,484934,0,5217555,0,421042,0,1039173,0,0,0,3949635,0,192295,0,12366544,0,12232512,0,41620,0,5886,0,24984,0,20249,0,458,0,36602,0,14626,0,1053,0,19,0,-11465,0,12338465,0,9333482,0,40183,0,517336,0,49844,0,741,0,97205,0,166248,0,126248,0,5360,0,75356,0,373871,0,37593,0,30444,0,24353,0,66750,0,8473,0,1253,0,1383725,0,28079,0,303,0,22496,0,362888,0,340392,0,-16419,0,1943,0,1206,0,737,0,142416,0,49838,0,49838,0,0,0,569,0,674,0,0,0,48596,0,25126,0,0
2011,1,11,10,0,70,0,11461596,0,653927,0,1764906,0,13224,0,2238401,0,6474,0,29605,0,598000,0,67573,0,7011,0,1430911,0,6534952,0,3413235,0,2203,0,39,0,1157087,0,293908,0,60132,0,163266,0,11461596,0,1222209,0,991643,0,908044,0,141529,0,2230341,0,308956,0,5658875,0,543095,0,1685677,0,13442,0,3465034,0,48373,0,13203454,0,12596555,0,12497,0,5653,0,45125,0,112995,0,1022,0,86407,0,20020,0,2406,0,1125,0,319649,0,12883129,0,9488712,0,84428,0,526638,0,70704,0,23153,0,86890,0,167530,0,136107,0,8178,0,58176,0,602382,0,1656,0,17089,0,18678,0,118394,0,13075,0,11053,0,1450285,0,320325,0,0,0,314672,0,639817,0,325145,0,49971,0,43713,0,41912,0,1800,0,343317,0,119752,0,119319,0,433,0,57,0,9803,0,200,0,109691,0,96950,0,2234
2011,1,11,9,0,117,0,8462330,0,525688,0,1218233,0,8611,0,1332207,0,24182,0,0,0,481188,0,187000,0,16401,0,1067042,0,4842566,0,2778942,0,318054,0,109470,0,942387,0,197544,0,32214,0,239073,0,8462330,0,617972,0,858084,0,576408,0,273101,0,1889719,0,162443,0,4084602,0,351578,0,2361942,0,0,0,1434135,0,63052,0,8990656,0,8729148,0,12608,0,762,0,11310,0,2548,0,6,0,7351,0,32501,0,858,0,256,0,193309,0,8861419,0,5910117,0,86783,0,527489,0,81410,0,4156,0,132250,0,120048,0,105106,0,1586,0,34893,0,389977,0,9453,0,22762,0,13510,0,76501,0,1736,0,3871,0,1339770,0,129237,0,0,0,128475,0,472379,0,343903,0,230405,0,5150,0,4549,0,601,0,71304,0,54359,0,24545,0,100,4,,0,352,0,0,0,54007,0,9243,0,0
2011,1,11,8,0,259,0,9143402,0,790454,0,1456764,0,11009,0,946193,0,0,1,102067,0,431109,0,114652,1,107339,0,1291891,0,4272486,0,2433668,0,388887,1,31222,0,1333162,0,118328,0,42306,0,308274,0,9143402,0,643096,0,1166514,0,472701,0,472320,0,1800431,0,260593,0,4327747,0,408181,0,1524249,1,644,0,2566614,0,171940,0,8506177,0,7913272,0,12819,0,5809,0,20881,1,28812,1,285,0,30152,0,29711,1,1714,1,1225,0,461497,0,8278244,0,5599057,0,73649,0,465675,0,75196,0,9068,0,149135,0,116821,0,119056,0,1494,0,20420,0,289531,1,8373,0,15655,0,15972,0,51009,0,6109,0,2046,0,1259979,0,227933,1,275,0,222399,0,488188,0,265790,0,189659,0,45385,0,44174,1,1211,0,120293,0,41310,0,40871,1,438,1,2,1,16,1,128,0,41163,1,43039,0,0
2011,1,11,7,0,788,0,12461220,0,837742,0,1565039,0,11710,0,2430274,0,0,1,11447,0,625213,0,276531,0,31029,0,1546231,0,7342466,0,4681305,0,211259,1,51607,0,1747921,0,103158,0,31573,0,509108,0,12461220,0,1008541,0,1652361,0,730652,0,1407126,0,2639948,0,505265,0,4517327,0,542863,0,3313661,1,3750,0,912282,0,255229,0,15949176,0,15028610,0,17415,0,1422,0,26035,1,9673,1,8298,0,159306,0,54581,0,13617,1,3266,0,626953,0,15668481,0,9831549,0,182909,0,1116952,0,243947,0,53126,0,400106,0,247282,0,193268,0,3322,0,10213,0,685417,1,6429,0,29595,0,32640,0,115819,0,10422,0,14509,0,2490978,0,280695,1,34793,0,314066,0,682868,0,368802,0,125559,0,112089,0,101825,0,10264,0,171957,0,59380,0,57808,0,1572,1,1587,0,1697,1,438,0,55658,0,41891,0,0
