"Page: 101  March 12, 2015"
""
"L.125 Agency- and GSE-Backed Mortgage Pools 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Agency-and GSE-backed mortgage pools; total mortgages; asset","    1139.5","    1304.8","    1437.0","    1569.4","    1644.9","    1540.8","    1569.4","    1585.8","    1600.0","    1623.6","    1644.9","    1",
"Agency-and GSE-backed mortgage pools; home mortgages; asset","    1068.8","    1216.8","    1321.8","    1420.6","    1471.7","    1400.2","    1420.6","    1432.0","    1440.7","    1458.8","    1471.7","    2",
"Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset","      66.9","      86.4","     113.4","     147.1","     171.4","     138.8","     147.1","     152.0","     157.6","     163.2","     171.4","    3",
"Agency-and GSE-backed mortgage pools; commercial mortgages; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    4",
"Agency-and GSE-backed mortgage pools; farm mortgages; asset","       3.8","       1.7","       1.9","       1.8","       1.8","       1.8","       1.8","       1.7","       1.7","       1.7","       1.8","    5",
"Agency-and GSE-backed mortgage pools; total mortgages; asset","    1139.5","    1304.8","    1437.0","    1569.4","    1644.9","    1540.8","    1569.4","    1585.8","    1600.0","    1623.6","    1644.9","    6",
