age,mean_wealth,sd_wealth,median_wealth,p10_wealth,p90_wealth,p95_wealth,p96_wealth,p98_wealth,p99_wealth,num_obs
18.00000,10115.76201,10306.36918,7132.13529,0.00000,27777.96212,29709.17048,29709.17048,37759.61463,37759.61463,40.00000
19.00000,7863.23434,14237.45859,4491.18223,-2925.72943,20469.38903,44400.00000,44400.00000,56585.53616,56585.53616,150.00000
20.00000,40663.63774,259484.73572,3065.04988,-6320.00000,34200.00000,52614.19987,76013.25931,566640.00000,2263871.55860,345.00000
21.00000,24133.42587,167996.64918,2900.00000,-9100.00000,39000.00000,61086.65835,91360.00000,222860.00000,509109.07107,530.00000
22.00000,7984.78599,50273.80412,857.35661,-19087.52449,31947.25062,69392.30050,75600.00000,184331.67082,225056.10973,600.00000
23.00000,15009.84558,71062.85044,4550.00000,-21282.80611,40081.42145,77520.00000,100050.00000,193700.00000,388350.00000,715.00000
24.00000,71751.99316,782217.81370,7073.61202,-16830.70542,61350.00000,76980.00000,86455.25800,102015.00000,105712.06983,740.00000
25.00000,43965.35321,471774.53107,5208.44140,-22697.31221,71409.79752,150802.67146,181159.45137,330750.00000,495040.56172,955.00000
26.00000,71264.68353,345359.78711,12485.25561,-19320.00000,175000.00000,294958.39321,322130.04572,473000.00000,789010.00000,935.00000
27.00000,79518.44599,725593.39390,11000.00000,-10072.86845,145750.62344,252491.52120,289679.36409,383500.00000,432429.23940,1055.00000
28.00000,96532.74398,1073511.72516,13855.29719,-16055.97649,150300.00000,274321.41084,283463.52868,440252.61845,937702.71065,1095.00000
29.00000,74319.42899,192220.88095,11340.23514,-20255.04988,263600.00000,407237.94905,421385.17309,594400.00000,688385.95689,1035.00000
30.00000,101118.89730,486950.56653,19312.08361,-6961.33246,176278.90268,350199.93468,362500.00000,831800.63357,2678653.36381,1190.00000
31.00000,119548.52729,526833.90488,18500.00000,-13995.27494,316628.34749,466892.07707,593767.97518,837680.27431,1222050.68583,1375.00000
32.00000,142410.53875,988653.87607,25570.00000,-14001.26061,226300.00000,494587.59352,631347.94252,1247453.86534,1843068.90921,1315.00000
33.00000,132945.77114,496641.06145,22900.00000,-16700.00000,312698.56303,494872.14239,502439.78445,853390.00000,1262022.20771,1180.00000
34.00000,159125.99230,796647.69955,33000.00000,-8319.91509,320437.03242,619446.30960,669747.55062,1284300.00000,2084555.42394,1300.00000
35.00000,164646.25166,633688.87327,39870.47028,-11171.81581,369000.00000,571000.00000,718786.34663,1322472.56858,1553000.00000,1260.00000
36.00000,162411.29165,1524965.20132,30427.75963,-8200.00000,382563.23566,656229.09210,676000.00000,996368.77858,1186940.86871,1360.00000
37.00000,239910.15943,1473198.04659,43087.52805,0.00000,564850.00000,757718.58263,851700.00000,1230022.53429,2258200.00000,1255.00000
38.00000,238812.37519,3601558.80461,45125.15349,-2245.59112,513229.84977,1014000.00000,1177686.47132,1751901.05985,2651836.14090,1385.00000
39.00000,329305.29498,2003346.82522,66123.62843,-2245.59112,602900.00000,937990.00000,1612244.59830,2684604.18027,3933489.67995,1580.00000
40.00000,330892.71146,1072766.68016,83900.00000,0.00000,702710.91022,1238443.50098,1354141.17830,2221226.45330,4033081.64598,1590.00000
41.00000,370192.71446,1570860.68082,72553.80299,-5265.91117,634379.49053,2104000.00000,2147900.00000,3296303.20052,3893470.69825,1570.00000
42.00000,383390.96870,2918855.80381,68378.24951,-6698.09850,826534.72240,1174780.99282,1538000.00000,3168900.00000,6202400.00000,1700.00000
43.00000,384736.30658,1918507.49977,78300.00000,0.00000,609900.00000,1181820.92097,1447395.75441,3507051.92685,5777318.94015,1745.00000
44.00000,499941.15189,2636164.12291,63437.94905,-900.00000,960200.00000,1848900.00000,2859400.00000,5173075.43641,7282300.00000,1685.00000
45.00000,392460.45208,2724800.12068,92808.85287,-1100.00000,793928.73939,1386618.83083,1511844.21946,2267000.00000,4792700.00000,1815.00000
46.00000,455915.74926,2741649.65996,113795.32985,0.00000,710168.19073,1618300.00000,2096344.07731,3968000.00000,6335935.33638,1610.00000
47.00000,557881.25813,4814726.12880,126221.00000,0.00000,842994.90529,2005986.54474,2387063.35728,4253346.13466,7636244.87263,1755.00000
48.00000,607011.47517,2912330.77052,131411.33416,1645.00000,1030100.00000,1826148.14214,2292200.00000,6241556.10973,7946922.40366,1875.00000
49.00000,646246.30051,3698115.55525,152309.40150,0.00000,1061996.91397,2258598.81546,2462503.99086,4501511.95297,9303483.99739,1995.00000
50.00000,681980.41594,3186906.30430,155400.00000,0.00000,1073400.00000,2867700.00000,3729028.60875,5564458.72818,9052426.91052,2100.00000
51.00000,684869.92048,4160930.60667,150001.00000,3450.00000,1192600.00000,2327723.19202,2565587.85108,6115867.40692,7701152.15087,1930.00000
52.00000,748447.25928,5477291.04815,148433.57283,1446.78928,1487367.27629,2503721.81581,2875359.72569,5274200.00000,10790851.27368,2105.00000
53.00000,775843.67398,4239078.18667,167400.00000,2100.00000,1594040.27431,2779700.00000,3117441.86806,6165259.18354,9751734.81920,2105.00000
54.00000,695600.34560,3337440.89260,185403.36658,3216.15898,1266737.94905,2684276.37157,3096100.00000,5346047.13217,8727472.31297,1870.00000
55.00000,764766.93976,3645709.62912,157432.10723,0.00000,1344000.00000,3176934.91272,3914963.55323,6698400.00000,9954338.90274,2050.00000
56.00000,863452.62212,4370609.06156,176600.00000,257.20698,1755540.00000,3448716.95761,4539488.90274,7500000.00000,12916077.30673,1980.00000
57.00000,814450.25885,4010857.48376,203001.43697,1446.78928,1300646.37492,2977000.00000,3896500.00000,7243041.86806,12928937.65586,1855.00000
58.00000,968311.40848,4273865.07311,183500.00000,32.15087,2166968.82793,3994700.00000,4517000.00000,9432100.00000,13357380.18703,1905.00000
59.00000,970075.46945,4094138.56649,259243.20449,525.13092,1744500.00000,4083100.00000,5118712.67146,8377177.66166,13710456.56434,1840.00000
60.00000,856340.53292,4382362.87394,207158.79052,5980.00000,1517521.19701,2986299.34683,3797000.00000,6542300.00000,10659100.00000,1660.00000
