age,mean_wealth,sd_wealth,median_wealth,p10_wealth,p90_wealth,p95_wealth,p96_wealth,p98_wealth,p99_wealth,num_obs
61.00000,959802.08502,4820432.57719,206600.00000,5940.00000,2088512.01829,3243082.69105,3919117.89680,6635384.91182,14165138.71571,1635.00000
62.00000,974460.16137,4410525.37561,252393.21359,7051.15611,2056476.99501,3881682.04489,4656233.18093,8310405.00980,12056041.45885,1750.00000
63.00000,1131440.59860,5177875.67314,263433.53491,2492.60614,2095593.89027,5690800.00000,7013879.29458,10257000.00000,12952729.30175,1685.00000
64.00000,1003644.97423,5454397.60771,223448.56608,2470.15023,2056584.16459,3797126.15937,4632542.19464,8889172.43632,13108000.00000,1510.00000
65.00000,1049015.67002,5164577.31655,278677.85761,5950.81646,1966280.00000,4393500.00000,5282924.25187,10430500.00000,11374817.24363,1410.00000
66.00000,913401.46778,3449154.16576,281370.00000,18100.94140,1797595.68909,3143600.00000,3693870.00000,7882400.00000,12447087.00196,1375.00000
67.00000,1219702.09150,6184949.40221,308112.53117,8466.39651,2466500.00000,4549800.00000,5644600.00000,10345700.00000,15157000.00000,1220.00000
68.00000,1118357.23712,6451485.48331,250776.80798,10110.00000,2141065.94140,4292896.53821,4757000.00000,8358876.09406,10427300.00000,1035.00000
69.00000,1219929.26537,5523710.94444,218872.42519,5433.49751,2733360.03741,5820000.00000,7088000.00000,11704020.90137,13247874.31421,1085.00000
70.00000,919940.28917,5625740.67451,202300.00000,3780.00000,1865300.00000,3345257.08687,4261907.38080,7922000.00000,14572763.55323,1025.00000
71.00000,911639.23655,5084167.30406,203204.23317,3697.35037,1771771.39125,4108500.00000,4657805.09471,7433850.00000,10585604.24559,985.00000
72.00000,1191824.55870,5698328.38698,332890.13716,29888.81777,1673774.43890,4489498.04050,5990338.86349,10889994.12149,15379700.00000,870.00000
73.00000,810813.69222,5181662.89759,204372.38155,996.67706,1578822.19451,2352300.00000,2694457.48130,7328150.00000,10390911.49575,875.00000
74.00000,896100.78552,5209138.39714,192100.00000,7150.00000,1616900.00000,2837580.00000,3869153.49445,6597359.10224,11839991.44350,685.00000
75.00000,811769.34037,4926528.67091,227600.00000,8037.71820,1210158.85287,2497051.12219,2566598.36708,4686739.90025,13385407.25016,685.00000
76.00000,732348.46911,3842980.24244,201403.78429,5501.69824,1155073.69077,1954451.55860,3064600.00000,5283875.89811,10369207.85761,675.00000
77.00000,546976.35018,3302315.47008,220447.81796,23513.00499,710695.04364,879219.20200,933018.32918,3514911.49575,8424335.07511,625.00000
78.00000,738714.23062,4048163.17688,221400.00000,1628.05356,1367901.82887,3075338.15461,3152393.07980,4941932.09476,7110000.00000,615.00000
79.00000,825012.19775,4035631.38652,216699.54278,3643.76559,1619100.00000,1839308.56608,1841923.50374,7900300.00000,13414000.00000,515.00000
80.00000,600437.22721,4234272.30267,189000.00000,1789.73192,1177579.30175,2222321.91397,2368447.63092,4002750.00000,7284000.00000,500.00000
81.00000,553156.78308,3128108.83570,280462.78055,8680.00000,935288.70020,1328859.87531,1459521.94644,2805152.93641,4130820.00000,540.00000
82.00000,642393.83053,5559665.25577,239845.51122,12754.95754,875892.81515,1516896.79948,1773763.65337,4594872.40366,6699900.74461,565.00000
83.00000,872947.25809,6691858.59781,204200.00000,2986.63619,1313400.00000,3230300.00000,3386800.52253,7437397.77923,14615000.00000,480.00000
84.00000,524121.16195,4332519.36667,261723.64468,3643.76559,926320.23067,1515886.28347,1787041.41084,1804574.90648,2922468.41933,310.00000
85.00000,766149.72254,3660659.84000,194800.00000,4436.82045,1536500.00000,3829200.00000,4513875.37406,6187221.13466,6187328.30424,320.00000
86.00000,492257.83439,2529087.37073,208839.97387,5300.00000,875361.09726,1041900.00000,1263850.81047,1458577.93017,3114990.89776,280.00000
87.00000,837148.41162,5660997.96068,95541.67706,2133.31156,1772332.78903,2665000.00000,4148200.00000,7313890.26780,11900002.55611,240.00000
88.00000,784035.47664,4222234.32138,198734.81385,7298.17113,1087315.21881,1530100.00000,1829000.00000,8306000.00000,12871066.08479,230.00000
89.00000,501418.36362,1390643.51383,182188.27930,2464.90025,1048691.05160,1775400.00000,2835058.78511,4414000.00000,4414000.00000,150.00000
90.00000,636421.25782,1632802.44238,256200.00000,8037.71820,898500.00000,2121957.60599,2121957.60599,8623721.44638,9299891.05160,145.00000
91.00000,526560.88761,1068746.59113,202400.00000,15539.58853,1323000.00000,2417378.83736,2584675.37557,2909050.00000,3852853.42893,105.00000
92.00000,657390.40428,4978436.14449,246004.50686,78983.97756,834461.65905,841647.55062,841647.55062,10023400.00000,10029400.00000,70.00000
93.00000,254481.08181,255254.50810,235022.88030,8320.00000,569369.62769,863400.00000,953400.00000,1159400.00000,1230300.00000,85.00000
94.00000,322537.84541,1362810.29058,81400.00000,0.00000,261200.00000,2666914.90025,2666914.90025,3555886.53367,3577320.44888,50.00000
95.00000,983325.48345,6662245.81546,180545.52580,21.43392,1593182.91771,1722858.10474,1747399.93766,7094720.57479,7095843.37035,105.00000
