HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
152529020979101,93001,2,201404,23,18.00
269195709200215,91001,1,201404,57,10.00
190956207019252,91001,1,201404,74,18.28
321544056907393,91001,2,201404,23,18.00
706908351999152,91001,2,201404,48,32.00
210209987921492,93001,2,201404,23,8.50
996032388129830,93001,2,201404,30,31.25
957062500129180,93001,2,201404,48,40.00
860521097012059,93001,3,201404,19,8.00
610209916596074,91001,2,201404,50,7.75
602902141990582,93001,1,201404,23,8.50
842549860809105,91001,1,201404,50,10.00
260320097312539,93001,1,201404,22,8.50
006331220935297,93001,1,201404,35,8.25
006331220935297,93001,3,201404,40,8.25
210209944129472,93001,2,201404,53,8.25
902908291998022,93001,1,201404,57,15.00
946052658169950,91001,1,201404,60,12.00
521622066907494,91001,1,201404,62,25.00
521622066907494,91001,2,201404,41,25.00
210209993263998,93001,1,201404,43,12.00
210209993263998,93001,2,201404,41,11.50
072012147160510,91001,1,201404,46,8.17
072012147160510,91001,2,201404,46,27.00
021771086907192,91001,2,201404,59,7.93
194972607059229,93001,2,201404,61,29.00
289800657530961,91002,1,201404,35,25.00
210209924886994,93001,1,201404,22,10.00
525196059300955,93001,2,201404,31,10.75
193946205006339,91001,1,201404,62,30.00
706909501999383,91002,1,201404,31,9.50
100831098212049,93001,2,201404,28,12.50
610309934226570,91001,1,201404,53,23.75
610309934226570,91001,2,201404,56,23.20
490939062612919,93001,3,201404,19,7.25
002900341990713,93001,1,201404,50,24.00
002900341990713,93001,2,201404,58,14.20
944045813128060,93001,2,201404,29,8.00
588400364410921,93001,1,201404,54,23.14
588400364410921,93001,2,201404,19,7.25
665079520699106,93001,2,201404,60,29.90
052901250987596,93001,1,201404,55,22.00
996025870129550,93001,1,201404,48,18.00
406901641983405,91001,1,201404,53,12.30
406901641983405,91001,2,201404,54,24.00
406901641983405,91001,3,201404,34,23.00
406901641983405,91001,4,201404,29,9.75
194996203002554,91002,1,201404,55,24.00
057711650962597,91001,1,201404,43,13.25
886919560339101,91001,2,201404,44,18.00
402901271995136,93001,1,201404,51,20.00
402901271995136,93001,2,201404,51,8.00
210609913127594,93001,1,201404,41,15.00
124192739600951,93001,2,201404,59,9.60
850163008212400,93001,1,201404,26,14.00
850163008212400,93001,2,201404,39,13.00
802903441995076,93001,2,201404,51,9.50
067191729600993,91001,1,201404,33,25.23
906908171991657,91001,1,201404,60,17.70
193966708037719,91001,1,201404,30,9.24
197766709050762,91001,2,201404,39,8.50
367678760099105,91001,3,201404,20,8.00
706908351789157,91001,1,201404,42,10.00
197986808076747,91001,2,201404,35,16.68
177540260210107,91001,1,201404,30,24.00
610706995898298,91001,1,201404,73,10.00
162952701084799,93001,2,201404,38,15.00
002111270980698,93001,1,201404,68,11.13
002111270980698,93001,6,201404,22,8.00
566191489700902,91001,1,201404,49,8.25
069192929700988,91001,1,201404,51,20.11
069192929700988,91001,4,201404,17,8.00
210709958076593,93002,1,201404,34,15.75
071526006909892,91001,1,201404,54,14.32
071526006909892,91001,3,201404,23,13.50
196912500084799,93002,1,201404,42,18.00
196912500084799,93002,2,201404,38,9.25
827949420639108,93001,2,201404,53,10.00
964037898129420,93001,1,201404,48,16.00
371298046909694,91002,1,201404,45,27.54
881961056909598,91001,1,201404,41,11.50
802902171990808,93001,2,201404,68,8.25
440885062812689,93001,1,201404,45,12.73
195996904040839,91001,2,201404,54,18.00
481934096909095,91001,2,201404,66,13.52
481934096909095,91001,3,201404,28,8.35
021199369800735,93001,3,201404,24,15.00
129190059800944,93001,2,201404,58,13.47
930886090316519,91001,1,201404,26,10.00
930886090316519,91001,2,201404,30,14.00
581897056909197,91001,1,201404,37,2.13
220190319800939,93001,1,201404,33,11.25
981266006909694,91001,1,201404,57,17.00
981266006909694,91001,2,201404,56,28.00
821193159800969,93001,1,201404,30,12.00
195932801061899,93001,1,201404,63,8.37
195932801061899,93001,3,201404,20,7.75
962190629900993,91001,1,201404,39,19.00
360898095712029,93001,1,201404,77,8.00
839059820269107,93001,1,201404,37,23.50
839059820269107,93001,2,201404,45,24.50
930049801169780,91001,1,201404,50,27.00
402908671995549,93001,1,201404,56,14.00
402908671995549,93001,7,201404,20,8.00
760199719900998,91001,1,201404,37,12.00
760199719900998,91001,2,201404,36,10.00
006908971999719,91001,3,201404,27,25.00
891056076909396,91001,1,201404,54,39.00
621193129900979,93001,4,201404,24,10.00
802222042909560,93001,3,201404,49,19.00
221299169000904,93001,2,201404,80,12.38
296976909051029,91001,1,201404,60,25.00
602906132992400,93001,1,201404,64,12.50
620006958804399,91001,1,201404,41,39.00
402655086909392,91001,2,201404,31,12.50
506907312990830,91001,2,201404,39,10.00
950806096726779,91001,2,201404,59,10.00
950806096726779,91001,3,201404,19,9.00
290986007075079,91001,1,201404,32,22.00
290986007075079,91001,2,201404,30,19.00
506907872997000,91001,1,201404,59,26.51
220009993392494,93001,1,201404,55,7.25
220109981829393,93001,1,201404,52,11.00
220109981829393,93001,2,201404,51,19.00
823292919100938,93001,1,201404,58,7.25
412142062909869,93001,1,201404,55,16.00
412142062909869,93001,2,201404,21,8.00
062268489100933,91001,1,201404,50,14.00
702608112991021,93001,2,201404,52,9.48
902906022991931,93001,2,201404,54,27.00
081061187220590,93001,1,201404,26,10.00
510820091522749,93001,1,201404,34,26.75
302909822991412,93001,1,201404,38,18.00
302909822991412,93001,2,201404,30,10.00
220209941982193,93001,1,201404,42,10.63
220209941982193,93001,2,201404,51,11.50
423298219200919,93001,1,201404,36,7.25
076892220982692,93001,1,201404,48,22.00
882809520979201,93001,2,201404,18,7.25
529291649200945,93001,1,201404,50,20.34
294972502052359,93001,1,201404,23,10.10
650830093726459,91001,2,201404,33,23.00
266260129300959,91001,2,201404,19,10.00
266260129300959,91001,3,201404,42,15.00
023562230016104,93001,1,201404,52,10.13
298946305064389,91002,2,201404,35,25.00
036482240963997,93001,1,201404,37,46.35
265299689400968,91001,1,201404,61,12.00
506908962996284,91001,1,201404,51,28.30
530144009826810,91001,2,201404,32,28.00
297966804021479,91001,1,201404,32,5.50
297966804021479,91001,2,201404,32,12.00
293942508074469,93001,2,201404,54,25.00
894269160119207,91001,2,201404,19,7.55
606906882996174,91001,2,201404,37,10.50
078152240019702,93001,1,201404,50,62.00
078152240019702,93001,2,201404,56,38.00
078152240019702,93001,3,201404,23,10.00
078152240019702,93001,4,201404,20,9.00
634959420329203,93001,1,201404,46,13.88
306909832991155,91001,1,201404,45,24.00
440853093322109,93001,1,201404,53,22.69
452413036909093,91002,2,201404,17,13.00
452413036909093,91002,3,201404,34,17.00
292976104099589,91001,1,201404,58,19.32
292976104099589,91001,2,201404,20,8.50
306901452998436,91001,2,201404,22,13.00
306901452998436,91001,4,201404,21,10.00
306901452998436,91001,5,201404,23,9.00
461261309600966,91001,1,201404,67,10.00
826149460299204,91001,1,201404,59,20.00
826149460299204,91001,3,201404,31,36.20
298976308096619,91001,1,201404,62,26.00
662080046909365,91001,1,201404,35,12.50
220609964277599,93001,1,201404,43,28.00
294982206094689,93001,1,201404,58,26.50
294982206094689,93001,2,201404,34,13.00
669610775590922,93001,2,201404,22,8.25
086139760409208,91001,2,201404,35,9.00
609370884010962,91001,1,201404,24,7.00
609370884010962,91001,2,201404,35,10.75
619870731490962,91001,1,201404,22,5.50
619870731490962,91001,2,201404,54,26.00
372950026909294,91001,2,201404,76,10.35
402905072995777,93001,1,201404,28,18.27
220709977507594,93001,2,201404,36,19.25
297902707054759,93001,1,201404,55,18.23
672562072909767,93001,1,201404,31,21.02
824292029700958,93001,1,201404,73,14.00
167298649700912,91001,1,201404,68,18.00
167298649700912,91001,2,201404,68,12.00
072115032907195,93001,3,201404,22,8.00
291962409014799,93001,2,201404,40,17.50
125293309700752,93001,1,201404,26,9.00
125293309700752,93001,2,201404,27,9.50
669294759700909,91001,2,201404,24,10.00
295946607009799,91001,1,201404,48,11.75
295946607009799,91001,2,201404,47,22.19
295946607009799,91001,3,201404,16,7.25
295946607009799,91001,4,201404,19,15.50
137820160280214,91001,1,201404,30,17.25
095018116260060,91001,2,201404,36,16.00
422261679800957,93001,1,201404,55,7.25
422261679800957,93001,2,201404,53,14.25
321265179800924,93001,1,201404,28,7.00
360290819800904,91001,2,201404,56,35.00
406608452996389,91001,1,201404,51,27.00
406608452996389,91001,2,201404,53,26.60
406608452996389,91001,3,201404,18,7.35
461263679900962,91001,1,201404,64,11.25
676039847229570,93001,1,201404,41,8.25
302608452998689,93001,1,201404,35,28.00
302608452998689,93001,2,201404,36,19.00
427291839900790,93001,1,201404,48,26.00
427291839900790,93001,3,201404,23,2.13
427291839900790,93001,4,201404,21,7.50
692336046909096,91002,1,201404,36,17.50
692336046909096,91002,2,201404,34,15.00
006903362996469,91001,1,201404,46,15.51
602900913999030,93001,2,201404,20,8.75
602900913999030,93001,3,201404,32,34.00
190903066336739,91002,1,201404,26,8.75
910769360396303,91001,1,201404,32,9.00
399972107002069,93001,1,201404,41,34.58
399972107002069,93001,2,201404,36,9.80
393996009008069,91002,1,201404,24,9.00
440815092832689,93001,1,201404,55,11.50
801769720789300,93001,2,201404,68,12.50
667390879100907,91001,1,201404,58,12.25
706907083990671,91001,1,201404,71,8.75
713760076909199,91001,2,201404,43,14.96
030733210014005,93001,1,201404,45,14.50
030733210014005,93001,2,201404,42,38.63
925021830329410,93001,1,201404,32,28.35
925021830329410,93001,2,201404,32,14.56
713358026909799,91001,2,201404,49,12.00
096022170320550,93001,1,201404,24,10.00
096022170320550,93001,2,201404,51,8.00
096022170320550,93001,3,201404,50,8.00
239650059270923,93001,1,201404,52,24.01
239650059270923,93001,2,201404,55,28.50
398992508015269,93001,1,201404,66,12.75
398992508015269,93001,3,201404,22,7.25
955082061369890,91002,1,201404,43,12.00
523388082907897,93001,1,201404,30,8.25
872249320349307,93001,2,201404,25,9.00
364992203002359,93001,1,201404,58,11.16
364992203002359,93001,2,201404,51,13.79
630306994691390,91001,1,201404,37,17.46
630306994691390,91001,2,201404,43,11.00
567398119300944,91001,1,201404,73,17.50
996013684329080,93001,1,201404,57,9.00
996013684329080,93001,2,201404,62,30.00
996013684329080,93001,4,201404,23,10.00
996013684329080,93001,5,201404,20,8.75
369600489180923,93001,2,201404,68,12.00
643482086909591,91001,1,201404,42,22.42
706904813794514,91001,1,201404,41,40.00
395926002031479,91001,1,201404,63,8.00
243273006909195,91001,1,201404,53,12.00
243273006909195,91001,2,201404,41,16.00
206907083995264,91001,2,201404,51,27.00
206907083995264,91001,3,201404,24,11.00
206907083995264,91001,4,201404,18,8.00
230509979935745,93001,2,201404,19,7.50
225394829500937,93001,1,201404,37,10.65
510560026320063,91001,1,201404,34,17.00
659210767220923,93001,1,201404,57,9.75
506908463492816,91002,2,201404,64,11.50
206905273782316,91001,1,201404,46,15.00
467391879600931,91001,1,201404,27,10.00
467391879600931,91001,2,201404,25,10.00
110363096932259,93001,1,201404,31,8.00
163387052904798,93001,2,201404,43,13.00
230609983516571,93002,1,201404,67,8.50
040523260906599,93001,2,201404,22,8.00
040523260906599,93001,3,201404,22,12.00
040523260906599,93001,4,201404,19,12.00
960167091732889,93001,1,201404,51,17.00
076873260918991,93001,1,201404,40,7.00
156699460509302,91001,1,201404,40,10.50
619940255060963,91002,1,201404,19,10.00
706908163796586,91001,1,201404,60,11.50
810862094732859,93001,1,201404,29,14.00
876489220099302,93001,1,201404,69,9.50
953006879369950,91001,1,201404,52,15.00
050060090332309,93001,1,201404,63,10.00
619650890090923,93001,1,201404,58,25.00
011343660961297,91001,1,201404,63,10.46
906908293998026,91001,1,201404,50,33.00
906908293998026,91001,3,201404,17,7.50
086273660930395,91001,2,201404,61,15.00
363629096909893,91001,1,201404,51,22.00
167350320820309,93001,2,201404,38,10.50
085027139320360,93001,1,201404,40,29.00
085027139320360,93001,2,201404,40,27.00
399956905007779,91001,1,201404,43,27.00
573854086909792,91001,2,201404,47,10.75
397952502085727,93001,2,201404,51,9.00
964047863329700,93001,1,201404,27,17.36
964047863329700,93001,2,201404,24,9.00
810177000636500,91001,9,201404,32,8.00
906901993793237,91003,2,201404,56,12.00
506909013994157,91001,2,201404,47,15.67
230709977833374,93001,1,201404,61,14.50
710100668360063,91001,2,201404,28,15.00
273204036909191,91001,1,201404,42,2.13
086048186360420,91001,1,201404,37,33.00
240184006636880,91001,2,201404,40,28.00
021068195320790,93001,1,201404,44,11.50
502904453991738,93001,1,201404,34,17.00
396912309060809,93001,1,201404,47,9.50
396912309060809,93001,2,201404,45,24.01
034443280985495,93001,1,201404,27,15.00
848559320449304,93001,1,201404,55,14.00
393946504044859,91001,2,201404,30,13.00
076643290989097,93001,1,201404,49,22.00
028223690684099,91002,1,201404,25,8.75
028223690684099,91002,4,201404,30,9.00
028223690684099,91002,5,201404,28,9.50
809499260286302,91001,1,201404,41,9.00
809499260286302,91001,3,201404,21,11.00
821361439900907,93001,1,201404,25,8.25
102607143990839,93001,1,201404,46,12.00
529889260409305,91001,1,201404,41,9.50
529889260409305,91001,2,201404,44,12.50
969220214870963,91001,3,201404,33,20.50
693039096907292,91002,1,201404,24,22.73
490895093036659,91001,3,201404,57,13.50
793744016907895,91002,1,201404,22,9.50
793744016907895,91002,2,201404,21,2.13
624396549900922,93001,1,201404,44,15.00
702604773995869,93001,1,201404,39,9.00
630906985618797,91001,2,201404,58,11.50
093234082907497,93001,3,201404,24,10.00
230909912222396,93001,1,201404,36,16.00
029873290696691,93001,1,201404,76,11.00
072029124360210,91001,1,201404,51,21.33
072029124360210,91001,2,201404,50,44.00
504842086002003,91001,1,201404,45,42.00
504842086002003,91001,2,201404,43,25.00
497936907058007,91001,2,201404,48,8.22
496906809099069,91001,1,201404,59,16.00
790811098142339,93001,2,201404,27,19.00
871389120399401,93001,1,201404,55,35.40
871389120399401,93001,2,201404,55,27.00
189420462090964,91001,1,201404,59,28.00
059464210980292,93002,1,201404,40,11.00
084684210964392,93001,2,201404,39,24.50
962041648429830,93001,1,201404,51,53.00
240109978362773,93001,1,201404,26,9.40
424147052909767,93001,1,201404,39,20.00
424147052909767,93001,2,201404,46,23.00
102903024493452,93001,1,201404,66,13.00
602902194996602,93001,1,201404,65,24.00
626491909200962,93001,1,201404,50,13.25
626491909200962,93001,2,201404,19,7.80
966498559200996,91001,1,201404,52,30.00
524869096909695,91001,1,201404,33,8.10
524869096909695,91001,2,201404,38,36.00
764490779200955,91001,1,201404,22,10.30
764490779200955,91001,2,201404,21,10.00
927062818469680,91001,2,201404,58,19.50
464497769200999,91001,1,201404,49,9.26
491992601071229,93002,3,201404,43,15.00
423408540200297,93001,2,201404,38,12.00
493986304053299,91001,2,201404,23,7.25
240209909252991,93251,1,201404,41,13.50
240209909252991,93251,2,201404,39,11.00
240209909252991,93251,3,201404,19,8.08
492922604074249,93001,1,201404,67,22.00
498972003064279,93001,1,201404,40,12.00
628492659200748,93001,1,201404,34,2.83
822869560869404,91001,2,201404,51,19.38
002909074996792,93001,2,201404,39,10.25
640209939935443,91002,1,201404,24,14.00
640209916792173,91001,1,201404,31,14.50
099474220986299,93001,1,201404,40,16.00
099474220986299,93001,2,201404,35,9.25
240209974239299,93001,1,201404,66,11.40
495982905096464,93001,1,201404,57,3.00
804739220359404,93001,1,201404,43,12.00
804739220359404,93001,2,201404,40,13.25
584699560659409,91001,1,201404,37,8.00
584699560659409,91001,2,201404,19,7.00
491972901092579,93001,1,201404,24,7.25
680850097142449,93001,1,201404,21,11.25
947085841429060,93001,1,201404,52,18.50
754499042909169,93001,2,201404,24,10.10
266498579500941,91001,1,201404,40,12.00
240609955560595,93001,1,201404,64,12.10
240609952098493,93001,1,201404,26,12.00
240609952098493,93001,2,201404,31,20.45
896009320616409,93001,1,201404,70,14.95
322462719600925,93001,2,201404,64,13.50
461922307022659,93001,2,201404,55,10.00
402908204995826,93001,1,201404,77,12.10
020490509600933,93001,2,201404,20,13.00
057154260010001,93001,1,201404,22,14.06
057154260010001,93001,2,201404,23,11.50
402002654202646,93001,1,201404,28,20.00
240609927252097,93001,1,201404,22,13.00
060165004042830,93001,1,201404,65,14.14
664154056909994,91001,1,201404,30,14.00
664154056909994,91001,2,201404,30,12.00
240609919697997,93001,1,201404,51,16.00
902908004991977,93001,1,201404,66,12.11
702900294998907,93001,1,201404,62,12.70
274529006909199,91001,2,201404,38,13.26
274529006909199,91001,3,201404,59,16.37
602904164992637,93001,1,201404,53,15.24
562490269700981,91001,1,201404,30,7.45
562490269700981,91001,2,201404,26,24.60
076007146420050,93001,1,201404,60,10.00
789470631620964,91001,2,201404,56,12.25
274654016909992,91001,1,201404,54,24.27
274654016909992,91001,3,201404,28,15.00
980582095442039,93001,1,201404,31,22.00
869120402290924,93001,2,201404,22,8.00
869120402290924,93001,3,201404,26,9.00
