Codes:,Capital_stock,accumulated_depreciation,additional_paid-in_capital,cost_of_treasury_stock,depreciable_assets,earnings_(rtnd_appr),earnings_(rtnd_unappr.),interest_paid,inventories,land
111930,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
11194,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
111940,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
11199,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
111991,133760.91899,875817.381502,291451.844106,59962.2001572,1232057.58929,5734.15382831,28443.0593597,31944.8964455,151893.043304,318730.941811
111992,133760.91899,875817.381502,291451.844106,59962.2001572,1232057.58929,5734.15382831,28443.0593597,31944.8964455,151893.043304,318730.941811
111998,133760.91899,875817.381502,291451.844106,59962.2001572,1232057.58929,5734.15382831,28443.0593597,31944.8964455,151893.043304,318730.941811
113,234903.370527,6209152.75458,-1338110.1932,-44648.0600408,6823889.92206,100204.928013,10510751.4672,144376.534417,-457746.503677,246469.517623
1131,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
11311,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
113110,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
1132,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
11321,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
113210,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
1133,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
11331,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
113310,78301.1235092,2069717.58486,-446036.731068,-14882.6866803,2274629.97402,33401.6426709,3503583.82239,48125.5114723,-152582.167892,82156.5058743
114,741339.390484,9731754.77621,3984714.02089,-52348.8906502,13513914.0797,3294.00106316,9126966.26378,76001.6975973,2183972.31042,-1139572.15465
1141,370669.695242,4865877.3881,1992357.01045,-26174.4453251,6756957.03983,1647.00053158,4563483.13189,38000.8487986,1091986.15521,-569786.077325
11411,370669.695242,4865877.3881,1992357.01045,-26174.4453251,6756957.03983,1647.00053158,4563483.13189,38000.8487986,1091986.15521,-569786.077325
114111,123556.565081,1621959.12937,664119.003482,-8724.81510837,2252319.01328,549.000177193,1521161.04396,12666.9495995,363995.385069,-189928.692442
114112,123556.565081,1621959.12937,664119.003482,-8724.81510837,2252319.01328,549.000177193,1521161.04396,12666.9495995,363995.385069,-189928.692442
114119,123556.565081,1621959.12937,664119.003482,-8724.81510837,2252319.01328,549.000177193,1521161.04396,12666.9495995,363995.385069,-189928.692442
1142,370669.695242,4865877.3881,1992357.01045,-26174.4453251,6756957.03983,1647.00053158,4563483.13189,38000.8487986,1091986.15521,-569786.077325
11421,370669.695242,4865877.3881,1992357.01045,-26174.4453251,6756957.03983,1647.00053158,4563483.13189,38000.8487986,1091986.15521,-569786.077325
114210,370669.695242,4865877.3881,1992357.01045,-26174.4453251,6756957.03983,1647.00053158,4563483.13189,38000.8487986,1091986.15521,-569786.077325
21,91339236.0715,265320424.306,580568734.225,45873337.3791,670972738.876,1489798.88608,243767300.518,34547149.1771,46386360.6174,18434775.5679
211,30446412.0238,88440141.4353,193522911.408,15291112.4597,223657579.625,496599.628694,81255766.8392,11515716.3924,15462120.2058,6144925.18931
2111,30446412.0238,88440141.4353,193522911.408,15291112.4597,223657579.625,496599.628694,81255766.8392,11515716.3924,15462120.2058,6144925.18931
21111,30446412.0238,88440141.4353,193522911.408,15291112.4597,223657579.625,496599.628694,81255766.8392,11515716.3924,15462120.2058,6144925.18931
211111,15223206.0119,44220070.7176,96761455.7041,7645556.22985,111828789.813,248299.814347,40627883.4196,5757858.19618,7731060.10291,3072462.59466
211112,15223206.0119,44220070.7176,96761455.7041,7645556.22985,111828789.813,248299.814347,40627883.4196,5757858.19618,7731060.10291,3072462.59466
212,30446412.0238,88440141.4353,193522911.408,15291112.4597,223657579.625,496599.628694,81255766.8392,11515716.3924,15462120.2058,6144925.18931
2121,10148804.0079,29480047.1451,64507637.1361,5097037.48657,74552526.5418,165533.209565,27085255.6131,3838572.13079,5154040.0686,2048308.39644
21211,10148804.0079,29480047.1451,64507637.1361,5097037.48657,74552526.5418,165533.209565,27085255.6131,3838572.13079,5154040.0686,2048308.39644
212111,3382934.66932,9826682.3817,21502545.712,1699012.49552,24850842.1806,55177.7365215,9028418.53769,1279524.0436,1718013.3562,682769.465479
212112,3382934.66932,9826682.3817,21502545.712,1699012.49552,24850842.1806,55177.7365215,9028418.53769,1279524.0436,1718013.3562,682769.465479
212113,3382934.66932,9826682.3817,21502545.712,1699012.49552,24850842.1806,55177.7365215,9028418.53769,1279524.0436,1718013.3562,682769.465479
2122,10148804.0079,29480047.1451,64507637.1361,5097037.48657,74552526.5418,165533.209565,27085255.6131,3838572.13079,5154040.0686,2048308.39644
21221,2537201.00199,7370011.78627,16126909.284,1274259.37164,18638131.6354,41383.3023911,6771313.90327,959643.032696,1288510.01715,512077.09911
212210,2537201.00199,7370011.78627,16126909.284,1274259.37164,18638131.6354,41383.3023911,6771313.90327,959643.032696,1288510.01715,512077.09911
21222,2537201.00199,7370011.78627,16126909.284,1274259.37164,18638131.6354,41383.3023911,6771313.90327,959643.032696,1288510.01715,512077.09911
212221,1268600.50099,3685005.89314,8063454.64201,637129.685821,9319065.81772,20691.6511956,3385656.95163,479821.516348,644255.008575,256038.549555
212222,1268600.50099,3685005.89314,8063454.64201,637129.685821,9319065.81772,20691.6511956,3385656.95163,479821.516348,644255.008575,256038.549555
21223,2537201.00199,7370011.78627,16126909.284,1274259.37164,18638131.6354,41383.3023911,6771313.90327,959643.032696,1288510.01715,512077.09911
212231,1268600.50099,3685005.89314,8063454.64201,637129.685821,9319065.81772,20691.6511956,3385656.95163,479821.516348,644255.008575,256038.549555
212234,1268600.50099,3685005.89314,8063454.64201,637129.685821,9319065.81772,20691.6511956,3385656.95163,479821.516348,644255.008575,256038.549555
21229,2537201.00199,7370011.78627,16126909.284,1274259.37164,18638131.6354,41383.3023911,6771313.90327,959643.032696,1288510.01715,512077.09911
212291,1268600.50099,3685005.89314,8063454.64201,637129.685821,9319065.81772,20691.6511956,3385656.95163,479821.516348,644255.008575,256038.549555
212299,1268600.50099,3685005.89314,8063454.64201,637129.685821,9319065.81772,20691.6511956,3385656.95163,479821.516348,644255.008575,256038.549555
2123,10148804.0079,29480047.1451,64507637.1361,5097037.48657,74552526.5418,165533.209565,27085255.6131,3838572.13079,5154040.0686,2048308.39644
21231,3382934.66932,9826682.3817,21502545.712,1699012.49552,24850842.1806,55177.7365215,9028418.53769,1279524.0436,1718013.3562,682769.465479
212311,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212312,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212313,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212319,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
21232,3382934.66932,9826682.3817,21502545.712,1699012.49552,24850842.1806,55177.7365215,9028418.53769,1279524.0436,1718013.3562,682769.465479
212321,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212322,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212324,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212325,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
21239,3382934.66932,9826682.3817,21502545.712,1699012.49552,24850842.1806,55177.7365215,9028418.53769,1279524.0436,1718013.3562,682769.465479
212391,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212392,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212393,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
212399,845733.667329,2456670.59542,5375636.42801,424753.123881,6212710.54515,13794.4341304,2257104.63442,319881.010899,429503.33905,170692.36637
213,30446412.0238,88440141.4353,193522911.408,15291112.4597,223657579.625,496599.628694,81255766.8392,11515716.3924,15462120.2058,6144925.18931
2131,30446412.0238,88440141.4353,193522911.408,15291112.4597,223657579.625,496599.628694,81255766.8392,11515716.3924,15462120.2058,6144925.18931
21311,30446412.0238,88440141.4353,193522911.408,15291112.4597,223657579.625,496599.628694,81255766.8392,11515716.3924,15462120.2058,6144925.18931
213111,6089282.40477,17688028.2871,38704582.2817,3058222.49194,44731515.9251,99319.9257387,16251153.3678,2303143.27847,3092424.04116,1228985.03786
213112,6089282.40477,17688028.2871,38704582.2817,3058222.49194,44731515.9251,99319.9257387,16251153.3678,2303143.27847,3092424.04116,1228985.03786
213113,6089282.40477,17688028.2871,38704582.2817,3058222.49194,44731515.9251,99319.9257387,16251153.3678,2303143.27847,3092424.04116,1228985.03786
213114,6089282.40477,17688028.2871,38704582.2817,3058222.49194,44731515.9251,99319.9257387,16251153.3678,2303143.27847,3092424.04116,1228985.03786
213115,6089282.40477,17688028.2871,38704582.2817,3058222.49194,44731515.9251,99319.9257387,16251153.3678,2303143.27847,3092424.04116,1228985.03786
22,180788107.989,846345744.626,463474127.587,33067090.7962,2701480792.16,3983549.41258,183043072.284,67041055.2428,57838894.3576,8845032.08675
221,180788107.989,846345744.626,463474127.587,33067090.7962,2701480792.16,3983549.41258,183043072.284,67041055.2428,57838894.3576,8845032.08675
2212,180788107.989,846345744.626,463474127.587,33067090.7962,2701480792.16,3983549.41258,183043072.284,67041055.2428,57838894.3576,8845032.08675
22121,180788107.989,846345744.626,463474127.587,33067090.7962,2701480792.16,3983549.41258,183043072.284,67041055.2428,57838894.3576,8845032.08675
221210,180788107.989,846345744.626,463474127.587,33067090.7962,2701480792.16,3983549.41258,183043072.284,67041055.2428,57838894.3576,8845032.08675
23,20271401.434,138778934.732,130095671.86,22688475.947,215080605.771,1096882.06996,59180437.3737,7522342.79792,71077359.1633,21078722.1678
236,7893065.19236,1369713.81966,53318978.1298,10681658.6685,13590538.2103,70497.8020388,7735397.46255,3357720.21902,60746478.5681,9856486.38104
2361,3946532.59618,684856.909832,26659489.0649,5340829.33427,6795269.10514,35248.9010194,3867698.73127,1678860.10951,30373239.284,4928243.19052
23611,3946532.59618,684856.909832,26659489.0649,5340829.33427,6795269.10514,35248.9010194,3867698.73127,1678860.10951,30373239.284,4928243.19052
236115,986633.149045,171214.227458,6664872.26622,1335207.33357,1698817.27628,8812.22525485,966924.682819,419715.027377,7593309.82101,1232060.79763
236116,986633.149045,171214.227458,6664872.26622,1335207.33357,1698817.27628,8812.22525485,966924.682819,419715.027377,7593309.82101,1232060.79763
236117,986633.149045,171214.227458,6664872.26622,1335207.33357,1698817.27628,8812.22525485,966924.682819,419715.027377,7593309.82101,1232060.79763
236118,986633.149045,171214.227458,6664872.26622,1335207.33357,1698817.27628,8812.22525485,966924.682819,419715.027377,7593309.82101,1232060.79763
2362,3946532.59618,684856.909832,26659489.0649,5340829.33427,6795269.10514,35248.9010194,3867698.73127,1678860.10951,30373239.284,4928243.19052
23621,1973266.29809,342428.454916,13329744.5324,2670414.66714,3397634.55257,17624.4505097,1933849.36564,839430.054755,15186619.642,2464121.59526
236210,1973266.29809,342428.454916,13329744.5324,2670414.66714,3397634.55257,17624.4505097,1933849.36564,839430.054755,15186619.642,2464121.59526
23622,1973266.29809,342428.454916,13329744.5324,2670414.66714,3397634.55257,17624.4505097,1933849.36564,839430.054755,15186619.642,2464121.59526
236220,1973266.29809,342428.454916,13329744.5324,2670414.66714,3397634.55257,17624.4505097,1933849.36564,839430.054755,15186619.642,2464121.59526
237,5897317.70072,38239017.02,62087403.7203,4207315.01521,80353574.0833,351915.922383,11007358.3223,1604582.28482,20668505.9343,17513708.2259
2372,5897317.70072,38239017.02,62087403.7203,4207315.01521,80353574.0833,351915.922383,11007358.3223,1604582.28482,20668505.9343,17513708.2259
23721,5897317.70072,38239017.02,62087403.7203,4207315.01521,80353574.0833,351915.922383,11007358.3223,1604582.28482,20668505.9343,17513708.2259
237210,5897317.70072,38239017.02,62087403.7203,4207315.01521,80353574.0833,351915.922383,11007358.3223,1604582.28482,20668505.9343,17513708.2259
238,6481018.5409,99170203.8923,14689290.0096,7799502.26328,121136493.477,674468.345537,40437681.5888,2560040.29408,-10337625.339,-6291472.43913
2382,6481018.5409,99170203.8923,14689290.0096,7799502.26328,121136493.477,674468.345537,40437681.5888,2560040.29408,-10337625.339,-6291472.43913
23821,1850786.61337,37537653.3583,15760237.0764,2955486.48575,51130167.7627,405389.874017,22562668.5664,848373.989577,-5260283.53361,-2723073.49937
238210,1850786.61337,37537653.3583,15760237.0764,2955486.48575,51130167.7627,405389.874017,22562668.5664,848373.989577,-5260283.53361,-2723073.49937
23822,4630231.92752,61632550.534,-1070947.06685,4844015.77753,70006325.7143,269078.471521,17875013.0224,1711666.30451,-5077341.80542,-3568398.93976
238220,4630231.92752,61632550.534,-1070947.06685,4844015.77753,70006325.7143,269078.471521,17875013.0224,1711666.30451,-5077341.80542,-3568398.93976
31.32.33,885921252.334,2797645142.94,5909816029.01,2228904569.51,5008320030.34,25435913.5687,3138349259.54,390201449.527,1144521021.07,156704067.701
311,66670669.3874,205914930.629,308112910.062,108396591.153,378301142.73,178188.385815,202713897.086,25612400.0088,102983971.778,9592955.11536
3116,66670669.3874,205914930.629,308112910.062,108396591.153,378301142.73,178188.385815,202713897.086,25612400.0088,102983971.778,9592955.11536
31161,66670669.3874,205914930.629,308112910.062,108396591.153,378301142.73,178188.385815,202713897.086,25612400.0088,102983971.778,9592955.11536
311615,66670669.3874,205914930.629,308112910.062,108396591.153,378301142.73,178188.385815,202713897.086,25612400.0088,102983971.778,9592955.11536
312,11418813.1449,45248897.0504,128857227.943,131187090.966,100268229.009,0.0,128061045.417,13047689.1305,29720511.2726,4846939.17998
3121,11418813.1449,45248897.0504,128857227.943,131187090.966,100268229.009,0.0,128061045.417,13047689.1305,29720511.2726,4846939.17998
31212,11418813.1449,45248897.0504,128857227.943,131187090.966,100268229.009,0.0,128061045.417,13047689.1305,29720511.2726,4846939.17998
312120,11418813.1449,45248897.0504,128857227.943,131187090.966,100268229.009,0.0,128061045.417,13047689.1305,29720511.2726,4846939.17998
313,3195378.73481,23576626.9454,16678415.2938,1715014.74084,32578322.7557,4155.05563323,3790781.76292,1199907.49883,10603364.4434,426108.486725
3131,1065126.24494,7858875.64847,5559471.7646,571671.580279,10859440.9186,1385.01854441,1263593.92097,399969.166275,3534454.81447,142036.162242
31311,1065126.24494,7858875.64847,5559471.7646,571671.580279,10859440.9186,1385.01854441,1263593.92097,399969.166275,3534454.81447,142036.162242
313110,1065126.24494,7858875.64847,5559471.7646,571671.580279,10859440.9186,1385.01854441,1263593.92097,399969.166275,3534454.81447,142036.162242
3132,1065126.24494,7858875.64847,5559471.7646,571671.580279,10859440.9186,1385.01854441,1263593.92097,399969.166275,3534454.81447,142036.162242
31321,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
313210,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
31322,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
313220,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
31323,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
313230,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
31324,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
313240,266281.561234,1964718.91212,1389867.94115,142917.89507,2714860.22964,346.254636102,315898.480244,99992.2915688,883613.703616,35509.0405604
3133,1065126.24494,7858875.64847,5559471.7646,571671.580279,10859440.9186,1385.01854441,1263593.92097,399969.166275,3534454.81447,142036.162242
31331,532563.122469,3929437.82424,2779735.8823,285835.79014,5429720.45928,692.509272205,631796.960487,199984.583138,1767227.40723,71018.0811209
313310,532563.122469,3929437.82424,2779735.8823,285835.79014,5429720.45928,692.509272205,631796.960487,199984.583138,1767227.40723,71018.0811209
31332,532563.122469,3929437.82424,2779735.8823,285835.79014,5429720.45928,692.509272205,631796.960487,199984.583138,1767227.40723,71018.0811209
313320,532563.122469,3929437.82424,2779735.8823,285835.79014,5429720.45928,692.509272205,631796.960487,199984.583138,1767227.40723,71018.0811209
315,2891563.03781,11265190.6012,11176013.0959,4153094.54028,16830098.1114,9501.12721331,9925697.61907,1423200.37484,15200538.5498,714359.587136
3151,-2.43983373473,-54.3031446817,-6.89338700206,-3.44473613166,-78.7081216345,3167.04240444,-46.5495652432,-1.33580069819,-24.1284201984,-1.83765438606
31511,-1.21991686737,-27.1515723408,-3.44669350103,-1.72236806583,-39.3540608173,1583.52120222,-23.2747826216,-0.667900349095,-12.0642100992,-0.918827193032
315110,-1.21991686737,-27.1515723408,-3.44669350103,-1.72236806583,-39.3540608173,1583.52120222,-23.2747826216,-0.667900349095,-12.0642100992,-0.918827193032
31519,-1.21991686737,-27.1515723408,-3.44669350103,-1.72236806583,-39.3540608173,1583.52120222,-23.2747826216,-0.667900349095,-12.0642100992,-0.918827193032
315190,-1.21991686737,-27.1515723408,-3.44669350103,-1.72236806583,-39.3540608173,1583.52120222,-23.2747826216,-0.667900349095,-12.0642100992,-0.918827193032
3152,-2.43983373473,-54.3031446817,-6.89338700206,-3.44473613166,-78.7081216345,3167.04240444,-46.5495652432,-1.33580069819,-24.1284201984,-1.83765438606
31521,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
315210,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
31522,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
315220,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
31524,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
315240,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
31528,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
315280,-0.609958433683,-13.5757861704,-1.72334675051,-0.861184032914,-19.6770304086,791.760601109,-11.6373913108,-0.333950174547,-6.03210504959,-0.459413596516
3159,2891567.91747,11265299.2075,11176026.8827,4153101.42976,16830255.5277,3167.04240444,9925790.7182,1423203.04644,15200586.8066,714363.262445
31599,2891567.91747,11265299.2075,11176026.8827,4153101.42976,16830255.5277,3167.04240444,9925790.7182,1423203.04644,15200586.8066,714363.262445
315990,2891567.91747,11265299.2075,11176026.8827,4153101.42976,16830255.5277,3167.04240444,9925790.7182,1423203.04644,15200586.8066,714363.262445
