Codes:,Capital_stock,accumulated_depreciation,additional_paid-in_capital,cost_of_treasury_stock,depreciable_assets,earnings_(rtnd_appr),earnings_(rtnd_unappr.),interest_paid,inventories,land
1,5784046973.0,8044664925.0,48974839934.0,4227276623.0,17258727143.0,511882457.0,5374558624.0,1632159026.0,2489592926.0,879906217.0
11,11008311.6853,81627211.1434,24505492.1356,4400168.0611,112742123.198,533560.466199,21770947.1829,2616245.46542,13118204.0545,23011717.9988
111,10032068.9243,65686303.6127,21858888.3079,4497165.01179,92404319.1964,430061.537123,2133229.45198,2395867.23341,11391978.2478,23904820.6358
1111,2006413.78485,13137260.7225,4371777.66159,899433.002358,18480863.8393,86012.3074246,426645.890395,479173.446682,2278395.64956,4780964.12717
11111,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
111110,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
11112,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
111120,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
11113,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
111130,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
11114,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
111140,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
11115,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
111150,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
11116,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
111160,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
11119,286630.540693,1876751.53179,624539.665941,128490.428908,2640123.40561,12287.4724892,60949.4129136,68453.349526,325485.092794,682994.87531
111191,143315.270347,938375.765895,312269.832971,64245.2144542,1320061.70281,6143.73624462,30474.7064568,34226.674763,162742.546397,341497.437655
111199,143315.270347,938375.765895,312269.832971,64245.2144542,1320061.70281,6143.73624462,30474.7064568,34226.674763,162742.546397,341497.437655
1112,2006413.78485,13137260.7225,4371777.66159,899433.002358,18480863.8393,86012.3074246,426645.890395,479173.446682,2278395.64956,4780964.12717
11121,2006413.78485,13137260.7225,4371777.66159,899433.002358,18480863.8393,86012.3074246,426645.890395,479173.446682,2278395.64956,4780964.12717
111211,1003206.89243,6568630.36127,2185888.83079,449716.501179,9240431.91964,43006.1537123,213322.945198,239586.723341,1139197.82478,2390482.06358
111219,1003206.89243,6568630.36127,2185888.83079,449716.501179,9240431.91964,43006.1537123,213322.945198,239586.723341,1139197.82478,2390482.06358
1113,2006413.78485,13137260.7225,4371777.66159,899433.002358,18480863.8393,86012.3074246,426645.890395,479173.446682,2278395.64956,4780964.12717
11131,668804.594951,4379086.90751,1457259.22053,299811.000786,6160287.94643,28670.7691415,142215.296798,159724.482227,759465.216519,1593654.70906
111310,668804.594951,4379086.90751,1457259.22053,299811.000786,6160287.94643,28670.7691415,142215.296798,159724.482227,759465.216519,1593654.70906
11132,668804.594951,4379086.90751,1457259.22053,299811.000786,6160287.94643,28670.7691415,142215.296798,159724.482227,759465.216519,1593654.70906
111320,668804.594951,4379086.90751,1457259.22053,299811.000786,6160287.94643,28670.7691415,142215.296798,159724.482227,759465.216519,1593654.70906
11133,668804.594951,4379086.90751,1457259.22053,299811.000786,6160287.94643,28670.7691415,142215.296798,159724.482227,759465.216519,1593654.70906
111331,95543.5135645,625583.84393,208179.888647,42830.1429694,880041.135204,4095.82416308,20316.4709712,22817.7831753,108495.030931,227664.958437
111332,95543.5135645,625583.84393,208179.888647,42830.1429694,880041.135204,4095.82416308,20316.4709712,22817.7831753,108495.030931,227664.958437
111333,95543.5135645,625583.84393,208179.888647,42830.1429694,880041.135204,4095.82416308,20316.4709712,22817.7831753,108495.030931,227664.958437
111334,95543.5135645,625583.84393,208179.888647,42830.1429694,880041.135204,4095.82416308,20316.4709712,22817.7831753,108495.030931,227664.958437
111335,95543.5135645,625583.84393,208179.888647,42830.1429694,880041.135204,4095.82416308,20316.4709712,22817.7831753,108495.030931,227664.958437
111336,95543.5135645,625583.84393,208179.888647,42830.1429694,880041.135204,4095.82416308,20316.4709712,22817.7831753,108495.030931,227664.958437
111339,95543.5135645,625583.84393,208179.888647,42830.1429694,880041.135204,4095.82416308,20316.4709712,22817.7831753,108495.030931,227664.958437
1114,2006413.78485,13137260.7225,4371777.66159,899433.002358,18480863.8393,86012.3074246,426645.890395,479173.446682,2278395.64956,4780964.12717
11141,1003206.89243,6568630.36127,2185888.83079,449716.501179,9240431.91964,43006.1537123,213322.945198,239586.723341,1139197.82478,2390482.06358
111411,501603.446213,3284315.18063,1092944.4154,224858.25059,4620215.95982,21503.0768562,106661.472599,119793.36167,569598.912389,1195241.03179
111419,501603.446213,3284315.18063,1092944.4154,224858.25059,4620215.95982,21503.0768562,106661.472599,119793.36167,569598.912389,1195241.03179
11142,1003206.89243,6568630.36127,2185888.83079,449716.501179,9240431.91964,43006.1537123,213322.945198,239586.723341,1139197.82478,2390482.06358
111421,501603.446213,3284315.18063,1092944.4154,224858.25059,4620215.95982,21503.0768562,106661.472599,119793.36167,569598.912389,1195241.03179
111422,501603.446213,3284315.18063,1092944.4154,224858.25059,4620215.95982,21503.0768562,106661.472599,119793.36167,569598.912389,1195241.03179
1119,2006413.78485,13137260.7225,4371777.66159,899433.002358,18480863.8393,86012.3074246,426645.890395,479173.446682,2278395.64956,4780964.12717
11191,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
111910,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
11192,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
111920,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
11193,401282.756971,2627452.14451,874355.532318,179886.600472,3696172.76786,17202.4614849,85329.1780791,95834.6893364,455679.129911,956192.825434
