age,q_earn,mean_earn_rate,obs_earn
22.00000,38.00000,8.36961,87.00000
22.00000,39.00000,8.45979,86.00000
22.00000,40.00000,8.55619,87.00000
22.00000,41.00000,8.65836,87.00000
22.00000,42.00000,8.75040,86.00000
22.00000,43.00000,8.84520,87.00000
22.00000,44.00000,8.94914,86.00000
22.00000,45.00000,9.04355,87.00000
22.00000,46.00000,9.15483,87.00000
22.00000,47.00000,9.23846,86.00000
22.00000,48.00000,9.34013,87.00000
22.00000,49.00000,9.45333,86.00000
22.00000,50.00000,9.56645,87.00000
22.00000,51.00000,9.68230,87.00000
22.00000,52.00000,9.78977,86.00000
22.00000,53.00000,9.90534,87.00000
22.00000,54.00000,10.02175,86.00000
22.00000,55.00000,10.14147,87.00000
22.00000,56.00000,10.26804,87.00000
22.00000,57.00000,10.40199,86.00000
22.00000,58.00000,10.56618,87.00000
22.00000,59.00000,10.72583,86.00000
22.00000,60.00000,10.86614,87.00000
22.00000,61.00000,11.01189,87.00000
22.00000,62.00000,11.17820,86.00000
22.00000,63.00000,11.32405,87.00000
22.00000,64.00000,11.48789,87.00000
22.00000,65.00000,11.65273,86.00000
22.00000,66.00000,11.85975,87.00000
22.00000,67.00000,12.06255,86.00000
22.00000,68.00000,12.28378,87.00000
22.00000,69.00000,12.48967,87.00000
22.00000,70.00000,12.75728,86.00000
22.00000,71.00000,13.03004,87.00000
22.00000,72.00000,13.30385,86.00000
22.00000,73.00000,13.59973,87.00000
22.00000,74.00000,13.97924,87.00000
22.00000,75.00000,14.40503,86.00000
22.00000,76.00000,14.89530,87.00000
22.00000,77.00000,15.52317,86.00000
22.00000,78.00000,16.17304,87.00000
22.00000,79.00000,17.06999,87.00000
22.00000,80.00000,18.09731,86.00000
22.00000,81.00000,18.55976,87.00000
22.00000,82.00000,18.81424,87.00000
22.00000,83.00000,19.24888,86.00000
22.00000,84.00000,19.90022,87.00000
22.00000,85.00000,20.79392,86.00000
22.00000,86.00000,22.69437,87.00000
22.00000,87.00000,24.90007,87.00000
22.00000,88.00000,25.50015,86.00000
22.00000,89.00000,25.97220,87.00000
22.00000,90.00000,26.60056,86.00000
22.00000,91.00000,27.63050,87.00000
22.00000,92.00000,29.06069,87.00000
22.00000,93.00000,33.67160,86.00000
22.00000,94.00000,41.66038,87.00000
22.00000,95.00000,44.20797,86.00000
22.00000,96.00000,45.97313,87.00000
22.00000,97.00000,49.29525,87.00000
22.00000,98.00000,55.08329,86.00000
22.00000,99.00000,67.87155,87.00000
22.00000,100.00000,134.48354,86.00000
23.00000,1.00000,5.06628,90.00000
23.00000,2.00000,5.19018,90.00000
23.00000,3.00000,5.31718,89.00000
23.00000,4.00000,5.43596,90.00000
23.00000,5.00000,5.56962,90.00000
23.00000,6.00000,5.70190,89.00000
23.00000,7.00000,5.82554,90.00000
23.00000,8.00000,5.95002,89.00000
23.00000,9.00000,6.05740,90.00000
23.00000,10.00000,6.17965,90.00000
23.00000,11.00000,6.29855,89.00000
23.00000,12.00000,6.43114,90.00000
23.00000,13.00000,6.53673,90.00000
23.00000,14.00000,6.62309,89.00000
23.00000,15.00000,6.72950,90.00000
23.00000,16.00000,6.83987,89.00000
23.00000,17.00000,6.95042,90.00000
23.00000,18.00000,7.06087,90.00000
23.00000,19.00000,7.15329,89.00000
23.00000,20.00000,7.26441,90.00000
23.00000,21.00000,7.37785,90.00000
23.00000,22.00000,7.49183,89.00000
23.00000,23.00000,7.60808,90.00000
23.00000,24.00000,7.73507,89.00000
23.00000,25.00000,7.83790,90.00000
23.00000,26.00000,7.94240,90.00000
23.00000,27.00000,8.07877,89.00000
23.00000,28.00000,8.20942,90.00000
23.00000,29.00000,8.30323,89.00000
23.00000,30.00000,8.40781,90.00000
23.00000,31.00000,8.50976,90.00000
23.00000,32.00000,8.61611,89.00000
23.00000,33.00000,8.72538,90.00000
23.00000,34.00000,8.86353,90.00000
23.00000,35.00000,8.97160,89.00000
23.00000,36.00000,9.07795,90.00000
23.00000,37.00000,9.18175,89.00000
23.00000,38.00000,9.27307,90.00000
23.00000,39.00000,9.38086,90.00000
23.00000,40.00000,9.49289,89.00000
23.00000,41.00000,9.60869,90.00000
23.00000,42.00000,9.73018,90.00000
23.00000,43.00000,9.84690,89.00000
23.00000,44.00000,9.95745,90.00000
23.00000,45.00000,10.05351,89.00000
23.00000,46.00000,10.16365,90.00000
23.00000,47.00000,10.27518,90.00000
23.00000,48.00000,10.39357,89.00000
23.00000,49.00000,10.50950,90.00000
23.00000,50.00000,10.63959,89.00000
23.00000,51.00000,10.76477,90.00000
23.00000,52.00000,10.89378,90.00000
23.00000,53.00000,11.02955,89.00000
23.00000,54.00000,11.15228,90.00000
23.00000,55.00000,11.29904,90.00000
23.00000,56.00000,11.44374,89.00000
23.00000,57.00000,11.58331,90.00000
23.00000,58.00000,11.73481,89.00000
23.00000,59.00000,11.88802,90.00000
23.00000,60.00000,12.04875,90.00000
23.00000,61.00000,12.21387,89.00000
23.00000,62.00000,12.38173,90.00000
23.00000,63.00000,12.55356,90.00000
23.00000,64.00000,12.73007,89.00000
23.00000,65.00000,12.93530,90.00000
23.00000,66.00000,13.18099,89.00000
23.00000,67.00000,13.41795,90.00000
23.00000,68.00000,13.66420,90.00000
23.00000,69.00000,13.91875,89.00000
23.00000,70.00000,14.17382,90.00000
23.00000,71.00000,14.44485,90.00000
23.00000,72.00000,14.74127,89.00000
23.00000,73.00000,15.09183,90.00000
23.00000,74.00000,15.47784,89.00000
23.00000,75.00000,15.85942,90.00000
23.00000,76.00000,16.32056,90.00000
23.00000,77.00000,16.90532,89.00000
23.00000,78.00000,17.39858,90.00000
23.00000,79.00000,17.73351,89.00000
23.00000,80.00000,18.17098,90.00000
23.00000,81.00000,18.59639,90.00000
23.00000,82.00000,19.08232,89.00000
23.00000,83.00000,19.68119,90.00000
23.00000,84.00000,20.39512,90.00000
23.00000,85.00000,21.23693,89.00000
23.00000,86.00000,22.54304,90.00000
23.00000,87.00000,24.41148,89.00000
23.00000,88.00000,25.19595,90.00000
23.00000,89.00000,25.79280,90.00000
23.00000,90.00000,26.33948,89.00000
23.00000,91.00000,27.36526,90.00000
23.00000,92.00000,28.87953,90.00000
23.00000,93.00000,31.96303,89.00000
23.00000,94.00000,39.48300,90.00000
23.00000,95.00000,42.99642,89.00000
23.00000,96.00000,44.09116,90.00000
23.00000,97.00000,45.79942,90.00000
23.00000,98.00000,49.91855,89.00000
23.00000,99.00000,59.58781,90.00000
23.00000,100.00000,127.88937,89.00000
24.00000,1.00000,5.07791,92.00000
24.00000,2.00000,5.25734,91.00000
24.00000,3.00000,5.44026,91.00000
24.00000,4.00000,5.61173,91.00000
24.00000,5.00000,5.77237,92.00000
24.00000,6.00000,5.91883,91.00000
24.00000,7.00000,6.05599,91.00000
24.00000,8.00000,6.20185,91.00000
24.00000,9.00000,6.35300,91.00000
24.00000,10.00000,6.49374,92.00000
24.00000,11.00000,6.62600,91.00000
24.00000,12.00000,6.75659,91.00000
24.00000,13.00000,6.88835,91.00000
24.00000,14.00000,7.02667,92.00000
24.00000,15.00000,7.17512,91.00000
24.00000,16.00000,7.30625,91.00000
24.00000,17.00000,7.43777,91.00000
24.00000,18.00000,7.57996,91.00000
24.00000,19.00000,7.73524,92.00000
24.00000,20.00000,7.86999,91.00000
24.00000,21.00000,7.98502,91.00000
24.00000,22.00000,8.09676,91.00000
24.00000,23.00000,8.20398,92.00000
24.00000,24.00000,8.31533,91.00000
24.00000,25.00000,8.43610,91.00000
24.00000,26.00000,8.55371,91.00000
24.00000,27.00000,8.66253,91.00000
24.00000,28.00000,8.79094,92.00000
24.00000,29.00000,8.92367,91.00000
24.00000,30.00000,9.03983,91.00000
24.00000,31.00000,9.14084,91.00000
24.00000,32.00000,9.25996,92.00000
24.00000,33.00000,9.39273,91.00000
24.00000,34.00000,9.51833,91.00000
24.00000,35.00000,9.63983,91.00000
24.00000,36.00000,9.77084,91.00000
24.00000,37.00000,9.89414,92.00000
24.00000,38.00000,10.02103,91.00000
24.00000,39.00000,10.16154,91.00000
24.00000,40.00000,10.28751,91.00000
24.00000,41.00000,10.40821,92.00000
24.00000,42.00000,10.53644,91.00000
24.00000,43.00000,10.67022,91.00000
24.00000,44.00000,10.79356,91.00000
24.00000,45.00000,10.91726,91.00000
24.00000,46.00000,11.03936,92.00000
24.00000,47.00000,11.17482,91.00000
24.00000,48.00000,11.30867,91.00000
24.00000,49.00000,11.44326,91.00000
24.00000,50.00000,11.59420,91.00000
24.00000,51.00000,11.75207,92.00000
24.00000,52.00000,11.89904,91.00000
24.00000,53.00000,12.03042,91.00000
24.00000,54.00000,12.16766,91.00000
24.00000,55.00000,12.34943,92.00000
24.00000,56.00000,12.51200,91.00000
24.00000,57.00000,12.67241,91.00000
24.00000,58.00000,12.81779,91.00000
24.00000,59.00000,13.01215,91.00000
24.00000,60.00000,13.18777,92.00000
24.00000,61.00000,13.37924,91.00000
24.00000,62.00000,13.58097,91.00000
24.00000,63.00000,13.77776,91.00000
24.00000,64.00000,13.98588,92.00000
24.00000,65.00000,14.20558,91.00000
24.00000,66.00000,14.43386,91.00000
24.00000,67.00000,14.66666,91.00000
24.00000,68.00000,14.91066,91.00000
24.00000,69.00000,15.12088,92.00000
24.00000,70.00000,15.35712,91.00000
24.00000,71.00000,15.63140,91.00000
24.00000,72.00000,15.95051,91.00000
24.00000,73.00000,16.27963,92.00000
24.00000,74.00000,16.69576,91.00000
24.00000,75.00000,17.11170,91.00000
24.00000,76.00000,17.53373,91.00000
24.00000,77.00000,17.92350,91.00000
24.00000,78.00000,18.23622,92.00000
24.00000,79.00000,18.52162,91.00000
24.00000,80.00000,18.84175,91.00000
24.00000,81.00000,19.29916,91.00000
24.00000,82.00000,19.73958,92.00000
24.00000,83.00000,20.21672,91.00000
24.00000,84.00000,20.95243,91.00000
24.00000,85.00000,21.88302,91.00000
24.00000,86.00000,22.87856,91.00000
24.00000,87.00000,24.05644,92.00000
24.00000,88.00000,24.71500,91.00000
24.00000,89.00000,25.44359,91.00000
24.00000,90.00000,26.02145,91.00000
24.00000,91.00000,26.92610,92.00000
24.00000,92.00000,28.43076,91.00000
24.00000,93.00000,31.12607,91.00000
24.00000,94.00000,37.50364,91.00000
24.00000,95.00000,43.10334,91.00000
24.00000,96.00000,44.05858,92.00000
24.00000,97.00000,45.12092,91.00000
24.00000,98.00000,47.56202,91.00000
24.00000,99.00000,53.77409,91.00000
24.00000,100.00000,94.40692,91.00000
25.00000,1.00000,5.12801,91.00000
25.00000,2.00000,5.32356,90.00000
25.00000,3.00000,5.51047,91.00000
25.00000,4.00000,5.69705,90.00000
25.00000,5.00000,5.88363,91.00000
25.00000,6.00000,6.03889,90.00000
25.00000,7.00000,6.21848,90.00000
25.00000,8.00000,6.37873,91.00000
25.00000,9.00000,6.54857,90.00000
25.00000,10.00000,6.71977,91.00000
25.00000,11.00000,6.88671,90.00000
25.00000,12.00000,7.05537,91.00000
25.00000,13.00000,7.21825,90.00000
25.00000,14.00000,7.36367,90.00000
25.00000,15.00000,7.50047,91.00000
25.00000,16.00000,7.64911,90.00000
25.00000,17.00000,7.79261,91.00000
25.00000,18.00000,7.95328,90.00000
25.00000,19.00000,8.07740,90.00000
25.00000,20.00000,8.20184,91.00000
25.00000,21.00000,8.33986,90.00000
25.00000,22.00000,8.47985,91.00000
25.00000,23.00000,8.62530,90.00000
25.00000,24.00000,8.74950,91.00000
25.00000,25.00000,8.87908,90.00000
25.00000,26.00000,9.03945,90.00000
25.00000,27.00000,9.16450,91.00000
25.00000,28.00000,9.28693,90.00000
25.00000,29.00000,9.42765,91.00000
25.00000,30.00000,9.56938,90.00000
25.00000,31.00000,9.70472,91.00000
25.00000,32.00000,9.85871,90.00000
25.00000,33.00000,9.99065,90.00000
25.00000,34.00000,10.11465,91.00000
25.00000,35.00000,10.23445,90.00000
25.00000,36.00000,10.35132,91.00000
25.00000,37.00000,10.47210,90.00000
25.00000,38.00000,10.60592,90.00000
25.00000,39.00000,10.76485,91.00000
25.00000,40.00000,10.87519,90.00000
25.00000,41.00000,11.01011,91.00000
25.00000,42.00000,11.15102,90.00000
25.00000,43.00000,11.31092,91.00000
25.00000,44.00000,11.43075,90.00000
25.00000,45.00000,11.55475,90.00000
25.00000,46.00000,11.68805,91.00000
25.00000,47.00000,11.81466,90.00000
25.00000,48.00000,11.96482,91.00000
25.00000,49.00000,12.11134,90.00000
25.00000,50.00000,12.28098,90.00000
25.00000,51.00000,12.42394,91.00000
25.00000,52.00000,12.57067,90.00000
25.00000,53.00000,12.71530,91.00000
25.00000,54.00000,12.87393,90.00000
25.00000,55.00000,13.02681,91.00000
25.00000,56.00000,13.19221,90.00000
25.00000,57.00000,13.36827,90.00000
25.00000,58.00000,13.53350,91.00000
25.00000,59.00000,13.70604,90.00000
25.00000,60.00000,13.89240,91.00000
25.00000,61.00000,14.09015,90.00000
25.00000,62.00000,14.28218,91.00000
25.00000,63.00000,14.48760,90.00000
25.00000,64.00000,14.68360,90.00000
25.00000,65.00000,14.88581,91.00000
25.00000,66.00000,15.09566,90.00000
25.00000,67.00000,15.34767,91.00000
