HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY,PWCMPWGT
138009000100198,93001,1,201405,38,10.00,3287.3595
900918067907309,91001,1,201405,52,10.00,3338.8050
199610005930670,91001,1,201405,59,25.00,2797.0443
790914067103539,93001,1,201405,19,8.95,3545.4585
790914067103539,93001,2,201405,48,9.00,2604.9959
992061984079750,91002,1,201405,25,14.00,3877.8544
503906980591589,93001,1,201405,54,30.00,1266.1026
946049989039100,93001,1,201405,59,25.00,989.3202
203900870698749,93001,1,201405,51,12.00,1196.0202
769679930639002,93001,1,201405,31,10.10,1213.3401
041630390994199,93001,2,201405,62,15.00,1091.1503
710000030465715,91001,1,201405,32,24.00,459.8064
710000030465715,91001,4,201405,26,15.00,496.5040
701099063900692,93001,2,201405,51,8.25,319.7445
914020933178500,91001,1,201405,35,15.00,360.8149
914020933178500,91001,2,201405,50,14.00,575.9056
914020933178500,91001,5,201405,22,9.00,724.6078
520906098213349,93001,2,201405,42,14.00,404.7399
310109730465785,93001,1,201405,53,10.30,450.0808
507904651087301,91001,2,201405,47,9.00,382.9624
710109830465705,91001,1,201405,74,10.35,323.4819
148240461700971,91001,1,201405,39,10.00,249.3345
148240461700971,91001,2,201405,33,10.00,331.6322
975041947178710,91001,5,201405,20,7.75,355.7968
507904651197301,91002,2,201405,21,22.00,273.4908
951409570479107,91001,2,201405,25,13.50,295.8992
191963005052225,93001,1,201405,39,15.00,3834.1225
191963005052225,93001,2,201405,40,25.00,3883.5041
229280695680971,91001,1,201405,45,27.00,3651.0124
193973404073228,93001,2,201405,50,15.00,4662.0987
971052789179530,91001,1,201405,30,10.50,4108.5245
821891043908690,93001,1,201405,59,14.14,4289.9983
550921090913859,93001,4,201405,40,7.38,4407.0214
220921091913489,93001,2,201405,25,8.00,4471.7314
012891320994291,93001,1,201405,64,30.00,3985.3408
012891320994291,93001,2,201405,61,18.00,3647.3659
710200051278114,91001,1,201405,39,19.00,4938.4263
710200051278114,91001,3,201405,19,8.00,4978.0981
710200051278114,91001,4,201405,20,8.00,5905.7104
106017309060201,91001,4,201405,27,18.00,4357.0973
007000191106362,91001,1,201405,38,8.00,4152.2504
918002471139270,93001,1,201405,59,13.00,4385.3117
918002471139270,93001,2,201405,57,12.00,3810.3184
199917806050278,91001,1,201405,63,13.00,4215.9752
710209989716580,91001,3,201405,23,10.00,4751.3435
944092991139160,93001,2,201405,66,20.00,3710.5161
944092991139160,93001,3,201405,38,12.00,4938.4263
930197129200862,93001,1,201405,38,9.50,4215.9331
106087509053301,91001,2,201405,51,19.00,3705.3592
931805057001306,91001,1,201405,44,25.25,3208.7146
931805057001306,91001,2,201405,48,18.15,2958.7023
929093946179660,91261,2,201405,25,19.85,4929.1751
103905931693063,93001,1,201405,43,40.00,3208.7146
379060391350971,91001,1,201405,36,18.21,3331.0300
973419530879104,93001,1,201405,38,12.00,2765.2500
