HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY,PWCMPWGT
988579830776205,91001,1,201401,22,11.69,4032.8602
070985092523249,91001,2,201401,55,19.49,1938.2063
070985092523249,91001,3,201401,35,23.00,2516.0792
983079430276308,91001,1,201401,56,22.00,400.3063
983079430276308,91001,3,201401,24,14.00,526.5791
073392659300533,92001,1,201401,70,45.00,415.7236
067313330994390,91001,2,201401,63,12.00,461.0645
967013903379460,92001,1,201401,62,17.15,437.8236
138399009300698,91001,1,201401,61,19.00,477.0280
982013950379130,92001,1,201401,59,21.19,412.0065
001163330992091,91001,1,201401,49,11.74,428.0176
396923909051486,91001,1,201401,36,35.00,3190.6163
499400364410973,92001,2,201401,50,9.50,3139.6302
640940094337149,92001,1,201401,57,9.00,3258.3185
499140725450973,92001,1,201401,64,16.00,3173.1729
499330340410973,92002,1,201401,33,15.00,6932.1695
620943095937389,92001,1,201401,52,11.00,3139.6302
397917202074408,92001,1,201401,39,64.10,3107.0449
397917202074408,92001,2,201401,39,40.00,5144.8163
330409974675783,91001,1,201401,60,31.80,3013.2233
733397549400876,91001,2,201401,24,9.50,5770.3941
543767073908394,91002,1,201401,22,8.25,5316.0542
543767073908394,91002,2,201401,26,10.50,3873.6458
063141063906399,91001,1,201401,47,21.00,3893.1374
063141063906399,91001,2,201401,40,10.50,2354.2780
063141063906399,91001,3,201401,26,16.00,3331.0952
063141063906399,91001,4,201401,22,12.00,2899.5186
003173360970091,91002,1,201401,21,8.75,3895.6573
330609973396884,91001,2,201401,66,12.00,3765.0517
663102047908994,92001,1,201401,85,12.05,2624.1562
305063403007681,91001,1,201401,47,9.69,3039.0226
730399089600193,91001,1,201401,61,10.00,3260.4470
730399089600193,91001,2,201401,36,45.00,3698.5082
420266097633779,91001,6,201401,22,11.00,2899.5186
437396359600308,91001,1,201401,45,11.00,3510.1803
437396359600308,91001,2,201401,41,8.00,3463.1766
330609931527252,91001,1,201401,55,26.00,2850.2794
330609931527252,91001,2,201401,57,27.00,4097.4714
330609931527252,91001,3,201401,26,16.00,3331.0952
280960090233859,91001,2,201401,56,52.00,3797.3884
399947805005608,92001,2,201401,49,7.70,3010.9705
945046237379280,92001,1,201401,33,7.25,3643.2425
398927007016628,92001,1,201401,71,90.00,2744.6833
996066998379730,92001,2,201401,61,15.40,3733.8991
240962096733449,91001,2,201401,27,15.00,2839.2335
922036959379890,92001,2,201401,41,31.00,4791.9507
393903305033640,91001,4,201401,24,12.00,2899.5186
330609971121433,91002,1,201401,31,11.50,2271.2385
303908293593816,91001,1,201401,46,30.00,3893.1374
679400186890933,91001,3,201401,19,9.95,3367.2524
679400186890933,91001,4,201401,19,9.95,3367.2524
395997600080690,92001,1,201401,51,27.00,3711.2822
395997600080690,92001,3,201401,15,12.20,0.0000
063998067900095,92001,2,201401,59,9.00,4371.7076
563043037901393,92001,1,201401,37,11.25,3641.1616
730609983842784,92001,2,201401,52,25.00,3017.7858
263528057908597,92001,2,201401,43,60.10,2898.0166
807002143109397,92001,1,201401,28,12.54,3613.6665
730700028434816,92001,1,201401,25,10.05,5300.7543
799940255060633,91001,5,201401,61,9.00,2623.1432
924017957379270,92001,2,201401,55,7.85,3830.0399
998047995379550,92001,1,201401,65,12.00,2650.6151
953097960339540,91001,1,201401,67,90.00,3223.3662
953097960339540,91001,2,201401,80,45.00,3397.6260
615057997339780,91003,1,201401,54,11.50,3243.8937
799570781590633,91001,1,201401,48,16.73,3468.4126
799280758500973,92001,1,201401,46,9.00,3213.5492
207008903104007,92001,1,201401,21,9.50,4323.2853
207008903104007,92001,2,201401,21,8.00,4628.9383
927999330649305,91001,2,201401,55,8.50,3742.4794
989087776339960,91001,2,201401,50,10.00,3475.1890
989087776339960,91001,3,201401,51,34.50,3959.8347
730709977833364,92001,1,201401,25,15.00,4096.2461
730709977833364,92001,2,201401,23,18.00,4268.6195
730709977833364,92001,3,201401,21,9.00,4268.6195
730709977833364,92001,4,201401,32,15.00,4130.6831
690974094537969,92001,2,201401,26,10.00,4026.5987
330909994853881,91001,1,201401,25,19.00,3357.2437
393588093908194,91001,1,201401,45,17.93,3284.6646
693094073906697,91001,1,201401,44,20.68,6236.8386
995039996379760,92001,1,201401,26,10.50,3372.7996
995039996379760,92001,2,201401,24,11.40,3718.3577
935099705339680,91002,1,201401,18,9.00,3559.6330
935099705339680,91002,2,201401,18,9.00,3559.6330
493837057906492,92001,2,201401,53,21.50,3498.9882
969709030629300,91002,1,201401,33,7.95,3435.2001
926009945379780,92001,2,201401,76,9.60,3429.9609
550991095333879,91001,1,201401,75,10.00,2526.4934
820994095133159,91001,3,201401,17,8.00,3179.0023
303027507016931,92001,2,201401,42,34.00,5669.4289
999800287160633,91001,1,201401,52,12.00,3171.9242
999800287160633,91001,2,201401,55,24.00,3143.9528
730906931194389,92001,1,201401,40,17.43,2845.8737
000995068837169,92001,2,201401,46,16.02,3102.4666
979629030749304,91001,2,201401,31,25.00,3693.3181
999800461530633,91001,3,201401,26,11.40,3357.2437
703602723892729,91001,1,201401,61,12.85,2772.8613
999720277220673,92001,1,201401,39,60.00,3428.6841
999720277220673,92001,2,201401,34,14.22,3027.4662
395933507011998,91001,1,201401,51,16.77,2861.9652
693442073001500,91001,2,201401,51,12.95,2861.9652
693442073001500,91001,3,201401,31,15.00,3084.7600
824961053906598,91001,1,201401,34,28.50,3653.0666
070422096947969,92001,2,201401,60,20.00,3284.2586
070422096947969,92001,3,201401,22,8.95,4181.8958
070422096947969,92001,4,201401,29,12.81,3524.1531
279580195860974,92001,1,201401,39,31.00,3291.3726
901022940439810,91001,3,201401,28,16.00,3524.1531
078614320998093,91001,1,201401,51,16.00,2837.5932
078614320998093,91001,2,201401,55,13.00,2836.5965
078614320998093,91001,3,201401,25,17.00,3524.1531
630920092047069,92001,1,201401,54,17.00,3055.0963
630920092047069,92001,2,201401,23,11.00,4067.3334
912179530149408,91001,1,201401,68,11.50,2910.6348
942889530359409,91001,2,201401,35,19.05,4045.0565
500920098247949,92001,2,201401,40,7.35,2971.8055
124247053906798,91001,3,201401,18,8.00,3628.0348
029384320973493,91001,2,201401,61,7.25,3348.3270
029384320973493,91001,3,201401,30,20.00,5369.3494
029384320973493,91001,4,201401,28,8.25,8531.9615
029384320973493,91001,5,201401,23,12.00,5731.4993
340209985954589,91001,1,201401,33,17.00,3567.1721
912002923439550,91001,2,201401,26,12.17,3485.2139
733490599200828,91001,2,201401,49,16.00,2892.9857
902879970359402,92001,1,201401,42,6.00,3258.9814
937052982479900,92001,1,201401,30,10.00,3612.7030
912589430606402,91001,2,201401,58,11.00,2438.5629
536496769200847,91001,1,201401,24,22.70,4067.3334
536496769200847,91001,2,201401,24,14.00,4181.8958
536496769200847,91001,4,201401,60,20.00,2723.3469
670926095447769,92001,4,201401,26,8.80,3524.1531
340209985308982,91001,1,201401,58,9.75,3054.5761
039254320999493,91001,1,201401,43,10.50,3258.9814
