Codes:,Capital_stock,land,cost_of_treasury_stock,additional_paid-in_capital,earnings_(rtnd_appr),depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
11192,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
111920,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
11193,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
111930,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
11194,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
111940,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
11199,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
111991,231387.577616,572820.939801,94027.3555129,778699.86543,5734.15382831,2648100.25234,-73643.1141339,1899613.5485,359857.359155,61366.5534459
111992,231387.577616,572820.939801,94027.3555129,778699.86543,5734.15382831,2648100.25234,-73643.1141339,1899613.5485,359857.359155,61366.5534459
111998,231387.577616,572820.939801,94027.3555129,778699.86543,5734.15382831,2648100.25234,-73643.1141339,1899613.5485,359857.359155,61366.5534459
