Codes:,Capital_stock,land,depreciable_assets,inventories,additional_paid-in_capital,cost_of_treasury_stock,earnings_(rtnd_unappr.),accumulated_depreciation,earnings_(rtnd_appr),interest_paid
1,181263739.0,254782653.0,3193022409.0,815483690.0,743929961.0,129689546.0,1285956791.0,1998692600.0,0.0,88045419.0
11,9212252.01793,23976454.0717,133620694.018,19623939.9701,45977724.0239,3214458.0239,-9633061.0,96607509.0359,0.0,2776287.98207
111,7321999.39694,19056749.8492,106203199.729,15597323.6888,36543601.5993,2554886.65168,-7656463.01202,76784712.5245,0.0,2206624.27503
1111,1464399.87939,3811349.96985,21240639.9459,3119464.73777,7308720.31986,510977.330336,-1531292.6024,15356942.5049,0.0,441324.855006
11111,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
111110,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
11112,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
111120,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
11113,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
111130,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
11114,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
111140,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
11115,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
111150,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
11116,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
111160,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
11119,209199.98277,544478.567121,3034377.13513,445637.819681,1044102.90284,72996.7614765,-218756.086058,2193848.92927,0.0,63046.407858
111191,104599.991385,272239.283561,1517188.56756,222818.909841,522051.451419,36498.3807383,-109378.043029,1096924.46464,0.0,31523.203929
