Codes:,Capital_stock,land,depreciable_assets,inventories,additional_paid-in_capital,cost_of_treasury_stock,earnings_(rtnd_unappr.),accumulated_depreciation,earnings_(rtnd_appr),interest_paid
111199,104599.991385,272239.283561,1517188.56756,222818.909841,522051.451419,36498.3807383,-109378.043029,1096924.46464,0.0,31523.203929
1112,1464399.87939,3811349.96985,21240639.9459,3119464.73777,7308720.31986,510977.330336,-1531292.6024,15356942.5049,0.0,441324.855006
11121,1464399.87939,3811349.96985,21240639.9459,3119464.73777,7308720.31986,510977.330336,-1531292.6024,15356942.5049,0.0,441324.855006
111211,732199.939694,1905674.98492,10620319.9729,1559732.36888,3654360.15993,255488.665168,-765646.301202,7678471.25245,0.0,220662.427503
111219,732199.939694,1905674.98492,10620319.9729,1559732.36888,3654360.15993,255488.665168,-765646.301202,7678471.25245,0.0,220662.427503
1113,1464399.87939,3811349.96985,21240639.9459,3119464.73777,7308720.31986,510977.330336,-1531292.6024,15356942.5049,0.0,441324.855006
11131,488133.293129,1270449.98995,7080213.31529,1039821.57926,2436240.10662,170325.776779,-510430.867468,5118980.83497,0.0,147108.285002
111310,488133.293129,1270449.98995,7080213.31529,1039821.57926,2436240.10662,170325.776779,-510430.867468,5118980.83497,0.0,147108.285002
11132,488133.293129,1270449.98995,7080213.31529,1039821.57926,2436240.10662,170325.776779,-510430.867468,5118980.83497,0.0,147108.285002
111320,488133.293129,1270449.98995,7080213.31529,1039821.57926,2436240.10662,170325.776779,-510430.867468,5118980.83497,0.0,147108.285002
11133,488133.293129,1270449.98995,7080213.31529,1039821.57926,2436240.10662,170325.776779,-510430.867468,5118980.83497,0.0,147108.285002
111331,69733.3275899,181492.855707,1011459.04504,148545.939894,348034.300946,24332.2538255,-72918.6953526,731282.976424,0.0,21015.469286
111332,69733.3275899,181492.855707,1011459.04504,148545.939894,348034.300946,24332.2538255,-72918.6953526,731282.976424,0.0,21015.469286
111333,69733.3275899,181492.855707,1011459.04504,148545.939894,348034.300946,24332.2538255,-72918.6953526,731282.976424,0.0,21015.469286
111334,69733.3275899,181492.855707,1011459.04504,148545.939894,348034.300946,24332.2538255,-72918.6953526,731282.976424,0.0,21015.469286
111335,69733.3275899,181492.855707,1011459.04504,148545.939894,348034.300946,24332.2538255,-72918.6953526,731282.976424,0.0,21015.469286
111336,69733.3275899,181492.855707,1011459.04504,148545.939894,348034.300946,24332.2538255,-72918.6953526,731282.976424,0.0,21015.469286
111339,69733.3275899,181492.855707,1011459.04504,148545.939894,348034.300946,24332.2538255,-72918.6953526,731282.976424,0.0,21015.469286
1114,1464399.87939,3811349.96985,21240639.9459,3119464.73777,7308720.31986,510977.330336,-1531292.6024,15356942.5049,0.0,441324.855006
11141,732199.939694,1905674.98492,10620319.9729,1559732.36888,3654360.15993,255488.665168,-765646.301202,7678471.25245,0.0,220662.427503
111411,366099.969847,952837.492462,5310159.98647,779866.184442,1827180.07997,127744.332584,-382823.150601,3839235.62623,0.0,110331.213752
111419,366099.969847,952837.492462,5310159.98647,779866.184442,1827180.07997,127744.332584,-382823.150601,3839235.62623,0.0,110331.213752
11142,732199.939694,1905674.98492,10620319.9729,1559732.36888,3654360.15993,255488.665168,-765646.301202,7678471.25245,0.0,220662.427503
111421,366099.969847,952837.492462,5310159.98647,779866.184442,1827180.07997,127744.332584,-382823.150601,3839235.62623,0.0,110331.213752
111422,366099.969847,952837.492462,5310159.98647,779866.184442,1827180.07997,127744.332584,-382823.150601,3839235.62623,0.0,110331.213752
1119,1464399.87939,3811349.96985,21240639.9459,3119464.73777,7308720.31986,510977.330336,-1531292.6024,15356942.5049,0.0,441324.855006
11191,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
111910,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
11192,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
111920,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
11193,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
111930,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
11194,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
111940,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
11199,292879.975878,762269.99397,4248127.98918,623892.947554,1461744.06397,102195.466067,-306258.520481,3071388.50098,0.0,88264.9710012
111991,97626.6586258,254089.99799,1416042.66306,207964.315851,487248.021324,34065.1553557,-102086.173494,1023796.16699,0.0,29421.6570004
111992,97626.6586258,254089.99799,1416042.66306,207964.315851,487248.021324,34065.1553557,-102086.173494,1023796.16699,0.0,29421.6570004
111998,97626.6586258,254089.99799,1416042.66306,207964.315851,487248.021324,34065.1553557,-102086.173494,1023796.16699,0.0,29421.6570004
113,699627.73978,1820900.28991,10147870.8965,1490347.06608,3491794.52282,244123.152244,-731586.226851,7336891.46378,0.0,210846.173346
1131,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
11311,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
113110,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
1132,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
11321,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
113210,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
1133,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
11331,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
113310,233209.246593,606966.763302,3382623.63215,496782.355359,1163931.50761,81374.3840813,-243862.075617,2445630.48793,0.0,70282.0577819
114,1190624.88121,3098803.93257,17269623.392,2536269.21521,5942327.90177,415448.219981,-1245011.76113,12485905.0475,0.0,358817.533696
1141,595312.440605,1549401.96628,8634811.69602,1268134.6076,2971163.95088,207724.10999,-622505.880565,6242952.52376,0.0,179408.766848
11411,595312.440605,1549401.96628,8634811.69602,1268134.6076,2971163.95088,207724.10999,-622505.880565,6242952.52376,0.0,179408.766848
114111,198437.480202,516467.322095,2878270.56534,422711.535868,990387.983628,69241.3699968,-207501.960188,2080984.17459,0.0,59802.9222826
114112,198437.480202,516467.322095,2878270.56534,422711.535868,990387.983628,69241.3699968,-207501.960188,2080984.17459,0.0,59802.9222826
114119,198437.480202,516467.322095,2878270.56534,422711.535868,990387.983628,69241.3699968,-207501.960188,2080984.17459,0.0,59802.9222826
1142,595312.440605,1549401.96628,8634811.69602,1268134.6076,2971163.95088,207724.10999,-622505.880565,6242952.52376,0.0,179408.766848
11421,595312.440605,1549401.96628,8634811.69602,1268134.6076,2971163.95088,207724.10999,-622505.880565,6242952.52376,0.0,179408.766848
114210,595312.440605,1549401.96628,8634811.69602,1268134.6076,2971163.95088,207724.10999,-622505.880565,6242952.52376,0.0,179408.766848
21,1112987.0633,3282471.2532,64153202.0633,2997547.8945,13553639.0844,2002290.0844,57105195.0,47606730.1266,0.0,1148325.9367
211,370995.687767,1094157.0844,21384400.6878,999182.631499,4517879.6948,667430.028134,19035065.0,15868910.0422,0.0,382775.312233
2111,370995.687767,1094157.0844,21384400.6878,999182.631499,4517879.6948,667430.028134,19035065.0,15868910.0422,0.0,382775.312233
21111,370995.687767,1094157.0844,21384400.6878,999182.631499,4517879.6948,667430.028134,19035065.0,15868910.0422,0.0,382775.312233
211111,185497.843884,547078.542201,10692200.3439,499591.31575,2258939.8474,333715.014067,9517532.5,7934455.0211,0.0,191387.656116
211112,185497.843884,547078.542201,10692200.3439,499591.31575,2258939.8474,333715.014067,9517532.5,7934455.0211,0.0,191387.656116
212,370995.687767,1094157.0844,21384400.6878,999182.631499,4517879.6948,667430.028134,19035065.0,15868910.0422,0.0,382775.312233
2121,123665.229256,364719.028134,7128133.56259,333060.877166,1505959.89827,222476.676045,6345021.66667,5289636.68073,0.0,127591.770744
21211,123665.229256,364719.028134,7128133.56259,333060.877166,1505959.89827,222476.676045,6345021.66667,5289636.68073,0.0,127591.770744
212111,41221.7430852,121573.009378,2376044.52086,111020.292389,501986.632756,74158.8920149,2115007.22222,1763212.22691,0.0,42530.5902481
212112,41221.7430852,121573.009378,2376044.52086,111020.292389,501986.632756,74158.8920149,2115007.22222,1763212.22691,0.0,42530.5902481
212113,41221.7430852,121573.009378,2376044.52086,111020.292389,501986.632756,74158.8920149,2115007.22222,1763212.22691,0.0,42530.5902481
2122,123665.229256,364719.028134,7128133.56259,333060.877166,1505959.89827,222476.676045,6345021.66667,5289636.68073,0.0,127591.770744
21221,30916.3073139,91179.7570335,1782033.39065,83265.2192916,376489.974567,55619.1690112,1586255.41667,1322409.17018,0.0,31897.9426861
212210,30916.3073139,91179.7570335,1782033.39065,83265.2192916,376489.974567,55619.1690112,1586255.41667,1322409.17018,0.0,31897.9426861
21222,30916.3073139,91179.7570335,1782033.39065,83265.2192916,376489.974567,55619.1690112,1586255.41667,1322409.17018,0.0,31897.9426861
212221,15458.153657,45589.8785167,891016.695324,41632.6096458,188244.987283,27809.5845056,793127.708333,661204.585092,0.0,15948.971343
212222,15458.153657,45589.8785167,891016.695324,41632.6096458,188244.987283,27809.5845056,793127.708333,661204.585092,0.0,15948.971343
21223,30916.3073139,91179.7570335,1782033.39065,83265.2192916,376489.974567,55619.1690112,1586255.41667,1322409.17018,0.0,31897.9426861
212231,15458.153657,45589.8785167,891016.695324,41632.6096458,188244.987283,27809.5845056,793127.708333,661204.585092,0.0,15948.971343
212234,15458.153657,45589.8785167,891016.695324,41632.6096458,188244.987283,27809.5845056,793127.708333,661204.585092,0.0,15948.971343
21229,30916.3073139,91179.7570335,1782033.39065,83265.2192916,376489.974567,55619.1690112,1586255.41667,1322409.17018,0.0,31897.9426861
212291,15458.153657,45589.8785167,891016.695324,41632.6096458,188244.987283,27809.5845056,793127.708333,661204.585092,0.0,15948.971343
212299,15458.153657,45589.8785167,891016.695324,41632.6096458,188244.987283,27809.5845056,793127.708333,661204.585092,0.0,15948.971343
2123,123665.229256,364719.028134,7128133.56259,333060.877166,1505959.89827,222476.676045,6345021.66667,5289636.68073,0.0,127591.770744
21231,41221.7430852,121573.009378,2376044.52086,111020.292389,501986.632756,74158.8920149,2115007.22222,1763212.22691,0.0,42530.5902481
212311,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212312,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212313,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212319,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
21232,41221.7430852,121573.009378,2376044.52086,111020.292389,501986.632756,74158.8920149,2115007.22222,1763212.22691,0.0,42530.5902481
212321,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212322,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212324,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212325,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
21239,41221.7430852,121573.009378,2376044.52086,111020.292389,501986.632756,74158.8920149,2115007.22222,1763212.22691,0.0,42530.5902481
212391,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212392,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212393,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
212399,10305.4357713,30393.2523445,594011.130216,27755.0730972,125496.658189,18539.7230037,528751.805556,440803.056728,0.0,10632.647562
213,370995.687767,1094157.0844,21384400.6878,999182.631499,4517879.6948,667430.028134,19035065.0,15868910.0422,0.0,382775.312233
2131,370995.687767,1094157.0844,21384400.6878,999182.631499,4517879.6948,667430.028134,19035065.0,15868910.0422,0.0,382775.312233
21311,370995.687767,1094157.0844,21384400.6878,999182.631499,4517879.6948,667430.028134,19035065.0,15868910.0422,0.0,382775.312233
213111,74199.1375534,218831.41688,4276880.13755,199836.5263,903575.93896,133486.005627,3807013.0,3173782.00844,0.0,76555.0624466
213112,74199.1375534,218831.41688,4276880.13755,199836.5263,903575.93896,133486.005627,3807013.0,3173782.00844,0.0,76555.0624466
213113,74199.1375534,218831.41688,4276880.13755,199836.5263,903575.93896,133486.005627,3807013.0,3173782.00844,0.0,76555.0624466
213114,74199.1375534,218831.41688,4276880.13755,199836.5263,903575.93896,133486.005627,3807013.0,3173782.00844,0.0,76555.0624466
213115,74199.1375534,218831.41688,4276880.13755,199836.5263,903575.93896,133486.005627,3807013.0,3173782.00844,0.0,76555.0624466
22,35360.1317435,347710.526974,5639649.13174,514245.780428,1905425.17566,31781.175658,3797727.0,3027051.26349,0.0,126600.868257
221,35360.1317435,347710.526974,5639649.13174,514245.780428,1905425.17566,31781.175658,3797727.0,3027051.26349,0.0,126600.868257
2212,35360.1317435,347710.526974,5639649.13174,514245.780428,1905425.17566,31781.175658,3797727.0,3027051.26349,0.0,126600.868257
22121,35360.1317435,347710.526974,5639649.13174,514245.780428,1905425.17566,31781.175658,3797727.0,3027051.26349,0.0,126600.868257
221210,35360.1317435,347710.526974,5639649.13174,514245.780428,1905425.17566,31781.175658,3797727.0,3027051.26349,0.0,126600.868257
23,13458669.0463,30378657.1851,329552301.046,71307479.9229,71910386.0617,10597704.0617,147298712.0,233511651.093,0.0,7028720.95373
236,3303980.68681,7457683.68966,80902088.7734,17505336.9453,17653344.9119,2601639.83705,36160492.391,57324983.823,0.0,1725486.9857
2361,1651990.34341,3728841.84483,40451044.3867,8752668.47267,8826672.45596,1300819.91852,18080246.1955,28662491.9115,0.0,862743.492849
23611,1651990.34341,3728841.84483,40451044.3867,8752668.47267,8826672.45596,1300819.91852,18080246.1955,28662491.9115,0.0,862743.492849
236115,412997.585852,932210.461207,10112761.0967,2188167.11817,2206668.11399,325204.979631,4520061.54888,7165622.97787,0.0,215685.873212
236116,412997.585852,932210.461207,10112761.0967,2188167.11817,2206668.11399,325204.979631,4520061.54888,7165622.97787,0.0,215685.873212
236117,412997.585852,932210.461207,10112761.0967,2188167.11817,2206668.11399,325204.979631,4520061.54888,7165622.97787,0.0,215685.873212
236118,412997.585852,932210.461207,10112761.0967,2188167.11817,2206668.11399,325204.979631,4520061.54888,7165622.97787,0.0,215685.873212
2362,1651990.34341,3728841.84483,40451044.3867,8752668.47267,8826672.45596,1300819.91852,18080246.1955,28662491.9115,0.0,862743.492849
23621,825995.171704,1864420.92241,20225522.1933,4376334.23633,4413336.22798,650409.959262,9040123.09775,14331245.9557,0.0,431371.746424
236210,825995.171704,1864420.92241,20225522.1933,4376334.23633,4413336.22798,650409.959262,9040123.09775,14331245.9557,0.0,431371.746424
23622,825995.171704,1864420.92241,20225522.1933,4376334.23633,4413336.22798,650409.959262,9040123.09775,14331245.9557,0.0,431371.746424
236220,825995.171704,1864420.92241,20225522.1933,4376334.23633,4413336.22798,650409.959262,9040123.09775,14331245.9557,0.0,431371.746424
237,4740433.05039,10700017.2195,116075416.844,25116029.9287,25328386.4535,3732739.57622,51881778.2237,82247831.8387,0.0,2475666.87289
2372,4740433.05039,10700017.2195,116075416.844,25116029.9287,25328386.4535,3732739.57622,51881778.2237,82247831.8387,0.0,2475666.87289
23721,4740433.05039,10700017.2195,116075416.844,25116029.9287,25328386.4535,3732739.57622,51881778.2237,82247831.8387,0.0,2475666.87289
237210,4740433.05039,10700017.2195,116075416.844,25116029.9287,25328386.4535,3732739.57622,51881778.2237,82247831.8387,0.0,2475666.87289
238,5414255.30906,12220956.2759,132574795.429,28686113.0489,28928654.6963,4263324.64842,59256441.3853,93938835.4309,0.0,2827567.09515
2382,5414255.30906,12220956.2759,132574795.429,28686113.0489,28928654.6963,4263324.64842,59256441.3853,93938835.4309,0.0,2827567.09515
23821,2450592.96962,5531432.82359,60005825.9321,12983869.9785,13093648.8534,1929660.27907,26820570.951,42518469.5846,0.0,1279809.62274
238210,2450592.96962,5531432.82359,60005825.9321,12983869.9785,13093648.8534,1929660.27907,26820570.951,42518469.5846,0.0,1279809.62274
23822,2963662.33944,6689523.45233,72568969.4968,15702243.0703,15835005.8429,2333664.36935,32435870.4343,51420365.8463,0.0,1547757.47241
238220,2963662.33944,6689523.45233,72568969.4968,15702243.0703,15835005.8429,2333664.36935,32435870.4343,51420365.8463,0.0,1547757.47241
31.32.33,17951333.673,13520735.6921,579103294.673,177527392.878,50718820.8974,25345008.8974,342493329.0,399541106.346,0.0,9828294.32698
311,1165925.65345,878161.6388,37612324.4967,11530270.9714,3294149.36373,1646139.31191,22244684.7511,25949895.0876,0.0,638340.342519
3116,1165925.65345,878161.6388,37612324.4967,11530270.9714,3294149.36373,1646139.31191,22244684.7511,25949895.0876,0.0,638340.342519
31161,1165925.65345,878161.6388,37612324.4967,11530270.9714,3294149.36373,1646139.31191,22244684.7511,25949895.0876,0.0,638340.342519
311615,1165925.65345,878161.6388,37612324.4967,11530270.9714,3294149.36373,1646139.31191,22244684.7511,25949895.0876,0.0,638340.342519
312,490595.890961,369511.1179,15826439.5272,4851684.6194,1386105.65543,692659.244595,9360074.46297,10919145.5417,0.0,268599.587073
3121,490595.890961,369511.1179,15826439.5272,4851684.6194,1386105.65543,692659.244595,9360074.46297,10919145.5417,0.0,268599.587073
31212,490595.890961,369511.1179,15826439.5272,4851684.6194,1386105.65543,692659.244595,9360074.46297,10919145.5417,0.0,268599.587073
312120,490595.890961,369511.1179,15826439.5272,4851684.6194,1386105.65543,692659.244595,9360074.46297,10919145.5417,0.0,268599.587073
313,77620.4041738,58462.7854544,2504005.14021,767616.949143,219304.896727,109590.176988,1480918.97282,1727589.86733,0.0,42496.9081348
3131,25873.4680579,19487.5951515,834668.380071,255872.316381,73101.6322423,36530.0589961,493639.657607,575863.289111,0.0,14165.6360449
31311,25873.4680579,19487.5951515,834668.380071,255872.316381,73101.6322423,36530.0589961,493639.657607,575863.289111,0.0,14165.6360449
313110,25873.4680579,19487.5951515,834668.380071,255872.316381,73101.6322423,36530.0589961,493639.657607,575863.289111,0.0,14165.6360449
3132,25873.4680579,19487.5951515,834668.380071,255872.316381,73101.6322423,36530.0589961,493639.657607,575863.289111,0.0,14165.6360449
31321,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
313210,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
31322,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
313220,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
31323,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
313230,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
31324,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
313240,6468.36701448,4871.89878787,208667.095018,63968.0790953,18275.4080606,9132.51474902,123409.914402,143965.822278,0.0,3541.40901123
3133,25873.4680579,19487.5951515,834668.380071,255872.316381,73101.6322423,36530.0589961,493639.657607,575863.289111,0.0,14165.6360449
31331,12936.734029,9743.79757574,417334.190035,127936.158191,36550.8161212,18265.029498,246819.828803,287931.644556,0.0,7082.81802247
313310,12936.734029,9743.79757574,417334.190035,127936.158191,36550.8161212,18265.029498,246819.828803,287931.644556,0.0,7082.81802247
31332,12936.734029,9743.79757574,417334.190035,127936.158191,36550.8161212,18265.029498,246819.828803,287931.644556,0.0,7082.81802247
313320,12936.734029,9743.79757574,417334.190035,127936.158191,36550.8161212,18265.029498,246819.828803,287931.644556,0.0,7082.81802247
315,60916.5518207,45881.6381804,1965145.12526,602426.361453,172110.648588,86006.4536717,1162226.32838,1355813.8327,0.0,33351.6056013
3151,2.43983373473,1.83765438606,78.7081216345,24.1284201984,6.89338700206,3.44473613166,46.5495652432,54.3031446817,0.0,1.33580069819
31511,1.21991686737,0.918827193032,39.3540608173,12.0642100992,3.44669350103,1.72236806583,23.2747826216,27.1515723408,0.0,0.667900349095
315110,1.21991686737,0.918827193032,39.3540608173,12.0642100992,3.44669350103,1.72236806583,23.2747826216,27.1515723408,0.0,0.667900349095
31519,1.21991686737,0.918827193032,39.3540608173,12.0642100992,3.44669350103,1.72236806583,23.2747826216,27.1515723408,0.0,0.667900349095
315190,1.21991686737,0.918827193032,39.3540608173,12.0642100992,3.44669350103,1.72236806583,23.2747826216,27.1515723408,0.0,0.667900349095
3152,2.43983373473,1.83765438606,78.7081216345,24.1284201984,6.89338700206,3.44473613166,46.5495652432,54.3031446817,0.0,1.33580069819
31521,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
315210,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
31522,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
315220,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
31524,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
315240,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
31528,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
315280,0.609958433683,0.459413596516,19.6770304086,6.03210504959,1.72334675051,0.861184032914,11.6373913108,13.5757861704,0.0,0.333950174547
3159,60911.6721533,45877.9628716,1964987.70902,602378.104613,172096.861814,85999.5641994,1162133.22925,1355705.22641,0.0,33348.9339999
31599,60911.6721533,45877.9628716,1964987.70902,602378.104613,172096.861814,85999.5641994,1162133.22925,1355705.22641,0.0,33348.9339999
315990,60911.6721533,45877.9628716,1964987.70902,602378.104613,172096.861814,85999.5641994,1162133.22925,1355705.22641,0.0,33348.9339999
316,13812.154084,10403.1537773,445574.912831,136593.511615,39024.1851637,19501.011709,263521.959931,307415.78449,0.0,7562.10753472
3161,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
31611,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
316110,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
3162,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
31621,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
316210,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
3169,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
31699,4604.05136133,3467.71792576,148524.970944,45531.1705382,13008.0617212,6500.33723634,87840.6533102,102471.928163,0.0,2520.70251157
316992,2302.02568066,1733.85896288,74262.4854719,22765.5852691,6504.03086062,3250.16861817,43920.3266551,51235.9640817,0.0,1260.35125579
316998,2302.02568066,1733.85896288,74262.4854719,22765.5852691,6504.03086062,3250.16861817,43920.3266551,51235.9640817,0.0,1260.35125579
