NAICS,Mainframes,PCs,DASDs,Printers,Terminals,Tape drives,Storage devices,System integrators,Communications,Nonelectro medical instruments,Electro medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metals,Steam engines,Internal combustion engines,Metalworking machinery,Special industrial machinery,General industrial equipment,Electric transmission and distribution,Light trucks (including utility vehicles),"Other trucks, buses and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,Other electrical,Other,Office,Hospitals,Special care,Medical buildings,Multimerchandise shopping,Food and beverage establishments,Warehouses,Mobile structures,Other commercial,Manufacturing,Electric,Wind and solar,Gas,Petroleum pipelines,Communication,Petroleum and natural gas,Mining,Religious,Educational and vocational,Lodging,Amusement and recreation,Air transportation,Other transportation,Other railroad,Track replacement,Local transit structures,Other land transportation,Farm,Water supply,Sewage and waste disposal,Public safety,Highway and conservation and development,Prepackaged software,Custom software,Own account software,Pharmaceutical and medicine manufacturing,"Chemical manufacturing, ex. pharma and med",Semiconductor and other component manufacturing,Computers and peripheral equipment manufacturing,Communications equipment manufacturing,Navigational and other instruments manufacturing,"Other computer and electronic manufacturing, n.e.c.",Motor vehicles and parts manufacturing,Aerospace products and parts manufacturing,Other manufacturing,Scientific research and development services,Software publishers,Financial and real estate services,Computer systems design and related services,"All other nonmanufacturing, n.e.c.",Private universities and colleges,Other nonprofit institutions,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals
[[1]],23448000000.0,70681000000.0,0.0,12046000000.0,16137000000.0,0.0,10694500000.0,37468500000.0,592202000000.0,244596000000.0,140445000000.0,165783000000.0,34492000000.0,9257000000.0,6813000000.0,150142500000.0,98586000000.0,13810000000.0,254009500000.0,329438000000.0,565028500000.0,462398500000.0,240430500000.0,169999500000.0,181939500000.0,344183000000.0,79145500000.0,139096000000.0,17254500000.0,253387500000.0,127300000000.00002,54455000000.0,220859500000.0,13595500000.0,102516000000.0,156708500000.0,4750500000.0,19914000000.0,307357500000.0,1712259500000.0,656843000000.0,145767500000.0,208689000000.0,462172000000.0,275469500000.0,358486500000.0,8612000000.0,384938500000.0,1381809500000.0,1122612000000.0,133127000000.0,396860000000.0,133354000000.0,633650000000.0,1245947000000.0,100010000000.0,298707000000.0,495494500000.0,504907000000.0,319510000000.0,32695000000.0,4666000000.0,171166000000.0,208047000000.0,11967000000.0,11803500000.0,319918500000.0,58531500000.0,56313000000.0,25633000000.0,36961000000.0,89476500000.0,252789000000.0,258236500000.0,0.0,63831000000.0,0.0,10817000000.0,43410000000.0,34840000000.0,1850000000.0,45149000000.0,0.0,0.0,0.0,21607000000.0,7717000000.0,11434000000.0,0.0,0.0,0.0,176243000000.0,0.0,81862000000.0,0.0,0.0
[[11]],7000000.0000000019,180000000.0,0.0,49000000.000000007,39000000.000000007,0.0,18000000.000000004,134000000.0,713000000.00000024,69000000.0,41000000.000000007,36711000000.0,11000000.0,6000000.0000000009,0.0,3366000000.0,0.0,292000000.0,278000000.0,375000000.00000006,5703000000.0000019,673000000.0,10540000000.0,4388000000.0,3816000000.0,334000000.00000006,1778000000.0000005,0.0,0.0,928000000.00000012,123721000000.00002,38685000000.0,6156000000.0000019,191000000.00000003,5000000.0000000009,295000000.0,0.0,42000000.000000015,23965000000.0,3817000000.000001,0.0,4000000.0000000005,0.0,0.0,0.0,3312000000.000001,403000000.0,663000000.0,2280000000.0000005,13000000.0,5060000000.0,1000000.0000000001,2000000.0000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166000000.00000003,0.0,0.0,0.0,588000000.00000012,260990000000.0,1513000000.0000002,672000000.00000012,2145000000.0000005,3345000000.0000005,233000000.00000003,119000000.00000003,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[111]],674700.77651208593,20915724.071874648,0.0,1349401.5530241709,2024102.3295362564,0.0,2024102.3295362564,7421708.5416329326,136289556.85544139,15518117.859777967,0.0,24364794441.404434,6072306.9886087682,674700.77651208499,0.0,2086174800.9753683,0.0,161253485.58638844,145060666.95009837,-3.0985806772172733e-08,972918519.73042774,344097396.02116352,6591826586.5230751,2393163654.2883673,2432971000.1025801,0.0,0.0,0.0,0.0,116048533.56007877,71790861423.991959,25275640489.695747,271229712.15785885,14168716.306753796,4.8415323081519895e-10,153831777.04475546,0.0,8096409.3181450292,14839368878.606808,0.0,0.0,-2.4207661540759947e-10,0.0,0.0,0.0,2.4788645417738186e-07,-3.0985806772172733e-08,-6.1971613544345465e-08,0.0,0.0,3305359104.1327066,-6.0519153851899868e-11,-1.2103830770379974e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176046300111.41586,0.0,0.0,0.0,0.0,39807345.814213045,11469913.200705461,2024102.3295362564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[1111]],134940.1553024172,4183144.8143749298,0.0,269880.31060483417,404820.46590725129,0.0,404820.46590725129,1484341.7083265865,27257911.371088281,3103623.5719555933,0.0,4872958888.2808867,1214461.3977217537,134940.155302417,0.0,417234960.19507366,0.0,32250697.117277689,29012133.390019674,-6.1971613544345468e-09,194583703.94608557,68819479.204232708,1318365317.304615,478632730.85767347,486594200.02051604,0.0,0.0,0.0,0.0,23209706.712015755,14358172284.798393,5055128097.9391499,54245942.431571774,2833743.2613507593,9.6830646163039795e-11,30766355.408951093,0.0,1619281.8636290058,2967873775.7213616,0.0,0.0,-4.8415323081519897e-11,0.0,0.0,0.0,4.9577290835476375e-08,-6.1971613544345468e-09,-1.2394322708869094e-08,0.0,0.0,661071820.82654142,-1.2103830770379974e-11,-2.4207661540759949e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35209260022.283173,0.0,0.0,0.0,0.0,7961469.162842609,2293982.6401410922,404820.46590725129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[11111]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[111110]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[11112]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[111120]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[11113]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[111130]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[11114]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[111140]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[11115]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[111150]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[11116]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[[111160]],19277.165043202458,597592.11633927561,0.0,38554.33008640488,57831.495129607327,0.0,57831.495129607327,212048.81547522664,3893987.3387268973,443374.79599365615,0.0,696136984.04012668,173494.48538882195,19277.165043202429,0.0,59604994.313581951,0.0,4607242.4453253839,4144590.4842885248,-8.8530876491922095e-10,27797671.992297936,9831354.1720332429,188337902.47208786,68376104.408239067,69513457.145787999,0.0,0.0,0.0,0.0,3315672.387430822,2051167469.2569132,722161156.84844995,7749420.3473673956,404820.46590725129,1.3832949451862827e-11,4395193.6298501557,0.0,231325.98051842939,423981967.96019447,0.0,0.0,-6.9164747259314137e-12,0.0,0.0,0.0,7.0824701193537676e-09,-8.8530876491922095e-10,-1.7706175298384419e-09,0.0,0.0,94438831.546648771,-1.7291186814828534e-12,-3.4582373629657068e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029894288.8975954,0.0,0.0,0.0,0.0,1137352.7375489441,327711.80573444173,57831.495129607327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
