"Page: 134  March 12, 2015"
""
"B.103 Balance Sheet of Nonfinancial Corporate Business"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Nonfinancial corporate business; total assets","   28957.8","   30545.3","   31979.3","   34725.1","   36799.3","   34071.5","   34725.1","   34906.4","   35662.6","   36133.0","   36799.3","    1",
"Nonfinancial corporate business; nonfinancial assets","   14941.1","   16039.7","   16894.4","   18559.3","   19866.8","   18223.8","   18559.3","   18671.3","   19116.3","   19453.6","   19866.8","    2",
"Nonfinancial corporate business; real estate at market value","    7545.7","    8275.2","    8823.5","   10234.2","   11230.9","    9974.8","   10234.2","   10244.9","   10595.7","   10861.0","   11230.9","    3",
"Nonfinancial corporate business; equipment, current cost basis","    3853.6","    4008.0","    4138.0","    4261.7","    4444.9","    4229.8","    4261.7","    4300.2","    4346.0","    4395.4","    4444.9","    4",
"Nonfinancial corporate business; nonresidential intellectual property products, current cost basis","    1669.1","    1746.9","    1839.4","    1916.9","    1996.7","    1893.8","    1916.9","    1942.5","    1964.5","    1982.3","    1996.7","    5",
"Nonfinancial corporate business; inventories excluding IVA, current cost basis","    1872.7","    2009.6","    2093.6","    2146.6","    2194.3","    2125.3","    2146.6","    2183.6","    2210.0","    2214.8","    2194.3","    6",
"Nonfinancial corporate business; total financial assets","   14016.8","   14505.6","   15084.9","   16165.8","   16932.5","   15847.7","   16165.8","   16235.1","   16546.4","   16679.5","   16932.5","    7",
"Nonfinancial corporate business; private foreign deposits; asset","      40.6","      34.8","      35.4","      86.6","      88.2","      69.2","      86.6","      74.8","      86.4","      88.7","      88.2","    8",
"Nonfinancial corporate business; checkable deposits and currency; asset","     234.5","     264.2","     257.3","     323.9","     368.5","     284.4","     323.9","     286.1","     332.2","     346.1","     368.5","    9",
"Nonfinancial corporate business; total time and savings deposits; asset","     548.7","     561.9","     595.2","     644.9","     657.5","     649.9","     644.9","     661.7","     660.7","     630.1","     657.5","   10",
"Nonfinancial corporate business; money market mutual fund shares; asset","     497.8","     462.4","     480.6","     521.1","     555.5","     500.0","     521.1","     497.1","     493.4","     512.9","     555.5","   11",
