YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,COMP_DIV_FRN_CORP_IND,COMP_DIV_FRN_CORP,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,(cash_dist + prpty_dist)_IND,(cash_dist + prpty_dist),STCK_DIST_IND,STCK_DIST
2011,2,1,13,0,2228,0,49432671170,0,2596881692,0,8826375184,0,187502913,0,531000295,0,2271291990,0,913861162,0,3114008058,0,126961563,0,2096305742,0,20934178469,0,3872328519,0,1769383134,0,276706760,0,131225817,0,221139246,0,2827902980,0,434683671,0,3346525044,0,49432671170,0,2945645989,0,2168602059,0,13458584537,0,229805406,0,5630374385,0,5380448802,0,19619209991,0,1327367967,0,15910788383,0,142726927,0,3882801581,0,1644474868,0,11596153331,0,9678240941,0,830991031,0,21914745,0,73213359,0,131940685,0,17183429,0,64140990,0,29672134,0,12036946,0,79440188,0,657378883,0,10622341731,0,6590933287,0,30891811,0,887461657,0,59787609,0,124436256,0,103506172,0,178388514,0,403098353,0,11446177,0,99260007,0,323073410,0,15041676,0,119054676,0,77052367,0,132429942,0,20541617,0,9578178,0,1436360022,0,973811600,0,114936343,0,1066833197,0,9462356,0,324696475,0,96844950,0,8523515,0,751662207,0,264830028,0,263051165,0,1661306,0,99008959,0,16434685,0,879045,0,148118455,0,450587272,0,3958487
2011,2,1,12,0,5057,0,6170003587,0,239022137,0,791104868,0,17354687,0,187146104,0,215673626,0,274438881,0,224395088,0,6166446,0,167659890,0,2921224551,0,820687609,0,414224907,0,27736500,0,11876446,0,49426411,0,554936915,0,97981758,0,231822360,0,6170003587,0,398808723,0,164469644,0,919136455,0,39979546,0,587730520,0,360997400,0,3698881299,0,374142362,0,3175525350,0,18055382,0,310837983,0,179679778,0,2640969451,0,2397772849,0,74677339,0,10418228,0,12428362,0,14140321,0,5975444,0,9959057,0,7414896,0,1329053,0,8189174,0,98664729,0,2429708219,0,1575347893,0,15363504,0,248840680,0,14791817,0,10876423,0,40562656,0,45964452,0,49677450,0,1534534,0,19788456,0,67085149,0,1672472,0,24841912,0,14887125,0,36204476,0,3643156,0,2747732,0,255878331,0,211261232,0,7786774,0,208629778,0,15564682,0,79503509,0,17307303,0,1104751,0,114290050,0,40382621,0,39938864,0,405817,0,5776673,0,1675461,0,317748,0,32591192,0,91753407,0,407220
2011,2,1,11,0,3710,0,1477079562,0,85634780,0,260363242,0,5401096,0,53450428,0,52782812,0,60395265,0,73233120,0,2270401,0,51509752,0,559862528,0,180550442,0,95493846,0,5318250,0,2878557,0,12133517,0,144583428,0,18756789,0,57521882,0,1477079562,0,107062846,0,37745660,0,321178517,0,6457086,0,150936557,0,94197308,0,759501587,0,85919577,0,630658798,0,2811852,0,68711358,0,28599998,0,676822717,0,615809458,0,17903684,0,2764244,0,2667317,0,3331719,0,1333537,0,4513988,0,1859012,0,339781,0,989996,0,25309982,0,621511436,0,403466059,0,5588068,0,61723611,0,3420272,0,2819625,0,9270309,0,13713673,0,13303731,0,281815,0,4336052,0,15430913,0,571454,0,6660572,0,3229093,0,8997421,0,997295,0,756190,0,66945283,0,55311281,0,1355328,0,53902364,0,9077013,0,17236505,0,5070226,0,226206,0,28175467,0,9901116,0,9809202,0,82935,0,1011932,0,264314,0,68443,0,8552532,0,19193098,0,23437
2011,2,1,10,0,6912,0,1156683978,0,83493828,0,256039184,0,6318014,0,73914008,0,41975702,0,46440040,0,50205898,0,2352163,0,36636549,0,352370869,0,223074075,0,122283059,0,5120738,0,2632271,0,13998928,0,82836496,0,16778039,0,36236884,0,1156683978,0,107422244,0,40969699,0,278624509,0,10981353,0,107720297,0,61977234,0,548988642,0,59128931,0,410877988,0,1771333,0,91298275,0,14087885,0,856738094,0,804174883,0,11808949,0,2107640,0,2353362,0,3119340,0,842707,0,2940491,0,1662913,0,415159,0,655996,0,26656655,0,799104730,0,541769826,0,8650233,0,79080279,0,3942495,0,2863766,0,12980216,0,13623948,0,10645337,0,270997,0,3488700,0,18563928,0,377415,0,7743247,0,3828160,0,10544622,0,722331,0,1020136,0,78989093,0,57633364,0,746779,0,56272502,0,19476103,0,12438032,0,5849817,0,318917,0,24544967,0,8605262,0,8492811,0,97128,0,559006,0,313633,0,56692,0,7675243,0,15551112,0,235586
2011,2,1,9,0,7027,0,500299434,0,47839646,0,113751567,0,2709388,0,51635272,0,13396319,0,12166455,0,29926009,0,2714180,0,10286786,0,118697817,0,133994696,0,77647909,0,2140360,0,947527,0,8282797,0,31953602,0,7269306,0,12088059,0,500299434,0,54632230,0,29606930,0,95604421,0,7230800,0,51207182,0,22178506,0,239839364,0,31907354,0,145324108,0,1347964,0,70509174,0,9249235,0,596972798,0,569823951,0,3557979,0,583307,0,1145526,0,849907,0,239340,0,1647846,0,1026392,0,188036,0,266893,0,17643622,0,559798443,0,404933744,0,7258785,0,49401505,0,2324338,0,1318990,0,7771738,0,9421614,0,4824973,0,127831,0,1613187,0,11259988,0,237272,0,4467113,0,2001883,0,6802301,0,336124,0,327757,0,45369298,0,37174355,0,355964,0,36947013,0,19001296,0,5636224,0,3377877,0,151085,0,12413924,0,4327846,0,4264614,0,58338,0,212915,0,107409,0,19351,0,3988038,0,5858933,0,18675
2011,2,1,8,0,11029,0,387071618,0,44871187,0,83831352,0,2018053,0,59402189,0,4358255,0,3920874,0,27736043,0,2208536,0,4182205,0,71196514,0,132632441,0,78811195,0,1806369,0,874035,0,8231603,0,19904955,0,5743248,0,10235624,0,387071618,0,47957283,0,33055238,0,52096883,0,8424766,0,45480875,0,31029354,0,169027218,0,22429773,0,90407097,0,1021604,0,61324783,0,6156039,0,646352204,0,628023848,0,1500939,0,209393,0,659934,0,466655,0,191111,0,1687150,0,1113198,0,147449,0,190788,0,12161738,0,610297817,0,452967994,0,8958333,0,53445813,0,2470712,0,1124449,0,9503069,0,9548646,0,3962555,0,108263,0,1190991,0,10656208,0,133261,0,4383567,0,2057150,0,6891818,0,271581,0,183526,0,42439880,0,36054387,0,126128,0,35971122,0,21657131,0,3952547,0,2842377,0,109055,0,10430926,0,3635387,0,3561816,0,36953,0,129710,0,87574,0,19184,0,3398723,0,3712696,0,111943
2011,2,1,7,0,28735,0,444776319,0,60648063,0,106401226,0,2158086,0,86384742,0,1869237,0,1776985,0,30296857,0,4674759,0,3267999,0,54512614,0,177594322,0,114104466,0,1824430,0,894786,0,9694052,0,18035890,0,5955998,0,10908480,0,444776319,0,61792052,0,53043518,0,46077510,0,13473455,0,52917064,0,15145709,0,202327011,0,20960368,0,66344199,0,767048,0,124010123,0,9754726,0,987414129,0,965474990,0,1152580,0,130250,0,987612,0,497210,0,129542,0,1675626,0,1369941,0,160384,0,127638,0,15708355,0,938669842,0,703414517,0,16890409,0,80338487,0,4042798,0,1552498,0,15754458,0,16114581,0,4667498,0,140278,0,1233488,0,14070075,0,176267,0,6441342,0,2949855,0,9589832,0,281123,0,157551,0,60854786,0,48744287,0,153726,0,48767763,0,34594824,0,3734070,0,3045244,0,120701,0,10489254,0,3590213,0,3547942,0,35191,0,61490,0,95743,0,20189,0,3412709,0,3695315,0,30547
2011,2,1,6,0,44876,0,314503406,0,47843743,0,72126069,0,1093918,0,63443329,0,419078,0,572843,0,22432805,0,5084188,0,1266837,0,31467991,0,141452865,0,94861274,0,828966,0,389777,0,9454291,0,12194069,0,4855188,0,7116489,0,314503406,0,47457397,0,34695078,0,30361776,0,15206437,0,42859348,0,9864428,0,134058942,0,13838583,0,39212823,0,632929,0,88983097,0,8608491,0,754660132,0,736653461,0,555420,0,82227,0,468192,0,212062,0,42837,0,1158036,0,1108747,0,156680,0,55994,0,14166477,0,716177909,0,510441005,0,18238840,0,69419355,0,3528698,0,1024165,0,13991372,0,12875867,0,3706057,0,94007,0,705541,0,10198472,0,80270,0,6002908,0,2162398,0,7637250,0,167790,0,101071,0,55802844,0,38482223,0,8952,0,38408949,0,29381643,0,2267064,0,1931746,0,129591,0,6829592,0,2299133,0,2280632,0,19613,0,20330,0,54622,0,11221,0,2212980,0,2039055,1,13863
2011,2,1,5,0,246558,0,520056045,0,96111194,0,112781045,0,1566659,0,86320761,0,453641,0,411441,0,36365966,0,14486573,0,3188855,0,38663171,0,295764387,0,206958759,0,1012884,0,570253,0,22604448,0,23128532,0,11346877,0,9205695,0,520056045,0,74045027,0,41472204,0,48609370,0,31527965,0,90881553,0,15312132,0,218207793,0,24045320,0,55506574,0,2682855,0,151769660,0,15796615,0,1372031962,0,1341316197,0,953258,0,74007,0,799879,0,267960,0,64293,0,1962929,0,2643262,0,230963,0,60220,0,23658994,0,1290945711,0,830017467,0,51984019,0,144048056,0,9356362,0,2153543,0,33395091,0,28426623,0,7568699,0,179684,0,1369457,0,19593348,0,151991,0,8757192,0,5313822,0,13724493,0,226850,0,152773,0,134526239,0,81086252,0,37157,0,81049401,0,65521414,0,4896969,0,4589655,0,186658,0,10714015,0,3207340,0,3182003,0,28121,0,34635,0,104818,0,13466,0,3054412,0,2819402,1,2325
2011,2,1,4,0,216495,0,153311895,0,35127170,0,23071083,0,113974,0,19130023,0,56434,0,98217,0,8835103,0,7817811,0,623372,0,10194486,0,115266894,0,85294810,0,148841,0,60053,0,7659948,0,11545984,0,4791096,0,3996461,0,153311895,0,16209656,0,9926855,0,13169247,0,13927026,0,31175108,0,3408519,0,65495484,0,8736715,0,18317733,0,1229578,0,43331023,0,6119564,0,476632197,0,465201132,0,242177,0,8586,0,364707,0,35698,0,12271,0,535062,0,1161031,0,57172,0,13235,0,9001124,0,442955024,0,244720066,0,29647657,0,57725602,0,3885024,0,555092,0,15320969,0,11586270,0,2799548,0,71412,0,788192,0,7137619,0,27426,0,3497818,0,2557409,0,4359393,0,37618,0,99871,0,58138038,0,33677173,1,9750,0,33678336,0,28699044,0,1762961,0,1717064,0,41287,0,3241744,0,793406,0,789156,0,3852,0,13387,0,27103,1,1714,0,751201,0,841282,1,6146
2011,2,1,3,0,2336973,0,232718552,0,72820642,0,22267714,0,182134,0,24621101,0,53524,0,75067,0,10459220,0,18206605,0,875126,0,9477657,0,267219100,0,214769891,0,300765,0,177274,0,5315848,0,24386872,0,13414061,0,5182671,0,232718552,0,21552154,0,16689348,0,28626211,0,43474888,0,48807379,0,5183758,0,68384813,0,21645185,0,31458689,0,872568,0,24669610,0,10261239,0,1352085278,0,1325806820,0,937255,0,25970,0,340049,0,200498,0,12583,0,1097124,0,1739126,0,73679,1,791,0,21851382,0,1226451770,0,484882785,0,135511285,0,192907974,0,12032033,0,1176086,0,58987761,0,39242949,0,5909313,0,150690,0,1472702,0,15975247,0,58202,0,12551390,0,9936252,0,12975710,0,41179,0,135642,0,242504571,0,125633508,0,0,0,125607538,0,113718970,0,5669717,0,5579391,0,46665,0,6272032,0,1237982,0,1263241,0,5261,0,6725,0,47760,1,548,0,1182949,0,1864361,1,35059
2011,2,1,2,0,475111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255136020,0,199289924,0,20502387,0,395955,0,1158959,0,613031,0,183291,0,8089306,0,8774085,0,42869,0,302126,0,15784086,0,212037562,0,101285922,0,6384543,0,22420228,0,1523172,0,1434910,0,5210537,0,5457008,0,12102737,0,149785,0,885902,0,3759144,0,520662,0,1542069,0,914510,0,1885496,0,121149,0,1564542,0,44875245,0,43098458,0,327759,0,43030262,0,12617289,0,16405628,0,12267845,0,30645,0,14100590,0,5056330,0,4765627,0,162012,0,174613,0,77732,0,34200,0,4766504,0,11031627,1,58817
2011,2,1,1,0,3384712,0,60789175564,0,3410294083,0,10668112532,0,226418922,0,1236448252,0,2602330620,0,1314157230,0,3627894168,0,192943226,0,2375803112,0,25101846667,0,6360565350,0,3273833250,0,322944863,0,152526794,0,367941089,0,3751409721,0,621576030,0,3730839648,0,60789175564,0,3882585601,0,2630276234,0,15292069436,0,420488728,0,6840090269,0,5999743152,0,25723922144,0,1990122136,0,20574421741,0,173920039,0,4918246668,0,1932788439,0,22211968312,0,19727588455,0,964783000,0,38714551,0,96587258,0,155675087,0,26210387,0,99407604,0,59544737,0,15178171,0,90293037,0,937986026,0,20470000193,0,12844180564,0,335367488,0,1946813247,0,121105331,0,151335802,0,326254349,0,384364145,0,522266253,0,14555473,0,136132675,0,516803501,0,19048370,0,205943805,0,126890025,0,252042753,0,27387814,0,16824970,0,2522683629,0,1741968119,0,125844660,0,1829098228,0,378771765,0,478199701,0,160423496,0,10989077,0,993164769,0,347866665,0,344947075,0,2596528,0,107010376,0,19290854,0,1441802,0,219704939,0,608947560,0,4902105
