Age,2010,2011,2012,2013
0,"3,951,196","3,962,091","3,941,616","3,941,783"
1,"3,957,772","3,965,687","3,976,214","3,955,942"
2,"4,090,760","3,970,771","3,978,498","3,989,135"
3,"4,111,845","4,101,830","3,981,693","3,989,538"
4,"4,077,502","4,121,819","4,111,675","3,991,690"
5,"4,064,628","4,087,540","4,131,791","4,121,797"
6,"4,072,982","4,074,930","4,097,799","4,142,191"
7,"4,042,983","4,083,002","4,084,995","4,108,053"
8,"4,025,558","4,052,872","4,093,004","4,095,205"
9,"4,125,384","4,035,461","4,062,932","4,103,335"
10,"4,187,038","4,135,175","4,045,479","4,073,258"
11,"4,115,443","4,196,868","4,145,265","4,055,918"
12,"4,113,204","4,125,463","4,207,149","4,155,875"
13,"4,119,467","4,123,518","4,135,987","4,217,964"
14,"4,145,308","4,130,538","4,134,705","4,147,439"
15,"4,230,585","4,157,762","4,142,975","4,147,445"
16,"4,312,623","4,245,621","4,172,554","4,158,116"
17,"4,375,278","4,331,274","4,263,848","4,191,188"
18,"4,490,120","4,397,164","4,352,653","4,285,609"
19,"4,570,441","4,515,507","4,421,656","4,376,606"
20,"4,567,664","4,595,769","4,542,548","4,445,721"
21,"4,387,249","4,592,140","4,626,290","4,568,663"
22,"4,286,562","4,412,177","4,623,188","4,655,731"
23,"4,216,723","4,312,571","4,443,361","4,652,806"
24,"4,243,330","4,242,699","4,343,710","4,472,517"
25,"4,289,304","4,268,522","4,273,646","4,372,201"
26,"4,160,530","4,312,090","4,297,300","4,300,520"
27,"4,236,767","4,181,508","4,337,931","4,322,247"
28,"4,247,171","4,256,050","4,204,965","4,360,245"
29,"4,209,966","4,263,928","4,277,121","4,224,985"
30,"4,303,980","4,224,531","4,282,114","4,294,831"
31,"4,042,155","4,316,668","4,240,574","4,297,330"
32,"3,967,191","4,052,752","4,330,923","4,254,331"
33,"3,933,170","3,976,822","4,064,979","4,342,738"
34,"3,821,879","3,941,371","3,987,742","4,075,159"
35,"3,947,955","3,828,986","3,950,737","3,996,723"
36,"3,829,880","3,953,541","3,836,764","3,957,642"
37,"3,896,373","3,834,159","3,959,886","3,842,679"
38,"4,079,767","3,899,294","3,839,142","3,964,301"
39,"4,324,037","4,081,874","3,902,730","3,842,425"
40,"4,387,086","4,324,252","4,084,121","3,904,767"
41,"4,163,077","4,385,353","4,324,708","4,084,927"
42,"4,082,438","4,160,513","4,383,990","4,323,573"
43,"4,093,482","4,079,134","4,158,329","4,380,926"
44,"4,178,128","4,089,206","4,075,784","4,154,727"
45,"4,438,174","4,171,717","4,083,792","4,070,408"
46,"4,529,333","4,429,745","4,164,419","4,076,903"
47,"4,535,152","4,519,258","4,420,484","4,156,273"
48,"4,534,383","4,522,988","4,508,027","4,409,800"
49,"4,598,833","4,520,377","4,509,243","4,494,922"
50,"4,645,935","4,582,763","4,504,988","4,494,482"
51,"4,498,791","4,628,758","4,566,011","4,489,236"
52,"4,480,434","4,479,877","4,609,720","4,547,907"
53,"4,439,246","4,459,913","4,459,493","4,589,261"
54,"4,288,253","4,417,276","4,437,914","4,438,340"
55,"4,258,793","4,265,090","4,393,712","4,415,162"
56,"4,092,993","4,234,466","4,240,749","4,369,543"
57,"3,946,407","4,067,799","4,208,604","4,215,577"
58,"3,802,354","3,919,888","4,040,906","4,181,408"
59,"3,694,181","3,774,946","3,891,835","4,012,740"
60,"3,616,653","3,665,532","3,746,038","3,862,796"
61,"3,520,058","3,586,896","3,635,651","3,715,993"
62,"3,494,984","3,487,798","3,554,229","3,603,520"
63,"3,652,141","3,460,406","3,452,640","3,519,231"
64,"2,706,004","3,616,755","3,426,414","3,420,461"
65,"2,678,485","2,674,963","3,579,451","3,391,067"
66,"2,621,311","2,644,095","2,641,363","3,534,440"
67,"2,693,683","2,584,729","2,606,850","2,604,610"
68,"2,359,797","2,654,661","2,546,704","2,569,911"
69,"2,167,815","2,322,034","2,614,073","2,508,689"
70,"2,062,492","2,129,160","2,281,868","2,569,502"
71,"1,953,510","2,022,202","2,088,118","2,238,499"
72,"1,883,726","1,911,725","1,979,577","2,044,846"
73,"1,750,221","1,839,526","1,867,432","1,934,570"
74,"1,685,890","1,705,033","1,792,678","1,820,632"
75,"1,631,754","1,638,121","1,657,349","1,743,415"
76,"1,481,577","1,580,924","1,587,795","1,607,329"
77,"1,449,048","1,430,570","1,527,275","1,534,778"
78,"1,402,054","1,394,357","1,377,032","1,471,162"
79,"1,354,769","1,343,609","1,337,088","1,321,197"
80,"1,319,594","1,292,394","1,282,492","1,277,377"
81,"1,212,472","1,252,587","1,227,499","1,219,160"
82,"1,158,233","1,144,202","1,183,022","1,160,321"
83,"1,081,339","1,085,805","1,073,424","1,111,120"
84,"986,942","1,005,999","1,011,038","1,000,660"
85,"914,920","910,082","928,644","934,503"
86,"821,479","835,692","832,007","850,340"
87,"721,134","742,382","756,204","753,974"
88,"636,603","644,184","664,051","677,766"
89,"546,156","561,087","568,886","587,609"
90,"448,274","474,861","488,313","496,558"
91,"344,411","383,619","407,324","419,645"
92,"288,819","290,118","323,374","344,621"
93,"219,042","238,873","240,643","268,598"
94,"170,799","177,394","194,107","196,402"
95,"131,086","135,689","140,971","155,062"
96,"97,166","101,805","105,712","110,012"
97,"68,927","73,738","77,427","80,822"
98,"47,054","51,060","54,757","57,740"
99,"32,193","33,924","36,951","39,790"
100,"54,437","58,309","62,246","67,347"
