ER30001,ER30002,ER33501,ER33502,ER33503,ER33504,ER33537O,ER33601,ER33602,ER33603,ER33604,ER33628O
5034,36,1251,51,30,19,0,4093,51,30,21,0
5034,38,3516,52,30,18,0,4265,52,30,20,0
5034,39,3516,3,30,16,0,4265,3,30,18,0
5034,40,3516,4,30,14,0,4265,4,30,17,0
5034,42,1251,2,30,14,0,4093,2,30,16,0
5034,43,1251,3,30,12,0,4093,3,30,14,0
5034,170,1251,1,10,49,999,4093,1,10,51,999
5034,174,3516,1,10,44,8.89,4265,1,10,47,12.02
5035,1,283,1,10,70,0,932,1,10,72,0
5035,2,4257,2,20,50,0,5721,2,20,52,12.02
5035,3,2525,1,10,49,9.62,4952,1,10,51,10.1
5035,30,2525,3,30,19,3.85,4952,3,30,21,999
5035,31,2525,4,30,10,0,4952,4,30,12,0
5035,32,2525,0,0,0,0,4952,5,30,1,0
5035,171,2525,2,20,40,15.02,4952,2,20,43,999
5035,179,4257,1,10,56,0,5721,1,10,58,0
5035,180,4257,3,60,13,0,5721,71,60,15,0
5036,2,1668,2,20,44,12.5,5492,1,10,46,10.3
5036,31,1668,3,30,4,0,5492,2,30,6,0
5036,173,1668,1,10,47,12.02,7001,1,10,50,12.98
5037,2,6661,2,50,42,0,5415,1,10,44,10.58
5037,5,6573,2,20,39,4.33,6372,2,20,41,9
5037,30,6661,1,10,25,5,5415,51,10,27,0
5037,31,6573,3,30,19,0,6372,3,30,21,10.12
5037,33,6573,4,30,17,0,6372,4,30,19,0
5037,34,6573,5,30,13,0,6372,5,30,15,0
5037,172,6573,1,10,39,7.69,6372,1,10,41,9.62
5037,185,6573,6,30,12,0,6372,6,30,14,0
5037,187,6797,3,30,6,0,5416,3,35,8,0
5037,188,6797,1,10,26,4.84,5416,2,22,27,7.6
5037,189,6797,2,88,23,0,5416,1,10,24,7.5
5040,2,3124,1,10,44,999,4526,1,10,46,999
5040,3,6019,1,10,43,0,0,0,0,0,0
5040,5,1583,2,20,39,11.26,1532,2,20,41,0
5040,6,3250,1,10,33,0,1531,1,10,35,7.21
5040,30,3251,1,10,30,0,7222,2,20,33,7
5040,32,6019,2,30,11,0,0,0,0,0,0
5040,33,3251,3,30,4,0,7222,3,30,7,0
5040,34,3251,5,30,2,0,7222,5,30,4,0
5040,35,1583,3,30,1,0,1532,3,30,3,0
5040,174,3250,4,70,14,0,1531,4,70,16,0
5040,175,1583,1,10,52,999,1532,1,10,54,999
5040,177,3250,71,10,32,0,0,0,0,0,0
5040,178,3250,2,30,10,0,1531,2,30,12,0
5040,179,3250,3,30,8,0,1531,3,30,10,0
5040,180,3124,2,20,48,999,4526,2,20,50,999
5040,181,3251,4,30,6,0,7222,4,35,9,0
5040,182,3124,71,71,15,0,0,0,0,0,0
5040,183,3251,2,88,38,0,7222,1,10,40,3.92
5044,2,1826,1,10,51,8.65,146,1,10,53,9.47
5045,3,2734,1,10,39,6,5491,2,20,41,7.21
5045,30,2734,2,30,18,0,5491,71,30,21,0
5045,32,2734,3,30,15,0,5491,3,33,17,0
5045,33,2734,4,30,13,0,5491,4,33,15,0
5045,176,2734,0,0,0,0,5491,1,10,44,0
5046,2,762,2,20,46,11.15,4837,2,20,48,11.13
5046,173,762,1,10,51,13.94,4837,1,10,53,12.5
5046,174,762,3,30,20,0,4837,3,30,22,0
5046,175,762,4,30,15,0,4837,4,30,17,0
5046,176,762,5,30,14,0,4837,5,30,16,0
5046,177,762,6,30,13,0,4837,6,30,15,0
5047,3,330,2,20,39,16.35,6532,2,20,41,15.31
5047,30,330,3,33,12,0,6532,3,33,14,0
5047,31,330,4,33,8,0,6532,4,33,11,0
5047,32,330,5,33,7,0,6532,5,33,10,0
5047,175,330,1,10,46,14.42,6532,1,10,48,19.02
5048,3,4849,2,20,48,999,3152,2,20,50,6.73
5048,4,5673,1,10,43,9.62,3236,1,10,45,10.58
5048,30,5593,1,10,27,8.65,7018,1,10,29,11.13
5048,33,5970,3,40,23,0,4605,71,40,25,0
5048,34,6322,2,22,21,2.5,4059,1,10,23,0
5048,35,5970,1,10,19,0,4605,1,10,21,3.85
5048,36,5673,2,30,19,0,3236,2,30,21,999
5048,37,5673,3,30,17,0,3236,3,30,19,999
5048,38,5673,4,30,16,0,3236,4,30,18,0
5048,39,5673,5,30,13,0,3236,5,30,15,0
5048,41,5593,2,30,8,0,7018,2,30,11,0
5048,43,5593,3,30,6,0,7018,3,30,9,0
5048,45,5593,4,30,6,0,7018,4,30,8,0
5048,46,5970,2,30,3,0,4605,2,30,5,0
5048,47,5970,4,70,3,0,4605,72,70,5,0
5048,48,5593,5,30,3,0,7018,5,30,5,0
5048,49,6322,3,30,1,0,4059,3,30,3,0
5048,50,5593,0,0,0,0,7018,6,30,1,0
5048,170,5970,5,50,59,0,6642,1,10,61,5.35
5048,174,4849,1,10,66,0,3152,1,10,68,0
5048,175,6322,1,10,34,1.63,7421,1,10,36,5.56
5048,176,6322,0,0,0,0,4059,2,88,28,0
5048,177,5970,0,0,0,0,6642,2,20,40,999
5051,1,2443,1,10,72,0,463,1,10,74,0
5052,4,182,1,10,46,4.62,4518,1,10,48,4.62
5052,8,5510,2,20,42,12.98,5078,2,20,44,15
5052,9,635,2,20,41,0,5557,2,20,43,0
5052,33,1210,2,22,24,999,5885,2,22,26,5
5052,36,5510,4,30,23,3.85,5078,4,30,25,0
5052,39,5510,3,30,21,0,5078,3,30,23,0
5052,43,6156,1,10,19,2.5,5079,2,22,21,4.46
5052,45,5510,5,30,18,0,5078,10,30,20,0
5052,48,182,2,30,14,0,4518,2,30,17,0
5052,49,5510,8,30,15,0,5078,7,30,17,0
5052,50,53,3,33,13,0,4941,3,33,15,0
5052,51,1210,3,30,4,0,5885,3,30,7,0
5052,52,1210,4,30,3,0,5885,4,30,6,0
5052,53,6156,3,30,1,0,5079,3,30,2,0
5052,54,5510,0,0,0,0,5078,9,60,1,0
5052,55,635,0,0,0,0,5557,6,30,2,0
5052,170,5510,1,10,41,3.37,5078,1,10,43,0
5052,174,53,2,20,39,0,4941,2,20,42,14.89
5052,175,53,4,33,17,0,4941,71,33,19,0
5052,176,53,6,33,21,0,4941,72,33,23,0
5052,177,5510,6,30,17,0,5078,5,30,19,0
5052,178,5510,7,30,16,0,5078,6,30,18,0
5052,180,635,1,10,42,0,5557,1,10,44,999
5052,181,635,3,30,20,0,6890,1,10,23,8.17
5052,182,635,4,30,15,0,5557,3,30,17,0
5052,183,635,5,30,12,0,5557,4,30,14,0
5052,184,635,6,30,7,0,5557,5,30,9,0
5052,185,53,1,10,32,0,4941,1,10,35,5.77
5052,186,53,5,60,5,0,4941,4,60,8,0
5052,191,1210,1,10,25,999,5885,1,10,25,0
5052,192,5510,9,60,3,0,5078,8,60,5,0
5052,193,6156,2,88,18,0,5079,1,10,20,0
5054,8,6876,1,10,41,28.13,2447,1,10,43,25.53
5054,30,6876,3,30,16,0,2447,3,30,18,0
5054,32,6876,4,30,14,0,2447,4,30,16,0
5054,170,6876,2,20,40,25,2447,2,20,42,31.91
5055,1,2114,7,58,59,0,3743,7,50,61,0
5055,2,2356,1,10,41,0,6420,1,10,44,5.61
5055,5,6793,51,88,34,0,4939,51,88,36,0
5055,8,6652,71,10,55,0,4574,1,10,57,6.73
5055,31,2114,1,10,28,4.33,3743,1,10,30,7.21
5055,33,2356,2,30,20,0,6420,2,30,23,999
5055,35,6652,1,10,23,999,4618,1,10,25,13
5055,36,2356,3,30,15,0,6420,3,30,18,0
5055,37,2114,2,30,12,0,3743,2,30,14,0
5055,38,2114,3,30,10,0,3743,3,30,13,0
5055,39,2114,4,30,9,0,3743,4,30,11,0
5055,40,2114,5,30,8,0,3743,5,30,10,0
5055,41,2114,6,30,7,0,3743,6,30,9,0
5055,42,6793,2,30,6,0,4939,2,30,8,0
5055,43,5412,7,30,4,0,7164,7,30,6,0
5055,44,2356,4,60,3,0,6420,4,60,5,0
5055,45,6807,2,30,5,0,3746,2,30,7,0
5055,46,6807,3,30,3,0,3746,3,30,5,0
5055,47,6652,2,30,3,0,4618,2,30,5,0
5055,48,2356,5,60,1,0,6420,5,60,3,0
5055,49,6652,3,30,1,0,4618,3,30,3,0
5055,50,2356,0,0,0,0,6420,6,60,2,0
5055,51,2356,0,0,0,0,6420,7,60,1,0
5055,170,6652,72,20,47,0,4574,2,20,49,0
5055,171,5412,2,22,27,7.05,7164,2,22,29,10.26
5055,172,6652,73,30,25,0,4574,3,30,27,4
5055,173,6807,1,10,24,0.94,3746,1,10,26,0
5055,176,5412,3,30,11,0,7164,3,30,13,0
5055,177,5412,4,30,9,0,7164,4,30,12,0
5055,178,6793,1,10,35,999,4939,1,10,37,0
5055,179,5412,5,30,7,0,7164,5,30,10,0
5055,180,5412,6,30,6,0,7164,6,30,8,0
5055,188,5412,1,10,27,0,7164,1,10,29,0
5055,190,6793,0,0,0,0,4939,3,66,82,0
5057,4,6473,2,20,46,6.41,3540,2,20,48,19.2
5057,8,5121,1,10,32,0,3589,1,10,34,0
5057,15,6450,1,10,39,999,3865,1,10,40,0
5057,30,5803,1,10,30,1.32,6865,1,10,32,999
5057,32,5466,1,10,25,999,4788,1,10,27,14.5
5057,36,6450,3,30,16,0,3865,2,30,18,0
5057,37,5121,2,30,15,0,3589,2,30,17,0
5057,38,5803,2,30,14,0,6865,2,30,16,0
5057,39,6450,4,30,13,0,3865,3,30,15,0
5057,40,5803,4,30,10,0,6865,4,30,13,0
5057,41,6450,5,30,9,0,3865,4,30,11,0
5057,42,5121,4,30,8,0,3589,4,30,10,0
5057,43,5803,3,30,8,0,6865,3,30,11,0
5057,44,6450,6,30,7,0,3865,5,30,9,0
5057,45,5121,5,30,6,0,3589,5,30,9,0
5057,46,5121,6,30,6,0,3589,6,30,9,0
5057,47,6473,5,30,4,0,3540,4,30,6,0
5057,178,6450,2,30,18,0,3865,71,30,20,0
5057,188,5121,3,30,13,0,3589,3,30,15,0
5057,190,5592,1,10,23,0,4788,2,22,25,5.29
5057,193,5803,71,10,41,0,0,0,0,0,0
5057,194,6473,1,10,50,9.8,3540,1,10,52,9.4
5057,195,6473,3,33,24,0,3540,71,33,26,10.87
5057,196,6473,4,30,13,0,3540,3,30,15,0
5057,197,5592,2,30,4,0,4788,3,30,6,0
5057,198,5592,3,40,2,0,4788,4,48,4,0
5061,4,2277,2,20,42,999,5541,2,20,44,999
5061,33,2277,51,33,18,0,5541,51,33,20,0
5061,34,2277,3,30,5,0,5541,3,30,8,0
5061,35,6486,2,30,5,0,4842,3,33,7,0
5061,176,2277,1,10,46,999,5541,1,10,48,999
5061,177,6486,1,10,23,0,4842,2,20,25,0
5061,178,6486,0,0,0,0,4842,1,10,26,999
5065,1,1362,1,10,52,0,0,0,0,0,0
5065,2,636,1,10,51,0,1963,1,10,53,0
5065,3,50,1,10,56,0,992,1,10,58,0
5065,5,5509,1,10,31,7.21,1652,1,10,33,15
5065,31,1364,1,10,29,0,4517,1,10,31,6.6
5065,32,6967,2,20,28,5,6064,2,20,30,5.77
5065,33,636,4,30,27,0,1963,3,30,29,0
5065,34,5829,1,10,26,7.88,2020,1,10,28,6.15
5065,35,636,2,30,22,999,1963,71,30,24,999
5065,36,1927,1,10,21,0,5884,1,10,24,3.86
5065,37,1362,2,30,10,0,0,0,0,0,0
5065,38,6967,3,33,9,0,6064,3,33,12,0
5065,39,5829,2,30,9,0,2020,2,30,11,0
5065,40,6967,4,30,8,0,6064,4,30,10,0
5065,41,5829,3,30,8,0,2020,3,30,10,0
5065,42,5829,4,30,6,0,2020,4,30,8,0
5065,43,1927,2,30,4,0,5884,2,30,6,0
5065,44,6967,5,30,5,0,6064,5,30,7,0
5065,45,5829,5,30,4,0,2020,5,30,6,0
5065,46,2822,2,30,3,0,4389,3,33,6,0
5065,47,636,5,60,1,0,1963,72,60,4,0
5065,48,5509,3,30,1,0,1652,3,30,2,0
5065,49,5509,0,0,0,0,1652,5,30,1,0
5065,50,6967,0,0,0,0,6064,6,30,1,0
5065,56,636,3,95,6,0,1963,2,95,8,0
5065,177,2822,1,10,31,0,4389,2,20,33,14.42
5065,179,6967,1,10,32,9.13,6064,1,10,34,4.81
5065,180,5509,2,20,32,0,1652,2,20,34,5.21
5065,181,5509,4,33,13,0,1652,4,33,15,0
5065,182,2822,0,0,0,0,4389,1,10,35,22
5065,183,2822,0,0,0,0,4389,4,30,1,0
5066,1,242,1,10,60,24.62,2659,1,10,62,6.41
5066,3,638,2,20,59,0,3246,2,20,61,0
5066,4,6522,2,74,40,0,6956,2,74,42,0
5066,6,240,2,20,38,0,3244,2,20,40,7.14
5066,7,425,1,10,35,0,3610,1,10,38,0
5066,8,2594,1,10,38,30,3243,1,10,40,0
5066,9,52,1,10,36,8.65,2547,1,10,39,5.49
5066,32,6522,1,10,28,10,6956,1,10,30,10.1
5066,33,6522,3,74,21,0,6956,71,74,23,0
5066,34,638,3,60,17,0,3246,3,60,19,0
5066,35,425,2,30,16,0,3610,2,30,18,0
5066,36,240,3,30,16,0,3244,3,30,18,0
5066,37,425,3,30,14,0,3610,3,30,16,0
5066,38,0,0,0,0,0,6956,4,74,14,0
5066,39,240,4,30,11,0,3244,4,30,13,0
5066,40,240,5,30,8,0,3244,5,30,10,0
5066,41,52,3,30,4,0,2547,72,30,6,0
5066,42,425,4,60,1,0,3610,4,60,2,0
5066,170,638,1,10,61,23.44,3246,1,10,63,13.5
5066,178,240,1,10,39,0,3244,1,10,42,19.61
5066,180,52,2,20,35,9.62,2547,71,20,38,20
5066,181,638,4,60,13,0,3246,4,60,15,0
5066,182,2594,2,20,36,0,3243,2,20,38,6.67
5066,184,240,71,70,18,0,0,0,0,0,0
5066,185,6522,4,74,6,0,6956,3,74,9,0
5067,2,1287,2,20,39,999,6068,2,20,41,28.41
5067,34,1287,3,30,16,0,6068,51,30,19,6.51
5067,35,1287,4,30,12,0,6068,3,30,14,0
5067,36,1287,5,30,11,0,6068,4,30,13,0
5067,172,1287,1,10,40,999,6068,1,10,42,42.74
5068,30,866,51,30,20,0,7419,1,10,23,19.23
5068,31,866,2,30,14,0,5558,2,30,17,0
5068,170,866,1,10,43,16.88,5558,1,10,45,18.23
5069,4,5302,1,10,41,0,3742,1,10,43,0
5069,31,6942,1,10,23,999,3884,1,10,25,5.77
5069,34,5302,71,30,21,0,0,0,0,0,0
5069,35,5302,2,30,15,0,3742,2,30,17,0
5069,37,5302,3,30,11,0,3742,3,30,13,0
5069,38,5302,4,60,5,0,3742,4,60,7,0
5069,39,5302,5,60,1,0,3742,5,60,2,0
5070,4,1363,2,20,43,0,4940,2,20,46,0
5070,174,1363,1,10,40,23.08,4940,1,10,42,31.3
5070,175,1363,3,30,14,0,4940,3,30,17,0
5071,3,3727,1,10,48,9.47,6240,1,10,50,12.82
5071,32,3727,2,30,30,9.72,6240,2,30,33,17.46
5071,34,3727,3,30,20,0,6240,3,30,22,11.54
5071,35,3727,4,60,13,0,6240,4,60,15,0
5071,36,3727,5,60,9,0,6240,5,60,11,0
5071,37,3727,6,60,2,0,6240,6,60,4,0
5073,1,1902,1,10,65,0,389,1,10,67,0
5073,2,5419,2,20,49,20.21,4515,2,20,51,999
5073,30,5419,3,30,29,999,4515,71,30,31,0
5073,34,5419,4,30,19,0,4515,3,30,21,0
5073,170,5419,1,10,50,27.08,4515,1,10,53,999
5082,3,5793,1,10,38,18.27,3657,1,10,40,21.63
5082,30,5793,2,30,7,0,3657,2,30,9,0
5085,1,2693,81,10,83,0,0,0,0,0,0
5085,2,2693,1,10,81,0,2139,1,10,83,0
5085,4,4158,1,10,41,53.85,2588,1,10,43,0
5085,5,3091,1,10,41,27.4,2805,1,10,43,31.25
5085,21,2963,1,10,51,7.69,2342,1,10,53,10.82
5085,30,3011,2,30,15,0,2805,2,30,17,0
5085,31,4158,3,30,1,0,2588,3,30,2,0
5085,32,4158,0,0,0,0,2588,4,30,1,0
5085,170,3011,1,10,39,12.74,2140,1,10,41,15.87
5085,175,3091,71,20,38,25.48,0,0,0,0,0
5085,176,3091,72,33,14,0,0,0,0,0,0
5085,177,2963,2,22,34,999,2342,2,20,36,7.65
5085,178,2963,3,35,8,0,2342,3,33,10,0
5085,179,4158,2,20,35,0,2588,2,20,37,18.75
5120,3,1715,1,10,38,15.69,7142,1,10,41,18.14
5120,4,2795,1,10,37,0,7124,1,10,39,12.82
5120,5,3001,1,10,34,15.82,7125,1,10,36,18.45
5120,6,1622,1,10,50,0,3153,1,10,52,0
5120,30,3001,2,30,13,0,7125,2,30,16,0
5120,31,1715,3,30,13,0,7142,3,30,15,0
5120,32,1714,3,33,6,0,5119,3,33,8,0
5120,33,4146,2,30,3,0,7306,2,30,6,0
5120,34,2795,3,30,1,0,7124,3,30,3,0
5120,35,1714,4,30,1,0,5119,4,30,3,0
5120,36,4146,3,30,1,0,7306,3,30,2,0
5120,37,1714,0,0,0,0,5119,6,30,2,0
5120,173,1715,2,20,38,7.19,7142,2,20,40,0
5120,177,1714,2,20,26,26.44,5119,2,20,29,41.67
5120,178,4146,1,10,21,0,7306,1,10,23,8.33
5120,182,2795,71,88,35,12.02,7123,1,10,38,9.14
5120,183,1714,1,10,28,10,5119,1,10,31,8.88
5120,184,2795,2,72,58,0,7124,2,72,60,0
5120,185,1714,0,0,0,0,5119,5,30,8,0
5120,186,2795,0,0,0,0,7123,2,88,43,0
5126,1,3035,1,10,64,0,4113,1,10,66,0
5126,30,3035,3,60,23,0,4113,3,60,26,0
5126,33,5369,1,10,18,4.8,5408,1,10,20,999
5126,35,3035,2,60,14,0,4113,2,60,17,0
5126,36,3035,0,0,0,0,4113,4,65,1,0
5126,37,5369,0,0,0,0,5408,2,30,1,0
5126,173,5369,2,88,19,3.8,5408,71,88,21,0
5133,1,3492,1,10,78,0,2478,1,10,80,0
5133,3,6500,1,10,39,8.56,6971,1,10,41,4.9
5133,31,6170,1,10,21,3.44,2479,1,10,22,7.14
5133,32,6500,3,30,15,0,6971,3,30,17,0
5133,33,6500,2,30,7,0,6971,2,30,10,0
5133,34,6170,2,30,4,0,2479,2,30,6,0
5133,35,6170,3,30,2,0,2479,3,30,4,0
5133,173,6170,51,88,24,6.25,2479,51,88,25,0
5136,7,3508,2,20,45,5.21,4431,2,20,47,999
5136,9,4254,1,10,39,999,4345,2,20,41,999
5136,10,6880,1,10,39,4.62,5329,1,10,41,8.65
5136,11,3314,1,10,31,8.17,2982,1,10,33,10.58
5136,31,4977,2,30,22,0,4432,2,30,24,0
5136,33,3508,4,30,21,3.85,4431,4,30,23,8.75
5136,34,4977,3,30,19,0,4432,71,30,21,0
5136,39,4254,2,30,13,0,4345,3,33,15,0
5136,40,3314,2,30,7,0,2982,2,30,9,0
5136,41,3314,3,30,5,0,2982,3,30,8,0
5136,42,4977,4,60,5,0,4432,3,60,7,0
5136,43,4977,5,60,3,0,4432,4,60,5,0
5136,44,6880,4,60,1,0,5329,4,60,1,0
5136,45,3508,0,0,0,0,4431,5,60,1,0
5136,46,4977,0,0,0,0,4432,5,60,1,0
5136,170,4977,1,10,47,999,4432,1,10,49,15.14
5136,171,3508,1,10,45,27.4,4431,1,10,47,999
