age,p1_wealth,p2_wealth,p3_wealth,p4_wealth,p5_wealth,p6_wealth,p7_wealth,p8_wealth,p9_wealth,p10_wealth,p11_wealth,p12_wealth,p13_wealth,p14_wealth,p15_wealth,p16_wealth,p17_wealth,p18_wealth,p19_wealth,p20_wealth,p21_wealth,p22_wealth,p23_wealth,p24_wealth,p25_wealth,p26_wealth,p27_wealth,p28_wealth,p29_wealth,p30_wealth,p31_wealth,p32_wealth,p33_wealth,p34_wealth,p35_wealth,p36_wealth,p37_wealth,p38_wealth,p39_wealth,p40_wealth,p41_wealth,p42_wealth,p43_wealth,p44_wealth,p45_wealth,p46_wealth,p47_wealth,p48_wealth,p49_wealth,p50_wealth,p51_wealth,p52_wealth,p53_wealth,p54_wealth,p55_wealth,p56_wealth,p57_wealth,p58_wealth,p59_wealth,p60_wealth,p61_wealth,p62_wealth,p63_wealth,p64_wealth,p65_wealth,p66_wealth,p67_wealth,p68_wealth,p69_wealth,p70_wealth,p71_wealth,p72_wealth,p73_wealth,p74_wealth,p75_wealth,p76_wealth,p77_wealth,p78_wealth,p79_wealth,p80_wealth,p81_wealth,p82_wealth,p83_wealth,p84_wealth,p85_wealth,p86_wealth,p87_wealth,p88_wealth,p89_wealth,p90_wealth,p91_wealth,p92_wealth,p93_wealth,p94_wealth,p95_wealth,p96_wealth,p97_wealth,p98_wealth,p99_wealth,num_obs
28.00000,-119850.00000,-98300.00000,-55556.70823,-47820.00000,-37799.00000,-25000.00000,-21400.00000,-19719.20200,-16886.84520,-16055.97649,-14896.57107,-12560.27431,-11200.00000,-9767.19856,-7840.00000,-6912.43766,-5900.00000,-4286.78304,-1347.35467,-1178.86534,-561.39778,-140.00000,0.00000,0.00000,0.00000,0.00000,330.00000,857.35661,1286.03491,1908.75245,2540.00000,3500.00000,4165.57152,4603.46179,4650.00000,5144.13965,5572.81796,6100.00000,6290.85411,7185.89157,7533.95820,7800.00000,7983.07642,8533.24624,8690.00000,9570.24314,10020.35536,11231.37157,12300.00000,13855.29719,14682.23192,15539.58853,16448.95493,17672.80209,18081.00000,18700.00000,20131.72436,23466.42717,24589.22273,25910.00000,26600.00000,28640.00000,28855.84585,31304.23317,31887.39386,33447.62469,34615.77307,37389.09210,38399.60810,40827.32170,42104.83344,48676.42145,50787.66209,56692.70574,65116.23441,66626.68844,72232.29426,77248.33442,80612.95511,83452.94888,85435.58603,87128.86534,88550.00000,95410.00000,98270.00000,106441.01894,123300.00000,143928.74065,148209.01372,150300.00000,157271.35287,196770.00000,202529.86283,214500.00000,274321.41084,283463.52868,303825.74813,440252.61845,937702.71065,1095.00000
29.00000,-95200.00000,-78769.63840,-61529.19660,-56542.66833,-44806.52805,-38473.87781,-33600.00000,-30700.00000,-25999.00000,-20255.04988,-17066.49249,-14671.51496,-11650.00000,-10750.00000,-8980.81047,-8047.36347,-5100.00000,-3550.00000,-3480.66623,-2500.00000,-2190.00000,-898.23645,-224.55911,0.00000,0.00000,33.68387,350.00000,1071.69576,1301.00000,2143.39152,2357.73067,3011.46509,3368.38668,3858.10474,4715.46135,4940.30046,5465.64838,5787.15711,6076.51496,6119.23579,6430.00000,7298.17113,7430.00000,7635.00980,8200.00000,9002.24439,9913.18579,10395.44888,10902.34487,11340.23514,12923.37688,13889.17706,17403.33116,20098.04050,21905.74135,22366.08752,23300.00000,27050.00000,29210.00000,31360.00000,32594.75506,34200.00000,36600.00000,38500.00000,40756.58978,42441.67211,46200.00000,51446.49249,54030.00000,55771.04738,63662.50816,65458.98106,67704.57218,78707.96865,81941.85786,87400.00000,91395.55846,98356.89092,98700.00000,106216.45983,112970.00000,123058.39321,140070.63591,147518.92145,158450.21820,166622.86088,199633.05029,207829.45787,239900.00000,263600.00000,285077.79229,351771.84847,360080.53560,389160.94056,407237.94905,421385.17309,561800.00000,594400.00000,688385.95689,1035.00000
30.00000,-52995.35536,-51045.00000,-50076.68191,-34503.50751,-24989.00000,-15500.00000,-13065.00000,-10554.27825,-8522.01829,-6961.33246,-5400.00000,-4940.30046,-4230.00000,-2806.77120,-964.52618,-309.00000,0.00000,0.00000,140.00000,392.97845,680.00000,1470.86218,1717.87720,2245.59112,2464.90025,3300.00000,3322.25686,3700.00000,4300.00000,4800.00000,5391.00000,5838.53690,6430.00000,7073.19202,7662.62469,8500.00000,9913.18579,10341.86409,10980.94056,11230.00000,11885.10599,12474.53865,13248.98759,14457.17581,15045.46048,16075.43641,18032.09667,18256.65578,18970.00000,19312.08361,19900.00000,20140.00000,20800.00000,22250.00000,24520.39900,26074.35786,27171.65251,28900.00000,30450.21555,31500.00000,34100.00000,36544.82544,39000.00000,41399.60723,44911.82234,46200.00000,50541.17207,54763.65337,57082.92619,59328.51731,64301.74564,65960.00000,69338.71571,71730.00000,74957.83148,76304.73815,81160.00000,86000.00000,88400.00000,90451.12219,94107.10973,99255.12737,106633.72818,111718.15807,119386.90773,125174.06484,128200.00000,149400.00000,153261.59373,176278.90268,178524.49379,191500.00000,204236.51208,243422.07707,350199.93468,362500.00000,466184.71587,831800.63357,2678653.36381,1190.00000
31.00000,-219590.46135,-100700.00000,-95450.00000,-59479.11471,-42621.34040,-34638.24298,-29080.40496,-24515.00000,-16875.61724,-13995.27494,-11724.35162,-8300.00000,-6500.00000,-5434.33050,-4311.53494,-3322.25686,-2324.18681,-1336.12671,-696.13325,-43.78903,0.00000,31.00000,684.90529,1120.00000,1587.18142,2143.39152,3000.74813,3493.72818,4064.51992,4811.91397,5277.13912,5700.00000,6451.60848,7160.00000,8715.02993,9105.87198,9992.88047,10778.83736,11216.72763,11564.79425,11900.00000,12406.89092,13000.00000,13610.53616,14450.00000,15035.89152,15494.57871,16300.49252,17811.58354,18500.00000,20790.89776,21220.83605,22840.00000,24809.75686,26578.05486,27400.00000,28450.00000,31269.85630,32224.23253,33972.75561,34918.94187,39074.02743,43750.00000,52450.00000,55634.51992,57860.00000,60900.00000,63520.00000,67050.00000,70603.31671,73947.00748,82949.25187,88700.84912,94630.73566,98810.34913,119997.77431,125281.23441,130100.00000,141142.33167,151859.28928,154159.83018,163433.60349,168230.00000,183184.09536,214824.47420,252180.72943,266852.24439,271139.02743,288286.15960,316628.34749,355477.07381,376585.63031,420104.73815,446575.62344,466892.07707,593767.97518,666400.00000,837680.27431,1222050.68583,1375.00000
32.00000,-169756.60848,-82284.80050,-74250.00000,-54380.00000,-50904.47693,-45332.73067,-39727.76185,-24000.00000,-16718.45387,-14001.26061,-10891.11692,-5551.38404,-4822.63092,-3257.95511,-1907.61845,-375.09352,0.00000,0.00000,0.00000,90.00000,250.00000,540.00000,1071.69576,1500.00000,2000.00000,2089.80673,2722.77923,3368.38668,3550.00000,3830.00000,4266.62312,5170.93204,6108.66584,7287.53117,8466.39651,8596.07170,9100.00000,9291.60224,9780.00000,10690.00000,11467.14464,12646.00998,14800.00000,16000.00000,17066.49249,17400.00000,20210.32005,22175.21228,23000.00000,25570.00000,27360.00000,28800.00000,31000.00000,32815.32419,34391.22796,38570.33042,40540.00000,42117.64339,44046.69576,47583.29177,51300.00000,54264.70934,56478.36658,57442.89277,59395.88504,62483.57283,68052.63880,71267.76808,80570.08728,82952.13586,88330.00000,91629.98753,93304.31091,96450.00000,101400.00000,107919.76309,112000.00000,125079.42521,129009.20967,135515.92893,138216.13325,144603.90898,151800.00000,173668.29800,189393.15480,202024.60483,207850.00000,214296.28429,219618.81123,226300.00000,249855.14963,299146.42064,310699.98694,388100.00000,494587.59352,631347.94252,867320.00000,1247453.86534,1843068.90921,1315.00000
33.00000,-77140.00000,-59586.76029,-51034.15212,-44600.00000,-35741.05362,-31572.15711,-26385.69562,-20919.50125,-18433.16708,-16700.00000,-15421.70200,-13074.68828,-7185.89157,-5052.58001,-3000.00000,-1240.00000,-640.00000,0.00000,64.30175,256.00000,449.11822,810.00000,1684.19334,2800.00000,4100.00000,4810.00000,5780.00000,6215.83541,6966.02244,7522.73024,7800.00000,8350.00000,8656.75376,8847.62900,9319.20314,10000.00000,10400.00000,10834.97714,12538.84040,13556.95137,13932.04489,15003.74065,16289.77556,16825.62344,17902.00000,18964.01698,20094.29551,21900.00000,22343.63161,22900.00000,23275.55193,23851.00000,28303.48504,30200.00000,35933.95885,38538.17955,47718.81123,55900.00000,62390.00000,63790.00000,68912.18080,75600.00000,77965.86658,84771.06466,90385.04246,102989.96259,105100.00000,108300.00000,111920.00000,118422.38155,126202.22077,129600.00000,135569.51372,138890.00000,147200.00000,152180.79800,160500.00000,166959.69954,171685.66085,178636.77335,189282.90524,207481.39125,213260.00000,224000.00000,241288.76551,243703.61596,270369.17048,280698.88961,300909.20967,312698.56303,349500.00000,378382.10320,388900.00000,415557.86414,494872.14239,502439.78445,554099.60810,853390.00000,1262022.20771,1180.00000
34.00000,-69395.00000,-49100.00000,-36010.00000,-30200.00000,-27100.00000,-20100.00000,-14575.06234,-12126.19203,-10031.07232,-8319.91509,-7635.00980,-6860.28086,-5900.00000,-3107.91771,-2036.22195,-428.67830,0.00000,0.00000,112.27956,600.00000,1200.00000,1655.00000,3267.33508,4000.00000,5052.58001,5613.97779,6399.93468,6736.77335,7000.00000,7298.17113,7919.83167,8580.00000,9020.00000,9430.92269,10277.56234,11681.48379,12320.00000,13824.87531,15270.01960,15614.60723,16504.11471,17372.18828,18144.37622,18754.67581,22827.11970,24420.80340,25801.84193,28190.95698,30168.23566,33000.00000,34267.72044,34829.11822,36700.00000,40645.19922,41375.01633,42500.00000,43600.00000,46900.00000,48280.20901,54442.14464,66991.70200,68827.36773,72050.00000,74272.92619,77922.01176,81054.61137,82420.00000,87440.00000,90879.80050,95780.00000,99850.96571,102735.79360,109607.30242,115957.48130,132365.14339,143360.00000,153542.29262,157110.59850,162450.00000,173674.01698,179000.00000,189438.06662,204900.00000,206900.00000,234664.27172,242972.95885,272008.45199,278453.29850,287350.00000,320437.03242,360732.79302,396300.00000,407673.06733,484374.00392,619446.30960,669747.55062,785810.19950,1284300.00000,2084555.42394,1300.00000
35.00000,-89449.00000,-50798.37905,-39963.53491,-33480.00000,-31829.36409,-29225.14339,-26161.13651,-19312.08361,-14253.55362,-11171.81581,-6287.65513,-4940.30046,-3000.74813,-1071.69576,0.00000,0.00000,910.58720,1457.50623,2638.56956,3500.00000,4098.20379,4828.02090,5052.58001,5951.93926,6912.43766,8359.22693,9206.92358,9600.00000,10700.00000,10924.80078,12092.50816,13473.54670,13700.00000,15014.45761,17543.65960,18526.12671,19826.37157,21288.20379,22400.00000,23362.96758,24800.00000,27137.96865,28700.00000,30700.00000,32336.51208,33796.14631,35801.00000,37060.00000,38792.58654,39870.47028,41730.00000,42546.32170,44443.22319,45922.33834,46034.61790,53900.00000,60000.00000,64140.99127,70200.00000,75340.21197,79550.00000,82200.00000,84771.13466,85400.95297,89801.18877,97009.53625,104383.16708,112335.14963,116632.64963,130564.69451,133028.81777,137510.00000,142353.34788,157303.65774,166600.00000,173359.63423,185500.00000,192200.00000,195029.58850,200306.72763,227029.26192,234102.87394,254360.00000,267225.34291,273737.55715,277835.76094,288000.00000,304000.00000,321119.52972,369000.00000,389650.00000,430200.00000,442606.00914,452791.45885,571000.00000,718786.34663,951238.22880,1322472.56858,1553000.00000,1260.00000
36.00000,-93600.00000,-83913.77805,-56692.70574,-39400.00000,-26722.53429,-23100.00000,-19419.12718,-17000.00000,-10940.00000,-8200.00000,-6665.94763,-5647.66166,-3817.50490,-2650.00000,-1863.84063,-1695.42129,-325.61071,0.00000,0.00000,64.30175,400.00000,670.00000,1072.76746,1610.00000,2357.73067,2986.63619,3705.22534,4168.89651,5052.58001,6006.95624,6512.21424,6849.05291,7900.00000,8398.51078,8725.24428,10300.00000,11100.00000,11901.63292,13181.85786,13720.00000,15045.46048,16460.18289,16890.00000,18861.84539,20620.00000,21112.40648,24310.00000,27328.24190,28000.00000,30427.75963,31213.71653,36100.00000,38581.04738,47150.00000,48785.46702,51200.00000,56005.04246,61622.50623,66916.68329,74632.22077,77023.77531,79700.00000,83872.82822,88027.17178,93480.00000,103900.00000,112453.03616,120105.44089,125602.74314,131277.25669,135611.24755,143607.23192,154806.45262,159900.00000,173800.00000,177031.17570,182509.78803,193300.00000,208300.00000,210400.00000,221976.68191,231200.00000,250508.88404,279126.97583,296300.00000,309723.15480,348200.00000,357273.54670,371310.00000,382563.23566,428009.66688,433735.92423,461468.97453,579160.40496,656229.09210,676000.00000,808637.36120,996368.77858,1186940.86871,1360.00000
37.00000,-81556.04738,-65000.00000,-33040.38030,-18629.00000,-16480.00000,-9689.00000,-5600.00000,-3600.00000,-898.23645,0.00000,0.00000,0.00000,100.00000,322.58042,858.42830,1605.59765,1796.47289,2600.00000,4211.76434,4300.00000,4980.00000,5400.00000,6063.09602,7287.53117,8000.00000,8370.00000,8700.00000,9111.55736,10502.61845,11306.55127,12137.41999,13074.68828,14230.00000,16301.00000,16841.93338,17291.05160,18312.79556,19199.80405,21333.11561,21950.65317,25341.49575,26722.53429,28309.91521,30427.75963,31030.00000,32260.00000,35469.11169,37610.00000,39224.06484,43087.52805,45450.61721,48212.84128,53691.95761,58220.00000,60123.20387,62988.83083,65694.95012,72875.31172,78600.00000,80448.30176,83540.00000,89240.10599,96246.03527,101596.75810,105205.94383,123700.00000,134079.85661,147465.33666,161200.00000,170833.34422,179300.00000,186796.57107,192000.00000,205658.41646,215689.02678,221733.85287,237022.14239,248100.00000,262136.78304,277779.62116,287000.00000,308400.00000,334797.75561,350761.33246,399267.22338,428300.00000,470924.55112,496949.31417,538380.47028,564850.00000,573973.08948,594744.80732,597214.95754,651000.00000,757718.58263,851700.00000,939667.60287,1230022.53429,2258200.00000,1255.00000
