Industry,,
1,,
11,,
,111,
,113,
,114,
21,,
,211110,
,212110,
,212200,
,212315,
,213110,
22,,
,221100,
,221210,
,221300,
,221500,
23,,
,236,
,237,
,,237105
,,237210
,238,
,,238210
,,238220
,,238905
31,,
,311,
,,311115
,,311300
,,311400
,,311500
,,311615
,,311800
,,311900
,312,
,,312110
,,312120
,,312135
,,312200
,313,
,,313000
,,314000
,315,
,,315100
,,315215
,,315990
,316,
,321,
,322,
,,322100
,,322200
,323,
,,323100
,324,
,,324110
,,324125
,325,
,,325100
,,325200
,,325410
,,325500
,,325600
,,325905
,326,
,,326100
,,326200
,327,
,,327105
,,327210
,,327305
,331,
,,331115
,,331315
,,331500
,332,
,,332110
,,332215
,,332300
,,332400
,,332810
,,332900
,333,
,,333100
,,333200
,,333310
,,333410
,,333510
,,333610
,,333900
,334,
,,334110
,,334200
,,334315
,,334410
,,334500
,335,
,,335105
,,335310
,,335900
,336,
,,336105
,,336410
,,336610
,,336995
,337,
,339,
,,339110
,,339900
41,,
42,,
,423,
,,423100
,,423300
,,423400
,,423500
,,423600
,,423700
,,423800
,,423905
,424,
,,424100
,,424210
,,424300
,,424400
,,424500
,,424600
,,424700
,,424800
,,424915
,425,
44,,
,441,
,,441115
,,441215
,442,
,443,
,444,
,,444115
,,444130
,,444190
,,444200
,445,
,,445115
,,445310
,446,
,447,
,448,
,451,
,452,
,453,
,454,
46,,
48,,
,481,
,,481000
,,482110
,,483000
,484,
,485,
,486,
,487,
,493,
51,,
,511,
,,511110
,,511120
,,511130
,,511145
,,511210
,512,
,,512100
,,512200
,515,
,517,
,518,
,519,
52,,
,520,
,521,
,,522110
,,522125
,522,
,,522215
,,522292
,,522295
,,522300
,523,
,,523110
,,523120
,,523135
,,523905
,524,
,,524140
,,524142
,,524143
,,524156
,,524159
,,524210
,,524290
,525,
,,525910
,,525995
53,,
,531,
,,531115
,,531135
,,531210
,,531315
,532,
,,532100
,,532215
,,532400
,533,
54,,
,541,
,,541115
,,541215
,,541315
,,541400
,,541515
,,541600
,,541700
,,541800
,,541915
55,,
,551,
,,551111
,,551112
56,,
,561,
,,561300
,,561500
,,561905
,562,
61,,
62,,
,621,
,,621115
,,621210
,,621315
,,621415
,625,
,626,
71,,
,711,
,713,
72,,
,721,
,722,
81,,
,811,
,,811115
,,811215
,812,
,813,
90,,
