HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY,PWCMPWGT
191690460010003,91001,1,201404,39,3.00,3525.3826
191690460010003,91001,2,201404,26,10.00,5162.6786
009011163060490,91002,1,201404,21,3.00,4845.7199
009011163060490,91002,2,201404,20,8.50,4153.7209
009011163060490,91002,3,201404,38,9.50,3525.3826
902901610996501,93001,1,201404,73,24.00,3083.4592
810282006909560,91001,1,201404,50,15.20,3010.8400
302905600994181,93001,2,201404,60,30.00,2772.2077
851089660559002,91001,1,201404,23,9.50,4331.4437
851089660559002,91001,2,201404,21,8.20,4331.4437
099990210691399,93001,1,201404,54,13.00,3141.2634
030817096102049,93001,2,201404,31,27.00,3885.3424
329069419100931,93001,1,201404,50,23.00,3356.2293
406007270109771,91002,2,201404,67,10.00,3438.7810
053042144020060,93001,2,201404,22,13.00,684.0742
365006400200244,91002,1,201404,24,18.00,756.5825
365006400200244,91002,2,201404,22,13.00,684.0742
580825097602869,93001,2,201404,29,10.00,882.4773
920825046909467,91001,1,201404,74,16.50,403.9467
600206947289594,91001,1,201404,60,35.00,376.6895
600206947289594,91001,2,201404,60,26.50,427.5576
666060729400999,91001,1,201404,39,24.00,3506.4146
884458120719004,93001,1,201404,46,14.00,3701.6531
488510487140920,93001,1,201404,39,10.00,3563.3452
488510487140920,93001,2,201404,43,14.00,3714.2949
041630240910697,93001,2,201404,24,8.00,7410.4292
019014366060430,91001,1,201404,38,17.50,3638.5559
084459160719004,91001,2,201404,18,9.00,3046.4451
114299260769003,91001,1,201404,64,15.00,7164.1306
600409974061326,91001,1,201404,24,12.00,3340.9129
410100601120060,91001,1,201404,52,14.50,3366.0773
010140001606210,91001,1,201404,32,10.79,3715.1847
010140001606210,91001,2,201404,36,11.00,3798.7561
944074899029670,93001,1,201404,46,34.35,3955.2895
098982406070509,93001,1,201404,21,7.83,3115.4864
098982406070509,93001,2,201404,24,12.50,2348.4931
323064929500983,93001,2,201404,61,17.00,2852.1574
965063229500921,91001,1,201404,49,15.32,2254.6344
965063229500921,91001,2,201404,53,47.00,2174.6928
097982001060559,93001,1,201404,57,17.50,2140.8276
061902308000549,93001,1,201404,61,9.00,1974.4501
536979920559007,93001,1,201404,52,25.00,3256.2168
536979920559007,93001,4,201404,24,12.00,3950.0221
502900270993146,93001,3,201404,44,6.00,2816.6175
502900270993146,93001,4,201404,31,18.00,3106.2471
502900270993146,93001,5,201404,28,11.65,3279.5754
167099689600450,91001,1,201404,57,12.00,3316.0500
098996106057604,91001,1,201404,32,30.00,3883.8212
098996106057604,91001,2,201404,29,18.00,3200.7274
042250660955795,91001,3,201404,35,15.00,3367.6513
160562099302279,93001,1,201404,56,10.80,3011.3310
669740366100920,93001,1,201404,73,12.00,3172.2009
094932901061669,93001,1,201404,64,35.00,3085.0208
097906308016687,91001,1,201404,19,8.75,3202.9768
097906308016687,91001,4,201404,22,10.00,2749.5254
910056839069650,91001,1,201404,66,36.00,2609.1151
689060951530960,91001,2,201404,69,21.66,2548.5071
624091446600818,93001,1,201404,31,19.00,2797.1558
624091446600818,93001,2,201404,44,11.00,2457.1671
607820528930920,93001,5,201404,21,10.00,3023.3211
607820528930920,93001,7,201404,61,10.00,3352.7538
200609783456577,93001,2,201404,43,15.00,2875.4886
200609783456577,93001,5,201404,40,16.00,3033.2355
560234072807296,93001,1,201404,29,15.50,3497.7337
560234072807296,93001,2,201404,28,12.00,2712.5028
202903250784766,93001,1,201404,39,8.00,2580.6021
202903250784766,93001,2,201404,23,10.00,2937.5554
202903250784766,93001,4,201404,21,10.00,2937.5554
528099978600914,93001,2,201404,28,17.00,2861.0433
990067095102489,93001,1,201404,41,17.03,2457.1671
096626705042636,91001,2,201404,30,7.50,6509.1371
206903250664766,91001,1,201404,43,15.00,3191.7793
140964096106846,91001,1,201404,47,10.00,3281.4669
170360098006287,91001,4,201404,25,16.46,2786.4492
969090077600418,91001,2,201404,67,9.50,2422.5788
960941056709897,91001,1,201404,44,19.00,3033.2355
600609757499198,91001,2,201404,66,10.00,2867.1164
600609757499198,91001,3,201404,39,12.00,3017.5880
985096041068790,91001,4,201404,27,10.00,3446.8655
868092928600253,91001,3,201404,23,9.00,2937.5554
960235086802892,91002,1,201404,30,8.00,3336.2970
668210644690960,91001,2,201404,34,10.79,3336.2970
600609883456597,91001,1,201404,59,11.50,3114.4621
600609883456597,91001,2,201404,27,14.00,3136.4692
007800660952198,91001,3,201404,24,15.50,3150.1383
034026191060180,91001,2,201404,43,41.00,3160.3746
260223096909096,91001,2,201404,51,24.15,3037.0914
688470364030920,93001,2,201404,45,23.00,3039.9028
036150260905198,93001,1,201404,62,19.50,2983.4086
036150260905198,93001,2,201404,62,25.00,2770.4732
260018052904296,93001,2,201404,29,11.00,3077.9100
956016629029310,93001,1,201404,54,9.30,2893.6711
956016629029310,93001,3,201404,23,15.00,3642.4964
956016629029310,93001,4,201404,21,8.00,3642.4964
956016629029310,93001,5,201404,60,8.00,2800.6027
000864096602309,93001,2,201404,55,10.00,2941.3526
806369420009006,93001,3,201404,27,8.00,3915.5114
806369420009006,93001,4,201404,85,9.25,2975.5450
806369420009006,93001,5,201404,20,8.50,3574.5004
098912506067689,93001,1,201404,50,21.50,3106.2980
461094799600999,91001,1,201404,36,23.00,2923.6243
629096359600914,93001,1,201404,24,17.00,3136.5016
126760820940004,93001,2,201404,22,9.00,6024.6046
977006874069540,91001,2,201404,28,10.10,3525.2292
659580976070960,91001,3,201404,42,17.75,3017.3002
576759860609009,91001,1,201404,57,19.25,2834.5515
576759860609009,91001,3,201404,20,9.00,3541.6772
659850559490920,93001,1,201404,28,11.50,3200.7274
722091149600781,93001,1,201404,60,19.95,3185.5087
200609923395195,93001,1,201404,36,9.40,2958.1094
610720570900060,91001,1,201404,37,15.00,3045.0858
097916607059629,91001,1,201404,23,11.00,3367.2803
760125066909997,91002,2,201404,22,15.00,3610.9612
906902170995676,91001,2,201404,25,14.87,2564.1493
106906130786406,91001,2,201404,48,10.00,3193.1731
106906130786406,91001,5,201404,21,8.75,3406.1389
166459560229005,91001,2,201404,61,22.50,2906.8178
130860094606619,91001,3,201404,21,11.00,3438.6152
130860094606619,91001,4,201404,18,30.00,2968.8103
989086882029590,93001,1,201404,44,8.00,3702.5904
989086882029590,93001,2,201404,34,8.00,3137.6121
907056819069960,91001,1,201404,51,17.00,3175.7375
907056819069960,91001,4,201404,29,9.50,3362.9248
600609974197474,91261,1,201404,34,8.85,3385.7490
440860090602369,93001,2,201404,42,55.00,3384.3724
004660260983490,93001,2,201404,46,52.00,2996.1844
004660260983490,93001,3,201404,19,10.00,3126.7589
876299720279009,93001,2,201404,70,11.00,3272.6979
206902770999976,91001,1,201404,40,10.00,3881.2880
968076829029320,93001,2,201404,68,14.00,2737.7570
116520160310009,91001,1,201404,35,13.50,3048.5248
116520160310009,91001,2,201404,28,12.50,4076.3499
660223006909191,91001,1,201404,36,22.00,3468.4465
889690113040960,91001,1,201404,62,10.00,1677.8582
806908260994658,91001,2,201404,25,10.50,1790.4249
600909924593072,91001,1,201404,53,39.00,1458.6717
206900870998749,91001,1,201404,53,28.50,1534.1868
206900870998749,91001,3,201404,22,12.00,1719.2338
110450720740107,93001,1,201404,27,16.50,572.5760
110450720740107,93001,2,201404,23,12.00,578.2281
069750157720921,93001,1,201404,33,18.00,449.3718
195856602009079,91001,1,201404,50,7.25,380.8055
906907521980650,91001,1,201404,49,10.00,418.1079
059240092350961,91001,1,201404,56,23.00,378.5979
920161589000993,93001,1,201404,69,23.00,322.8224
168912905090039,93001,2,201404,18,7.35,661.0896
500806094416459,91001,1,201404,34,11.00,507.7986
500806094416459,91001,3,201404,23,7.50,460.1623
500806094416459,91001,4,201404,28,10.00,474.4658
