"Page: 87  March 12, 2015"
""
"L.111 U.S.-Chartered Depository Institutions"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"U.S.-chartered depository institutions, including IBFs; total financial assets","   11473.5","   11839.5","   12218.4","   12795.4","   13646.9","   12585.8","   12795.4","   12891.5","   13141.5","   13365.9","   13646.9","    1",
"U.S.-chartered depository institutions; vault cash; asset","      52.7","      60.8","      71.1","      73.6","      75.6","      62.2","      73.6","      64.8","      64.9","      64.7","      75.6","    2",
"U.S.-chartered depository institutions; depository institution reserves; asset","     575.8","     798.7","     798.5","    1252.9","    1443.6","    1222.5","    1252.9","    1311.3","    1339.8","    1411.1","    1443.6","    3",
"U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; asset","     267.6","     242.6","     302.7","     215.4","     185.0","     217.2","     215.4","     201.8","     202.5","     196.0","     185.0","    4",
"U.S.-chartered depository institutions; credit market instruments; asset","    9356.2","    9489.9","    9866.3","   10101.0","   10762.9","    9925.3","   10101.0","   10167.7","   10378.4","   10527.8","   10762.9","    5",
"U.S.-chartered depository institutions; open market paper; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    6",
"U.S.-chartered depository institutions; Treasury securities; asset","     217.5","     173.9","     243.2","     217.1","     420.4","     186.6","     217.1","     263.8","     297.7","     359.0","     420.4","    7",
"U.S.-chartered depository institutions; agency- and GSE-backed securities; asset","    1527.2","    1634.1","    1669.6","    1717.3","    1760.3","    1700.4","    1717.3","    1731.0","    1735.9","    1758.2","    1760.3","    8",
"U.S.-chartered depository institutions; agency issued residential mortgage pass-through securities; asset","     835.3","     899.1","     912.8","     953.5","     979.8","     947.9","     953.5","     959.1","     961.9","     975.2","     979.8","    9",
"U.S.-chartered depository institutions; agency issued commercial mortgage pass-through securities; asset","       3.3","       8.2","      21.7","      30.3","      42.4","      27.9","      30.3","      32.0","      37.6","      41.4","      42.4","   10",
"U.S.-chartered depository institutions; agency issued residential CMOs and other structured MBS; asset","     393.4","     473.8","     454.6","     431.0","     444.1","     422.8","     431.0","     442.2","     440.7","     444.2","     444.1","   11",
