Codes:,Interest_Income
1,647877000000.0
11,15017046357.7
111,3003409271.54
1111,600681854.308
11111,85811693.4726
111110,85811693.4726
11112,85811693.4726
111120,85811693.4726
11113,85811693.4726
111130,85811693.4726
11114,85811693.4726
111140,85811693.4726
11115,85811693.4726
111150,85811693.4726
11116,85811693.4726
111160,85811693.4726
11119,85811693.4726
111191,42905846.7363
111199,42905846.7363
1112,600681854.308
11121,600681854.308
111211,300340927.154
111219,300340927.154
1113,600681854.308
11131,200227284.769
111310,200227284.769
11132,200227284.769
111320,200227284.769
11133,200227284.769
111331,28603897.8242
111332,28603897.8242
111333,28603897.8242
111334,28603897.8242
111335,28603897.8242
111336,28603897.8242
111339,28603897.8242
1114,600681854.308
11141,300340927.154
111411,150170463.577
111419,150170463.577
11142,300340927.154
111421,150170463.577
111422,150170463.577
1119,600681854.308
11191,120136370.862
111910,120136370.862
11192,120136370.862
111920,120136370.862
11193,120136370.862
111930,120136370.862
11194,120136370.862
111940,120136370.862
11199,120136370.862
111991,40045456.9539
111992,40045456.9539
111998,40045456.9539
112,3003409271.54
1121,500568211.924
11211,166856070.641
112111,83428035.3206
112112,83428035.3206
11212,166856070.641
112120,166856070.641
11213,166856070.641
112130,166856070.641
1122,500568211.924
11221,500568211.924
112210,500568211.924
1123,500568211.924
11231,100113642.385
112310,100113642.385
11232,100113642.385
112320,100113642.385
11233,100113642.385
112330,100113642.385
11234,100113642.385
112340,100113642.385
11239,100113642.385
112390,100113642.385
1124,500568211.924
11241,250284105.962
112410,250284105.962
11242,250284105.962
112420,250284105.962
1125,500568211.924
11251,500568211.924
112511,166856070.641
112512,166856070.641
112519,166856070.641
1129,500568211.924
11291,125142052.981
112910,125142052.981
11292,125142052.981
112920,125142052.981
11293,125142052.981
112930,125142052.981
11299,125142052.981
112990,125142052.981
113,3003409271.54
1131,1001136423.85
11311,1001136423.85
113110,1001136423.85
1132,1001136423.85
11321,1001136423.85
113210,1001136423.85
1133,1001136423.85
11331,1001136423.85
113310,1001136423.85
114,3003409271.54
1141,1501704635.77
11411,1501704635.77
114111,500568211.924
114112,500568211.924
114119,500568211.924
1142,1501704635.77
11421,1501704635.77
114210,1501704635.77
115,3003409271.54
1151,1001136423.85
11511,1001136423.85
115111,166856070.641
115112,166856070.641
115113,166856070.641
115114,166856070.641
115115,166856070.641
115116,166856070.641
1152,1001136423.85
11521,1001136423.85
115210,1001136423.85
1153,1001136423.85
11531,1001136423.85
115310,1001136423.85
21,15948049231.7
211,5316016410.57
2111,5316016410.57
21111,5316016410.57
211111,2658008205.29
211112,2658008205.29
212,5316016410.57
2121,1772005470.19
21211,1772005470.19
212111,590668490.064
212112,590668490.064
212113,590668490.064
2122,1772005470.19
21221,443001367.548
212210,443001367.548
21222,443001367.548
212221,221500683.774
212222,221500683.774
21223,443001367.548
212231,221500683.774
212234,221500683.774
21229,443001367.548
212291,221500683.774
212299,221500683.774
2123,1772005470.19
21231,590668490.064
212311,147667122.516
212312,147667122.516
212313,147667122.516
212319,147667122.516
21232,590668490.064
212321,147667122.516
212322,147667122.516
212324,147667122.516
212325,147667122.516
21239,590668490.064
212391,147667122.516
212392,147667122.516
212393,147667122.516
212399,147667122.516
