"Page: 89  March 12, 2015"
""
"L.113 Banks in U.S.-Affiliated Areas 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Banks in U.S.-affiliated areas; total financial assets","      79.9","      75.8","      75.8","      84.7","      91.6","      83.9","      84.7","      81.5","      83.9","      81.0","      91.6","    1",
"Banks in U.S.-affiliated areas; credit market instruments; asset","      68.9","      64.0","      63.9","      64.1","      58.6","      62.7","      64.1","      64.1","      61.5","      59.7","      58.6","    2",
"Banks in U.S.-affiliated areas; Treasury securities; asset","       1.1","       1.0","       0.4","       1.2","       1.3","       0.6","       1.2","       1.3","       0.8","       1.3","       1.3","    3",
"Banks in U.S.-affiliated areas; agency- and GSE-backed securities; asset","      12.8","       4.8","       2.6","       1.9","       1.7","       1.9","       1.9","       1.8","       1.8","       1.8","       1.7","    4",
"Banks in U.S.-affiliated areas; municipal securities and loans; asset","       2.5","       3.4","       2.6","       3.6","       2.7","       3.5","       3.6","       3.4","       2.7","       2.6","       2.7","    5",
"Banks in U.S.-affiliated areas; corporate and foreign bonds; asset","       0.6","       4.2","       5.2","       5.8","       5.3","       5.6","       5.8","       6.4","       6.3","       5.7","       5.3","    6",
"Banks in U.S.-affiliated areas; depository institution loans n.e.c.; asset","      16.1","      17.1","      18.1","      19.4","      17.1","      19.5","      19.4","      19.2","      18.1","      17.4","      17.1","    7",
"Banks in U.S.-affiliated areas; home mortgages; asset","      20.1","      17.8","      20.0","      18.9","      17.4","      19.1","      18.9","      18.4","      18.3","      17.6","      17.4","    8",
"Banks in U.S.-affiliated areas; commercial mortgages; asset","      15.7","      15.6","      14.9","      13.5","      13.0","      12.5","      13.5","      13.6","      13.5","      13.3","      13.0","    9",
"Banks in U.S.-affiliated areas; unidentified miscellaneous assets","      11.0","      11.8","      12.0","      20.5","      33.1","      21.2","      20.5","      17.4","      22.5","      21.3","      33.1","   10",
"Banks in U.S.-affiliated areas; total liabilities","      75.2","      72.1","      72.0","      80.5","      87.6","      81.7","      80.5","      78.0","      80.8","      77.1","      87.6","   11",
"Banks in U.S.-affiliated areas; net interbank transactions; liability","      -3.3","      -4.6","      -4.9","      -4.7","      -5.3","      -5.0","      -4.7","      -5.5","      -5.8","      -5.2","      -5.3","   12",
"Banks in U.S.-affiliated areas; checkable deposits; liability","      16.6","      19.4","      21.9","      28.2","      33.4","      27.7","      28.2","      27.3","      28.6","      27.8","      33.4","   13",
"Banks in U.S.-affiliated areas; small time and savings deposits; liability","      19.3","      18.9","      18.8","      21.4","      23.4","      21.7","      21.4","      20.7","      21.4","      20.9","      23.4","   14",
"Banks in U.S.-affiliated areas; large time deposits; liability","      19.3","      18.9","      18.8","      21.4","      23.4","      21.7","      21.4","      20.7","      21.4","      20.9","      23.4","   15",
"Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities","      23.3","      19.4","      17.3","      14.3","      12.7","      15.7","      14.3","      14.8","      15.3","      12.6","      12.7","   16",
