Codes:,depreciation,total_net_income,total_net_loss
42511,20761500.033,372011000.0,9204500.03302
425110,20761500.033,372011000.0,9204500.03302
42512,20761500.033,372011000.0,9204500.03302
425120,20761500.033,372011000.0,9204500.03302
44.45,4176546046.64,15074676000.0,4760800046.64
441,584297130.494,3358753875.32,726867881.137
4411,194765710.165,1119584625.11,242289293.712
44111,97382855.0823,559792312.554,121144646.856
441110,97382855.0823,559792312.554,121144646.856
44112,97382855.0823,559792312.554,121144646.856
441120,97382855.0823,559792312.554,121144646.856
4412,194765710.165,1119584625.11,242289293.712
44121,97382855.0823,559792312.554,121144646.856
441210,97382855.0823,559792312.554,121144646.856
44122,97382855.0823,559792312.554,121144646.856
441222,48691427.5412,279896156.277,60572323.4281
441228,48691427.5412,279896156.277,60572323.4281
4413,194765710.165,1119584625.11,242289293.712
44131,97382855.0823,559792312.554,121144646.856
441310,97382855.0823,559792312.554,121144646.856
44132,97382855.0823,559792312.554,121144646.856
441320,97382855.0823,559792312.554,121144646.856
442,146205030.865,708973970.511,160657971.886
4421,73102515.4324,354486985.255,80328985.9431
44211,73102515.4324,354486985.255,80328985.9431
442110,73102515.4324,354486985.255,80328985.9431
4422,73102515.4324,354486985.255,80328985.9431
44221,36551257.7162,177243492.628,40164492.9715
442210,36551257.7162,177243492.628,40164492.9715
44229,36551257.7162,177243492.628,40164492.9715
442291,18275628.8581,88621746.3138,20082246.4858
442299,18275628.8581,88621746.3138,20082246.4858
443,24707022.7173,276534978.295,274373979.307
4431,24707022.7173,276534978.295,274373979.307
44314,24707022.7173,276534978.295,274373979.307
443141,12353511.3586,138267489.148,137186989.654
443142,12353511.3586,138267489.148,137186989.654
444,109759099.051,515978905.363,271637909.777
4441,109759099.051,515978905.363,271637909.777
44413,33220094.9624,156168084.314,82214934.6726
444130,33220094.9624,156168084.314,82214934.6726
44419,76539004.0884,359810821.05,189422975.105
444190,76539004.0884,359810821.05,189422975.105
445,1155485161.48,1982578845.72,665226852.915
4451,45595.9689125,78233.461086,26250.1535428
44511,22797.9844562,39116.730543,13125.0767714
445110,22797.9844562,39116.730543,13125.0767714
44512,22797.9844562,39116.730543,13125.0767714
445120,22797.9844562,39116.730543,13125.0767714
4452,45595.9689125,78233.461086,26250.1535428
44521,11398.9922281,19558.3652715,6562.53838571
445210,11398.9922281,19558.3652715,6562.53838571
44522,11398.9922281,19558.3652715,6562.53838571
445220,11398.9922281,19558.3652715,6562.53838571
44523,11398.9922281,19558.3652715,6562.53838571
445230,11398.9922281,19558.3652715,6562.53838571
44529,11398.9922281,19558.3652715,6562.53838571
445291,3799.66407604,6519.4550905,2187.51279524
445292,3799.66407604,6519.4550905,2187.51279524
445299,3799.66407604,6519.4550905,2187.51279524
4453,1155393969.54,1982422378.8,665174352.608
44531,1155393969.54,1982422378.8,665174352.608
445310,1155393969.54,1982422378.8,665174352.608
446,211271087.826,1253567916.09,374949920.002
4461,211271087.826,1253567916.09,374949920.002
44611,52817771.9565,313391979.022,93737480.0004
446110,52817771.9565,313391979.022,93737480.0004
44612,52817771.9565,313391979.022,93737480.0004
446120,52817771.9565,313391979.022,93737480.0004
44613,52817771.9565,313391979.022,93737480.0004
446130,52817771.9565,313391979.022,93737480.0004
44619,52817771.9565,313391979.022,93737480.0004
446191,26408885.9783,156695989.511,46868740.0002
446199,26408885.9783,156695989.511,46868740.0002
447,796739041.232,1416149960.61,370580962.443
4471,796739041.232,1416149960.61,370580962.443
44711,398369520.616,708074980.303,185290481.222
447110,398369520.616,708074980.303,185290481.222
44719,398369520.616,708074980.303,185290481.222
447190,398369520.616,708074980.303,185290481.222
448,179420094.15,820333910.045,557022914.241
4481,59806698.0501,273444636.682,185674304.747
44811,9967783.00834,45574106.1136,30945717.4578
448110,9967783.00834,45574106.1136,30945717.4578
44812,9967783.00834,45574106.1136,30945717.4578
448120,9967783.00834,45574106.1136,30945717.4578
44813,9967783.00834,45574106.1136,30945717.4578
448130,9967783.00834,45574106.1136,30945717.4578
44814,9967783.00834,45574106.1136,30945717.4578
448140,9967783.00834,45574106.1136,30945717.4578
44815,9967783.00834,45574106.1136,30945717.4578
448150,9967783.00834,45574106.1136,30945717.4578
44819,9967783.00834,45574106.1136,30945717.4578
448190,9967783.00834,45574106.1136,30945717.4578
4482,59806698.0501,273444636.682,185674304.747
44821,59806698.0501,273444636.682,185674304.747
448210,59806698.0501,273444636.682,185674304.747
4483,59806698.0501,273444636.682,185674304.747
44831,29903349.025,136722318.341,92837152.3735
448310,29903349.025,136722318.341,92837152.3735
44832,29903349.025,136722318.341,92837152.3735
448320,29903349.025,136722318.341,92837152.3735
451,172653030.957,451339970.423,339991971.802
4511,86326515.4784,225669985.211,169995985.901
45111,21581628.8696,56417496.3028,42498996.4753
451110,21581628.8696,56417496.3028,42498996.4753
45112,21581628.8696,56417496.3028,42498996.4753
451120,21581628.8696,56417496.3028,42498996.4753
45113,21581628.8696,56417496.3028,42498996.4753
451130,21581628.8696,56417496.3028,42498996.4753
45114,21581628.8696,56417496.3028,42498996.4753
451140,21581628.8696,56417496.3028,42498996.4753
4512,86326515.4784,225669985.211,169995985.901
45121,86326515.4784,225669985.211,169995985.901
451211,43163257.7392,112834992.606,84997992.9506
451212,43163257.7392,112834992.606,84997992.9506
452,146049248.352,652597762.715,8515773.78244
4521,73024624.1762,326298881.357,4257886.89122
45211,73024624.1762,326298881.357,4257886.89122
452111,36512312.0881,163149440.679,2128943.44561
452112,36512312.0881,163149440.679,2128943.44561
4529,73024624.1762,326298881.357,4257886.89122
45291,36512312.0881,163149440.679,2128943.44561
452910,36512312.0881,163149440.679,2128943.44561
45299,36512312.0881,163149440.679,2128943.44561
452990,36512312.0881,163149440.679,2128943.44561
453,221010038.637,1083129963.09,412481964.807
4531,55252509.6592,270782490.771,103120491.202
45311,55252509.6592,270782490.771,103120491.202
453110,55252509.6592,270782490.771,103120491.202
4532,55252509.6592,270782490.771,103120491.202
45321,27626254.8296,135391245.386,51560245.6009
453210,27626254.8296,135391245.386,51560245.6009
45322,27626254.8296,135391245.386,51560245.6009
453220,27626254.8296,135391245.386,51560245.6009
4533,55252509.6592,270782490.771,103120491.202
45331,55252509.6592,270782490.771,103120491.202
453310,55252509.6592,270782490.771,103120491.202
4539,55252509.6592,270782490.771,103120491.202
45391,13813127.4148,67695622.6928,25780122.8004
453910,13813127.4148,67695622.6928,25780122.8004
45392,13813127.4148,67695622.6928,25780122.8004
453920,13813127.4148,67695622.6928,25780122.8004
45393,13813127.4148,67695622.6928,25780122.8004
453930,13813127.4148,67695622.6928,25780122.8004
45399,13813127.4148,67695622.6928,25780122.8004
453991,6906563.7074,33847811.3464,12890061.4002
453998,6906563.7074,33847811.3464,12890061.4002
454,428950060.885,2554735941.83,598491944.542
4541,142983353.628,851578647.276,199497314.847
45411,142983353.628,851578647.276,199497314.847
454111,47661117.8761,283859549.092,66499104.9491
454112,47661117.8761,283859549.092,66499104.9491
454113,47661117.8761,283859549.092,66499104.9491
4542,142983353.628,851578647.276,199497314.847
45421,142983353.628,851578647.276,199497314.847
454210,142983353.628,851578647.276,199497314.847
4543,142983353.628,851578647.276,199497314.847
45431,71491676.8141,425789323.638,99748657.4237
