age	hours_pct	mean_hrs	num_obs
"21"	1.00000	0.00000	516783.65000
"21"	3.00000	116.44424	91273.52000
"21"	4.00000	299.81519	321547.56000
"21"	5.00000	353.25833	185904.04000
"21"	6.00000	393.91974	225723.41000
"21"	7.00000	418.70096	81147.93000
"21"	8.00000	470.86050	427620.97000
"21"	10.00000	513.74353	317684.20000
"21"	11.00000	536.25836	47149.02000
"21"	12.00000	585.23126	368757.73000
"21"	13.00000	622.92065	65864.55000
"21"	14.00000	638.52948	199143.11000
"21"	15.00000	673.13043	199001.45000
"21"	16.00000	720.08746	173930.77000
"21"	17.00000	770.70251	361478.97000
"21"	18.00000	799.55896	289880.67000
"21"	20.00000	843.44592	152526.33000
"21"	21.00000	896.84357	224839.86000
"21"	22.00000	952.06189	298569.13000
"21"	23.00000	993.55133	203166.36000
"21"	24.00000	1038.98914	996112.72000
"21"	29.00000	1066.31689	108924.58000
"21"	30.00000	1120.47241	198533.79000
"21"	31.00000	1192.31494	398226.44000
"21"	33.00000	1246.64624	201215.73000
"21"	34.00000	1295.49890	650914.46000
"21"	37.00000	1346.19214	150711.09000
"21"	38.00000	1398.78210	192271.77000
"21"	39.00000	1436.94470	201581.74000
"21"	40.00000	1482.20288	208716.37000
"21"	41.00000	1555.35950	882666.01000
"21"	45.00000	1597.38501	334718.02000
"21"	47.00000	1650.04712	235088.42000
"21"	48.00000	1695.16980	177734.22000
"21"	49.00000	1757.18152	179496.96000
"21"	50.00000	1816.35852	944959.85000
"21"	54.00000	1839.33435	79922.59000
"21"	55.00000	1900.71411	390502.10000
"21"	57.00000	1956.03162	294923.25000
"21"	58.00000	1998.94910	242514.92000
"21"	59.00000	2033.12610	88539.99000
"21"	60.00000	2079.97632	6007680.19000
"21"	90.00000	2187.66650	197502.15000
"21"	91.00000	2333.36011	456674.58000
"21"	93.00000	2458.52612	159373.12000
"21"	94.00000	2594.31665	565125.46000
"21"	96.00000	2659.30688	22280.85000
"21"	97.00000	2798.39600	273153.45000
"21"	98.00000	3087.90381	319749.25000
"21"	99.00000	3231.01733	10830.14000
"21"	100.00000	3804.93628	200794.54000
"22"	1.00000	0.00000	678926.70000
"22"	3.00000	136.40363	114668.64000
"22"	4.00000	286.76642	245825.76000
"22"	5.00000	336.96204	328296.65000
"22"	6.00000	395.47491	263484.56000
"22"	7.00000	429.74487	193036.85000
"22"	8.00000	477.82236	368889.75000
"22"	9.00000	514.06012	328001.40000
"22"	10.00000	550.22626	118927.11000
"22"	11.00000	594.69446	251375.45000
"22"	12.00000	634.36554	338541.56000
"22"	13.00000	665.89270	189387.30000
"22"	14.00000	712.57843	261704.13000
"22"	15.00000	768.29895	435096.61000
"22"	16.00000	799.54590	394010.25000
"22"	18.00000	835.04614	171900.03000
"22"	19.00000	889.99469	285852.52000
"22"	20.00000	947.47784	475904.93000
"22"	21.00000	971.01245	11334.08000
"22"	22.00000	998.60419	266099.97000
"22"	23.00000	1039.95996	1214741.29000
"22"	27.00000	1050.00000	79262.01000
"22"	28.00000	1104.83936	273551.21000
"22"	29.00000	1184.32935	552894.24000
"22"	31.00000	1244.49719	238897.44000
"22"	32.00000	1294.76001	797681.42000
"22"	35.00000	1371.14368	399216.30000
"22"	36.00000	1432.33972	263551.76000
"22"	37.00000	1461.15662	70666.61000
"22"	38.00000	1550.53601	1183596.60000
"22"	42.00000	1598.25928	502674.02000
"22"	44.00000	1651.28992	198072.70000
"22"	45.00000	1697.68420	251048.57000
"22"	46.00000	1754.66321	258354.02000
"22"	47.00000	1815.19751	1105646.96000
"22"	51.00000	1855.66028	233885.80000
"22"	52.00000	1913.89697	333582.60000
"22"	53.00000	1924.00000	105027.37000
"22"	54.00000	1970.07373	254714.02000
"22"	55.00000	1998.52783	282343.39000
"22"	56.00000	2079.21655	8392805.80000
"22"	88.00000	2167.38623	144799.92000
"22"	89.00000	2318.39429	886364.03000
"22"	92.00000	2456.48022	230158.14000
"22"	93.00000	2595.87842	847615.31000
"22"	96.00000	2690.21948	159373.36000
"22"	97.00000	2836.04590	232510.84000
"22"	98.00000	3100.42334	423203.00000
"22"	99.00000	3328.85767	78477.09000
"22"	100.00000	4132.39111	258712.74000
"23"	1.00000	0.00000	860842.30000
"23"	3.00000	66.00184	86761.32000
"23"	4.00000	276.63510	422505.10000
"23"	5.00000	381.65952	340348.51000
"23"	6.00000	436.30820	187777.22000
"23"	7.00000	479.87363	328960.75000
"23"	8.00000	513.35223	314469.38000
"23"	9.00000	578.19006	396818.61000
"23"	10.00000	635.19885	320833.52000
"23"	11.00000	676.46619	232312.57000
"23"	12.00000	731.20166	298485.95000
"23"	13.00000	790.38300	606854.49000
"23"	14.00000	828.93378	71692.88000
"23"	15.00000	875.32123	390442.76000
"23"	16.00000	947.06049	378693.10000
"23"	17.00000	994.59198	298277.63000
"23"	18.00000	1039.28943	1294983.58000
"23"	22.00000	1065.59656	157101.13000
"23"	23.00000	1116.69153	280390.98000
"23"	24.00000	1190.57947	577268.79000
"23"	25.00000	1219.93958	45919.60000
"23"	26.00000	1266.72644	421622.08000
"23"	27.00000	1299.80676	607520.92000
"23"	29.00000	1345.35852	243048.12000
"23"	30.00000	1421.45312	562445.18000
"23"	31.00000	1455.06921	63697.21000
"23"	32.00000	1548.44299	1371803.08000
"23"	36.00000	1597.52112	526666.18000
"23"	38.00000	1652.00623	311944.48000
"23"	39.00000	1709.42944	317410.85000
"23"	40.00000	1778.19849	461085.57000
