"Page: 109  March 12, 2015"
""
"L.201 Special Drawing Rights SDRs Certificates and Treasury Currency"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Monetary authority; SDR certificates issued by federal government; asset","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","    1",
"Monetary authority; SDR certificates issued by federal government; asset","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","       5.2","    2",
"Federal government; Treasury currency; liability","      25.9","      25.9","      25.9","      25.6","      25.3","      25.6","      25.6","      25.6","      25.6","      25.3","      25.3","    3",
"Monetary authority; Treasury currency; asset","      43.5","      44.2","      44.8","      45.5","      46.3","      45.3","      45.5","      45.7","      46.0","      46.2","      46.3","    4",
"Instrument discrepancies; Treasury currency (seigniorage)","     -17.6","     -18.3","     -18.8","     -19.9","     -21.0","     -19.8","     -19.9","     -20.2","     -20.4","     -20.8","     -21.0","    5",
