,Codes:,Interest_Income
0,1.0,647877000000.0
1,11.0,15017046357.707891
2,111.0,3003409271.5415783
3,1111.0,600681854.3083156
4,11111.0,85811693.47261652
5,111110.0,85811693.47261652
6,11112.0,85811693.47261652
7,111120.0,85811693.47261652
8,11113.0,85811693.47261652
9,111130.0,85811693.47261652
10,11114.0,85811693.47261652
11,111140.0,85811693.47261652
12,11115.0,85811693.47261652
13,111150.0,85811693.47261652
14,11116.0,85811693.47261652
15,111160.0,85811693.47261652
16,11119.0,85811693.47261652
17,111191.0,42905846.73630826
18,111199.0,42905846.73630826
19,1112.0,600681854.3083156
20,11121.0,600681854.3083156
21,111211.0,300340927.1541578
22,111219.0,300340927.1541578
23,1113.0,600681854.3083156
24,11131.0,200227284.76943853
25,111310.0,200227284.76943853
26,11132.0,200227284.76943853
27,111320.0,200227284.76943853
28,11133.0,200227284.76943853
29,111331.0,28603897.824205507
30,111332.0,28603897.824205507
31,111333.0,28603897.824205507
32,111334.0,28603897.824205507
33,111335.0,28603897.824205507
34,111336.0,28603897.824205507
35,111339.0,28603897.824205507
36,1114.0,600681854.3083156
37,11141.0,300340927.1541578
38,111411.0,150170463.5770789
39,111419.0,150170463.5770789
40,11142.0,300340927.1541578
41,111421.0,150170463.5770789
42,111422.0,150170463.5770789
43,1119.0,600681854.3083156
44,11191.0,120136370.86166313
45,111910.0,120136370.86166313
46,11192.0,120136370.86166313
47,111920.0,120136370.86166313
48,11193.0,120136370.86166313
49,111930.0,120136370.86166313
50,11194.0,120136370.86166313
51,111940.0,120136370.86166313
52,11199.0,120136370.86166313
53,111991.0,40045456.95388771
54,111992.0,40045456.95388771
55,111998.0,40045456.95388771
56,112.0,3003409271.5415783
57,1121.0,500568211.9235964
58,11211.0,166856070.64119878
59,112111.0,83428035.32059939
60,112112.0,83428035.32059939
61,11212.0,166856070.64119878
62,112120.0,166856070.64119878
63,11213.0,166856070.64119878
64,112130.0,166856070.64119878
65,1122.0,500568211.9235964
66,11221.0,500568211.9235964
67,112210.0,500568211.9235964
68,1123.0,500568211.9235964
69,11231.0,100113642.38471928
70,112310.0,100113642.38471928
71,11232.0,100113642.38471928
72,112320.0,100113642.38471928
73,11233.0,100113642.38471928
74,112330.0,100113642.38471928
75,11234.0,100113642.38471928
76,112340.0,100113642.38471928
77,11239.0,100113642.38471928
78,112390.0,100113642.38471928
79,1124.0,500568211.9235964
80,11241.0,250284105.9617982
81,112410.0,250284105.9617982
82,11242.0,250284105.9617982
83,112420.0,250284105.9617982
84,1125.0,500568211.9235964
85,11251.0,500568211.9235964
86,112511.0,166856070.64119878
87,112512.0,166856070.64119878
88,112519.0,166856070.64119878
89,1129.0,500568211.9235964
90,11291.0,125142052.9808991
91,112910.0,125142052.9808991
92,11292.0,125142052.9808991
93,112920.0,125142052.9808991
94,11293.0,125142052.9808991
95,112930.0,125142052.9808991
96,11299.0,125142052.9808991
97,112990.0,125142052.9808991
98,113.0,3003409271.5415783
99,1131.0,1001136423.8471928
100,11311.0,1001136423.8471928
101,113110.0,1001136423.8471928
102,1132.0,1001136423.8471928
103,11321.0,1001136423.8471928
104,113210.0,1001136423.8471928
105,1133.0,1001136423.8471928
106,11331.0,1001136423.8471928
107,113310.0,1001136423.8471928
108,114.0,3003409271.5415783
109,1141.0,1501704635.7707891
110,11411.0,1501704635.7707891
111,114111.0,500568211.9235964
112,114112.0,500568211.9235964
113,114119.0,500568211.9235964
114,1142.0,1501704635.7707891
115,11421.0,1501704635.7707891
116,114210.0,1501704635.7707891
117,115.0,3003409271.5415783
118,1151.0,1001136423.8471928
119,11511.0,1001136423.8471928
120,115111.0,166856070.64119878
121,115112.0,166856070.64119878
122,115113.0,166856070.64119878
123,115114.0,166856070.64119878
124,115115.0,166856070.64119878
125,115116.0,166856070.64119878
126,1152.0,1001136423.8471928
127,11521.0,1001136423.8471928
128,115210.0,1001136423.8471928
129,1153.0,1001136423.8471928
130,11531.0,1001136423.8471928
131,115310.0,1001136423.8471928
132,21.0,15948049231.719082
133,211.0,5316016410.573028
134,2111.0,5316016410.573028
135,21111.0,5316016410.573028
136,211111.0,2658008205.286514
137,211112.0,2658008205.286514
138,212.0,5316016410.573028
139,2121.0,1772005470.1910093
140,21211.0,1772005470.1910093
141,212111.0,590668490.0636698
142,212112.0,590668490.0636698
143,212113.0,590668490.0636698
144,2122.0,1772005470.1910093
145,21221.0,443001367.5477523
146,212210.0,443001367.5477523
147,21222.0,443001367.5477523
