NAICS,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,s_corporations,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,c_corporations,corporate_limited_partners,sole_proprietorships,tax_exempt_limited_partners
[[111331]],474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
[[111332]],474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
[[111333]],474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
[[111334]],474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
[[111335]],474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
[[111336]],474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
[[111339]],474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
[[1114]],9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
[[11141]],4984329.26,607924281,1785835697,5310159986,695278857.1,524768724,37150594.41,1316280727,61703490.98,4620215960,488158838.4,194624597.9,10556557.08
[[111411]],2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
[[111419]],2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
[[11142]],4984329.26,607924281,1785835697,5310159986,695278857.1,524768724,37150594.41,1316280727,61703490.98,4620215960,488158838.4,194624597.9,10556557.08
[[111421]],2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
[[111422]],2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
[[1119]],9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
