YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_POS_IND,NET_INCM_POS,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2011,4,1,2,0,368074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63982952,0,59799875,0,3501,0,1598611,0,2580965,0,51362161,0,17372701,0,4408367,0,5910251,0,543342,0,111118,0,2691689,0,1438585,0,372807,0,48453,0,710417,1,193,0,600208,0,312736,0,427754,0,209046,0,16204493,0,12620790,0,22500970,0,22695675,1,194705,0,12617289,0,9870954,0,37178,0,64776,0,2122,0,-30703,0,9797582,0,-17861,0,20664,0,38525,0,30588,1,30638,1,50,1,20834,1,20256,0,577
2011,4,1,1,0,2564129,0,2407419127,0,367840291,0,635582968,0,11350298,0,311654424,0,53812239,0,27489977,0,122798551,0,41213641,0,50172437,0,270584598,0,1013515396,0,672443308,0,12278711,0,5753432,0,52145967,0,112118793,0,41125387,0,66883558,0,2407419127,0,351237536,0,180186849,0,499741882,0,95376346,0,327497385,0,104143598,0,849235532,0,46267729,0,145359776,0,706796943,0,49188916,0,5055620476,0,4940430764,0,1279919,0,12081894,0,101827899,0,4675568791,0,3039902871,0,193356023,0,502390978,0,28806204,0,7959455,0,118954888,0,95150123,0,28729257,0,6949149,0,70457750,0,525181,0,38253947,0,20561353,0,45164826,0,535729,0,477871056,0,380051684,0,427777504,0,428665788,0,888284,0,378771765,0,47015375,0,5361404,0,6188811,0,951732,0,36100,0,34477328,0,1611332,0,2485585,0,874253,0,379032,0,875928,0,496895,0,267694,0,198995,0,63978
2011,4,11,12,0,29,0,7256536,0,444088,0,1149738,0,5358,0,2217529,0,6474,0,191219,0,219901,0,6826,0,7011,0,1101748,0,3506589,0,2119720,0,14,0,14,0,413337,0,43672,0,10590,0,84071,0,7256536,0,474110,0,1162639,0,612284,0,78691,0,1325725,0,356735,0,3246351,0,149063,0,250856,0,3062969,0,216537,0,9761215,0,9640513,0,8071,0,7395,0,105237,0,9279194,0,6814594,0,50918,0,459177,0,43284,0,2962,0,61394,0,124693,0,101409,0,15816,0,267617,0,10767,0,27140,0,11349,0,63145,0,41,0,1224888,0,482021,0,676495,0,676734,0,239,0,473951,0,200400,0,121277,0,28109,0,536,0,-387,0,50865,0,1961,0,4354,0,2393,0,183,0,184,0,1,0,725,0,725,0,0
2011,4,11,11,0,47,0,3338793,0,284342,0,582422,0,1862,0,639495,0,23869,0,0,0,133640,0,132544,0,8121,0,429795,0,2082709,0,1292662,0,1040,0,961,0,237592,0,76382,0,5432,0,7759,0,3338793,0,255801,0,376354,0,224387,0,72605,0,569259,0,11842,0,1828545,0,33880,0,213819,0,1613779,0,32932,0,4448216,0,4385515,0,76,0,3538,0,59087,0,4051829,0,2645169,0,32887,0,253085,0,42512,0,1018,0,59092,0,49872,0,36142,0,11469,0,150311,0,0,0,4191,0,5742,0,30611,0,159,0,729569,0,396387,0,442829,0,442829,0,0,0,396311,0,41001,0,29453,0,10228,0,45,0,212,0,1062,0,4759,0,4989,0,230,0,759,0,759,4,,0,29702,0,21,0,29682
2011,4,11,10,0,91,0,3181701,0,401400,0,615585,1,4001,0,318878,0,0,1,18029,0,165368,1,32774,1,84930,0,504048,0,1613304,0,951557,1,56208,1,23989,0,303032,1,5180,1,1845,0,44357,0,3181701,0,237930,0,457771,0,137479,1,114817,0,405183,0,71085,0,1757436,0,99985,0,269960,0,1410527,1,23036,0,3573024,0,3376497,1,2147,0,10097,0,184283,0,3248188,0,2115857,0,38079,0,219982,0,36547,1,900,0,50204,0,44056,0,27067,1,871,0,89950,0,0,0,6873,0,7536,0,20839,1,9,0,589418,0,324836,0,458560,0,458560,0,0,0,322690,0,112783,0,5206,0,14935,1,4171,1,-336,0,88806,0,22993,0,23225,1,232,1,96,1,96,0,0,0,0,0,0,0,0
2011,4,11,9,0,240,0,3996492,0,264562,0,507849,1,2045,0,1094440,0,0,1,11447,0,237702,0,88447,1,1295,0,291581,0,2648433,0,1776840,0,1874,0,0,0,521349,0,12003,0,5297,0,99691,0,3996492,0,294957,0,696316,0,374186,0,86310,0,728535,0,85690,0,1730498,0,98438,0,220713,0,1482436,0,71089,0,6908589,0,6529102,1,1093,0,25919,0,352475,0,6507223,0,4319026,0,72147,0,484886,0,102032,0,16619,0,186963,0,82535,0,55332,0,1644,0,256293,0,0,0,6728,0,18269,0,48837,1,125,0,855787,0,401367,0,447421,0,447834,1,413,0,400273,0,41996,0,25397,0,10110,0,0,0,1531,0,4959,0,3801,0,4775,1,974,1,1350,1,1350,0,0,1,22,1,22,0,0
2011,4,11,8,0,548,0,3725305,0,399729,0,648105,1,3931,0,441398,0,0,0,0,0,461735,1,4644,0,0,0,228489,0,3118706,0,2349022,0,0,0,0,0,272326,0,13368,0,10576,0,500335,0,3725305,0,143225,0,525390,0,305772,1,23270,0,445812,1,85,0,2281752,0,274483,0,511702,0,1675821,1,180254,0,7254054,0,5115373,1,101,0,36087,0,2102493,0,6567402,0,2351675,0,31534,0,713311,0,137404,1,271,0,349822,0,136376,0,36413,1,3542,0,379297,0,0,0,4314,1,2196,0,13413,1,562,0,2407271,0,686652,0,928498,0,928498,0,0,0,686551,0,235088,1,87367,0,11491,1,13626,1,142,1,122462,1,6793,1,6851,1,58,1,66,1,66,0,0,0,0,0,0,0,0
2011,4,11,7,0,5623,0,10334578,0,1387639,0,597090,0,5,0,1107627,0,0,1,8721,0,476744,0,792893,1,5771,0,750015,0,12547039,0,10444481,0,0,0,0,0,2456054,0,170258,0,61645,0,540859,0,10334578,0,727498,0,1066601,0,629794,0,771923,0,3723801,0,446614,0,2968347,0,568681,0,738941,0,1934631,0,273907,0,19980251,0,17741666,1,2140,0,89776,0,2146669,0,18064158,0,8533131,0,243116,0,1395167,0,533159,1,412,0,785352,0,297464,0,225509,0,12294,0,750757,0,0,0,13317,1,3877,0,96384,0,0,0,5174216,0,1916093,0,2062693,0,2062693,0,0,0,1913953,0,111528,0,8337,0,21364,1,1566,1,-3680,0,83941,0,30422,0,30422,0,0,1,6788,1,6788,0,0,1,3992,1,3992,0,0
2011,4,11,6,0,5874,0,4207692,0,864571,1,187381,0,0,1,250660,0,0,0,0,0,299533,0,463925,1,76554,0,321745,0,5071792,0,4470041,0,0,0,0,0,769469,1,10343,1,5677,0,367438,0,4207692,1,21499,0,649975,0,39585,1,247112,0,1388091,1,142137,0,1719293,0,480253,0,806384,0,432663,0,7,0,6986346,0,5678165,0,0,0,39760,0,1268421,0,6061928,0,1671533,0,174282,0,613416,0,211193,1,1652,0,426342,0,122399,0,90854,1,1030,0,330706,0,0,0,8575,1,8086,0,55448,0,0,0,2346413,0,924418,0,1351231,0,1351231,0,0,0,924418,0,10931,1,230,0,11797,0,0,0,0,1,-1097,1,2072,1,2208,1,136,1,413810,1,413810,0,0,0,0,0,0,0,0
2011,4,11,5,0,7005,0,2537201,0,679478,1,77944,0,0,1,161618,0,0,0,0,0,70881,1,123373,0,0,1,154653,0,5837823,0,4946825,0,0,0,0,1,281295,1,128763,1,32327,1,526,0,2537201,1,53921,1,429863,0,91542,1,74916,0,450744,0,0,0,1436216,0,447726,1,268318,0,880470,1,160298,0,6358499,0,5325900,0,0,1,1208,0,1031392,0,5629374,1,991333,0,166560,0,403766,0,352109,0,0,0,206804,0,130980,0,49744,1,66128,0,394872,0,0,1,12883,1,242,1,14974,1,1367,0,2837613,0,729125,0,778612,0,778612,0,0,0,729125,0,41943,1,1501,0,5867,0,0,0,0,1,34576,1,7544,1,7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
