,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-0.16635554379273196,-0.14040130866007566,-0.2180557440466884,-0.2239654374803033,-0.2118371035926985,-0.18775169214956336,-0.1616284331573585,-0.12386545516293018,-0.09760311664118973,-0.069471011101674,-0.16172811176877855,-0.3861436403588098
1,Consumption ($C_t$),-0.07530014570822724,1.0468073873513029,0.13009845901663253,-0.12645655973561168,-0.24384416529565225,-0.3241913926119608,-0.36705030147374307,-0.4222798001141627,-0.43132048347045826,-0.43760687587988617,-0.12200363288698232,-0.7176647347099433
2,Capital Stock ($K_t$),-0.3732724348049064,-0.40849254749745656,-0.6565610977562306,-0.7290161628804195,-0.7491742396665083,-0.7385355899656354,-0.7115760527973285,-0.6446601969813042,-0.5962767735379497,-0.5401084524490383,-0.6154194530610371,-1.5067823089521644
3,Labor ($L_t$),-0.05476101397083137,0.004254047223222951,0.018863382946729276,0.04904795234869541,0.07870160577676932,0.11008825680638784,0.13575686193674213,0.15769113901529933,0.1719475472113853,0.18486943862798907,0.08235508695789451,0.22254945361204498
4,Real interest rate ($r_t$),-3.0507761756233234,-2.943979896629022,-2.6397659821720576,-2.5217101660448527,-2.465372812369692,-2.4510006644565827,-2.45278932342831,-2.5797369202062117,-2.6092873042067666,-2.6524812797152464,-2.6393102850673085,-1.402196123712456
5,Wage rate,-0.11164693964863079,-0.14464163205794217,-0.23686810732535735,-0.2728733566390467,-0.2903038746647768,-0.2975057081056011,-0.29697500879436345,-0.28110550834390297,-0.26907961252873136,-0.25386268415651303,-0.2458874922260457,-0.6073413074815758
