Codes:,depreciation,total_net_income,total_net_loss
1,136841830000.0,1.068043099e+12,290118622000.0
11,1982112243.29,21516206527.5,8612132474.06
111,1603568272.48,19072515204.9,7313825762.6
1111,320713654.497,3814503040.97,1462765152.52
11111,45816236.3567,544929005.853,208966450.36
111110,45816236.3567,544929005.853,208966450.36
11112,45816236.3567,544929005.853,208966450.36
111120,45816236.3567,544929005.853,208966450.36
11113,45816236.3567,544929005.853,208966450.36
111130,45816236.3567,544929005.853,208966450.36
11114,45816236.3567,544929005.853,208966450.36
111140,45816236.3567,544929005.853,208966450.36
11115,45816236.3567,544929005.853,208966450.36
111150,45816236.3567,544929005.853,208966450.36
11116,45816236.3567,544929005.853,208966450.36
111160,45816236.3567,544929005.853,208966450.36
11119,45816236.3567,544929005.853,208966450.36
111191,22908118.1783,272464502.927,104483225.18
111199,22908118.1783,272464502.927,104483225.18
1112,320713654.497,3814503040.97,1462765152.52
11121,320713654.497,3814503040.97,1462765152.52
111211,160356827.248,1907251520.49,731382576.26
111219,160356827.248,1907251520.49,731382576.26
1113,320713654.497,3814503040.97,1462765152.52
11131,106904551.499,1271501013.66,487588384.173
111310,106904551.499,1271501013.66,487588384.173
11132,106904551.499,1271501013.66,487588384.173
111320,106904551.499,1271501013.66,487588384.173
11133,106904551.499,1271501013.66,487588384.173
111331,15272078.7856,181643001.951,69655483.4533
111332,15272078.7856,181643001.951,69655483.4533
111333,15272078.7856,181643001.951,69655483.4533
111334,15272078.7856,181643001.951,69655483.4533
111335,15272078.7856,181643001.951,69655483.4533
111336,15272078.7856,181643001.951,69655483.4533
111339,15272078.7856,181643001.951,69655483.4533
1114,320713654.497,3814503040.97,1462765152.52
11141,160356827.248,1907251520.49,731382576.26
111411,80178413.6241,953625760.243,365691288.13
111419,80178413.6241,953625760.243,365691288.13
11142,160356827.248,1907251520.49,731382576.26
111421,80178413.6241,953625760.243,365691288.13
111422,80178413.6241,953625760.243,365691288.13
1119,320713654.497,3814503040.97,1462765152.52
11191,64142730.8993,762900608.194,292553030.504
111910,64142730.8993,762900608.194,292553030.504
11192,64142730.8993,762900608.194,292553030.504
111920,64142730.8993,762900608.194,292553030.504
11193,64142730.8993,762900608.194,292553030.504
111930,64142730.8993,762900608.194,292553030.504
11194,64142730.8993,762900608.194,292553030.504
111940,64142730.8993,762900608.194,292553030.504
11199,64142730.8993,762900608.194,292553030.504
111991,21380910.2998,254300202.731,97517676.8347
111992,21380910.2998,254300202.731,97517676.8347
111998,21380910.2998,254300202.731,97517676.8347
113,140108184.359,904468650.272,480534389.952
1131,46702728.1196,301489550.091,160178129.984
11311,46702728.1196,301489550.091,160178129.984
113110,46702728.1196,301489550.091,160178129.984
1132,46702728.1196,301489550.091,160178129.984
11321,46702728.1196,301489550.091,160178129.984
113210,46702728.1196,301489550.091,160178129.984
1133,46702728.1196,301489550.091,160178129.984
11331,46702728.1196,301489550.091,160178129.984
113310,46702728.1196,301489550.091,160178129.984
114,238435786.453,1539222672.37,817772321.512
1141,119217893.226,769611336.184,408886160.756
11411,119217893.226,769611336.184,408886160.756
114111,39739297.7421,256537112.061,136295386.919
114112,39739297.7421,256537112.061,136295386.919
114119,39739297.7421,256537112.061,136295386.919
1142,119217893.226,769611336.184,408886160.756
11421,119217893.226,769611336.184,408886160.756
114210,119217893.226,769611336.184,408886160.756
21,2862694594.75,22214838709.2,5975595376.86
211,954231531.582,7404946236.41,1991865125.62
2111,954231531.582,7404946236.41,1991865125.62
21111,954231531.582,7404946236.41,1991865125.62
211111,477115765.791,3702473118.21,995932562.811
211112,477115765.791,3702473118.21,995932562.811
212,954231531.582,7404946236.41,1991865125.62
2121,318077177.194,2468315412.14,663955041.874
21211,318077177.194,2468315412.14,663955041.874
212111,106025725.731,822771804.046,221318347.291
212112,106025725.731,822771804.046,221318347.291
212113,106025725.731,822771804.046,221318347.291
2122,318077177.194,2468315412.14,663955041.874
21221,79519294.2985,617078853.034,165988760.468
212210,79519294.2985,617078853.034,165988760.468
21222,79519294.2985,617078853.034,165988760.468
212221,39759647.1493,308539426.517,82994380.2342
212222,39759647.1493,308539426.517,82994380.2342
