Codes:,Financial_Income
311613,1672257472.24
311615,1672257472.24
3117,6689029888.95
31171,6689029888.95
311710,6689029888.95
3118,6689029888.95
31181,2229676629.65
311811,743225543.217
311812,743225543.217
311813,743225543.217
31182,2229676629.65
311821,1114838314.83
311824,1114838314.83
31183,2229676629.65
311830,2229676629.65
3119,6689029888.95
31191,1337805977.79
311911,668902988.895
311919,668902988.895
31192,1337805977.79
311920,1337805977.79
31193,1337805977.79
311930,1337805977.79
31194,1337805977.79
311941,668902988.895
311942,668902988.895
31199,1337805977.79
311991,668902988.895
311999,668902988.895
312,60201269000.6
3121,30100634500.3
31211,7525158625.07
312111,2508386208.36
312112,2508386208.36
312113,2508386208.36
31212,7525158625.07
312120,7525158625.07
31213,7525158625.07
312130,7525158625.07
31214,7525158625.07
312140,7525158625.07
3122,30100634500.3
31223,30100634500.3
312230,30100634500.3
313,60201269000.6
3131,20067089666.9
31311,20067089666.9
313110,20067089666.9
3132,20067089666.9
31321,5016772416.72
313210,5016772416.72
31322,5016772416.72
313220,5016772416.72
31323,5016772416.72
313230,5016772416.72
31324,5016772416.72
313240,5016772416.72
3133,20067089666.9
31331,10033544833.4
313310,10033544833.4
31332,10033544833.4
313320,10033544833.4
314,60201269000.6
3141,30100634500.3
31411,15050317250.1
314110,15050317250.1
31412,15050317250.1
314120,15050317250.1
3149,30100634500.3
31491,15050317250.1
314910,15050317250.1
31499,15050317250.1
314994,7525158625.07
314999,7525158625.07
315,60201269000.6
3151,20067089666.9
31511,10033544833.4
315110,10033544833.4
31519,10033544833.4
315190,10033544833.4
3152,20067089666.9
31521,5016772416.72
315210,5016772416.72
31522,5016772416.72
315220,5016772416.72
31524,5016772416.72
315240,5016772416.72
31528,5016772416.72
315280,5016772416.72
3159,20067089666.9
31599,20067089666.9
315990,20067089666.9
316,60201269000.6
3161,20067089666.9
31611,20067089666.9
316110,20067089666.9
3162,20067089666.9
31621,20067089666.9
316210,20067089666.9
3169,20067089666.9
31699,20067089666.9
316992,10033544833.4
316998,10033544833.4
321,89939711757.9
3211,29979903919.3
32111,29979903919.3
321113,14989951959.6
321114,14989951959.6
3212,29979903919.3
32121,29979903919.3
321211,5995980783.86
321212,5995980783.86
321213,5995980783.86
321214,5995980783.86
321219,5995980783.86
3219,29979903919.3
32191,9993301306.43
321911,3331100435.48
321912,3331100435.48
321918,3331100435.48
32192,9993301306.43
321920,9993301306.43
32199,9993301306.43
321991,3331100435.48
321992,3331100435.48
321999,3331100435.48
322,60201269000.6
3221,30100634500.3
32211,10033544833.4
322110,10033544833.4
32212,10033544833.4
322121,5016772416.72
322122,5016772416.72
32213,10033544833.4
322130,10033544833.4
3222,30100634500.3
32221,7525158625.07
322211,2508386208.36
322212,2508386208.36
322219,2508386208.36
32222,7525158625.07
322220,7525158625.07
32223,7525158625.07
322230,7525158625.07
32229,7525158625.07
322291,3762579312.54
322299,3762579312.54
323,60201269000.6
3231,60201269000.6
32311,30100634500.3
323111,10033544833.4
323113,10033544833.4
323117,10033544833.4
32312,30100634500.3
323120,30100634500.3
324,60201269000.6
3241,60201269000.6
32411,20067089666.9
324110,20067089666.9
32412,20067089666.9
324121,10033544833.4
324122,10033544833.4
32419,20067089666.9
324191,10033544833.4
324199,10033544833.4
325,60201269000.6
3251,8600181285.8
32511,1720036257.16
325110,1720036257.16
32512,1720036257.16
