Codes:,depreciation_deductions
212324,2419722.22222
212325,2419722.22222
21239,9678888.88889
212391,2419722.22222
212392,2419722.22222
212393,2419722.22222
212399,2419722.22222
213,320733000.0
2131,320733000.0
21311,320733000.0
213111,64146600.0
213112,64146600.0
213113,64146600.0
213114,64146600.0
213115,64146600.0
22,136008000.0
221,136008000.0
2212,136008000.0
22121,136008000.0
221210,136008000.0
23,9023649000.0
236,1576985245.49
2361,788492622.745
23611,788492622.745
236115,197123155.686
236116,197123155.686
236117,197123155.686
236118,197123155.686
2362,788492622.745
23621,394246311.373
236210,394246311.373
23622,394246311.373
236220,394246311.373
237,640183352.222
2372,640183352.222
23721,640183352.222
237210,640183352.222
238,6806480402.29
2382,6806480402.29
23821,3080740022.33
238210,3080740022.33
23822,3725740379.96
238220,3725740379.96
31.32.33,1805905000.0
311,254882064.949
3116,254882064.949
31161,254882064.949
311615,254882064.949
312,27.3292168647
3121,27.3292168647
31212,27.3292168647
312120,27.3292168647
313,19827504.3239
3131,6609168.10798
31311,6609168.10798
313110,6609168.10798
3132,6609168.10798
31321,1652292.02699
313210,1652292.02699
31322,1652292.02699
313220,1652292.02699
31323,1652292.02699
313230,1652292.02699
31324,1652292.02699
313240,1652292.02699
3133,6609168.10798
31331,3304584.05399
313310,3304584.05399
31332,3304584.05399
313320,3304584.05399
314,19827500.0
3141,9913750.0
31411,4956875.0
314110,4956875.0
31412,4956875.0
314120,4956875.0
3149,9913750.0
31491,4956875.0
314910,4956875.0
31499,4956875.0
314994,2478437.5
314999,2478437.5
315,97982003.3934
3151,3924.38163571
31511,1962.19081785
315110,1962.19081785
31519,1962.19081785
315190,1962.19081785
3152,3924.38163571
31521,981.095408927
315210,981.095408927
31522,981.095408927
315220,981.095408927
31524,981.095408927
315240,981.095408927
31528,981.095408927
315280,981.095408927
3159,97974154.6302
31599,97974154.6302
315990,97974154.6302
316,1561000.76942
3161,520333.589807
31611,520333.589807
316110,520333.589807
3162,520333.589807
31621,520333.589807
316210,520333.589807
3169,520333.589807
31699,520333.589807
316992,260166.794904
316998,260166.794904
321,160617009.101
3211,53539003.0336
32111,53539003.0336
321113,26769501.5168
321114,26769501.5168
3212,53539003.0336
32121,53539003.0336
321211,10707800.6067
321212,10707800.6067
321213,10707800.6067
321214,10707800.6067
321219,10707800.6067
3219,53539003.0336
32191,17846334.3445
321911,5948778.11485
321912,5948778.11485
321918,5948778.11485
32192,17846334.3445
321920,17846334.3445
32199,17846334.3445
321991,5948778.11485
321992,5948778.11485
321999,5948778.11485
322,31.0410100068
3221,15.5205050034
32211,5.1735016678
322110,5.1735016678
32212,5.1735016678
322121,2.5867508339
322122,2.5867508339
32213,5.1735016678
322130,5.1735016678
3222,15.5205050034
32221,3.88012625085
322211,1.29337541695
322212,1.29337541695
322219,1.29337541695
32222,3.88012625085
322220,3.88012625085
32223,3.88012625085
322230,3.88012625085
32229,3.88012625085
322291,1.94006312542
322299,1.94006312542
323,144919008.556
3231,144919008.556
32311,72459504.2778
323111,24153168.0926
323113,24153168.0926
323117,24153168.0926
32312,72459504.2778
323120,72459504.2778
324,7105194.95855
3241,7105194.95855
32411,7105194.95855
324110,7105194.95855
325,28616168.7299
3251,4088024.10427
32511,817604.820853
325110,817604.820853
32512,817604.820853
325120,817604.820853
32513,817604.820853
325130,817604.820853
32518,817604.820853
325180,817604.820853
32519,817604.820853
325193,272534.940284
325194,272534.940284
325199,272534.940284
3252,4088024.10427
32521,2044012.05213
325211,1022006.02607
325212,1022006.02607
32522,2044012.05213
325220,2044012.05213
3253,4088024.10427
32531,2044012.05213
325311,681337.350711
325312,681337.350711
325314,681337.350711
32532,2044012.05213
325320,2044012.05213
3254,4088024.10427
32541,4088024.10427
325411,1022006.02607
325412,1022006.02607
325413,1022006.02607
325414,1022006.02607
3255,4088024.10427
32551,2044012.05213
325510,2044012.05213
32552,2044012.05213
325520,2044012.05213
3256,4088024.10427
32561,2044012.05213
325611,681337.350711
325612,681337.350711
325613,681337.350711
32562,2044012.05213
325620,2044012.05213
3259,4088024.10427
32591,1362674.70142
325910,1362674.70142
32592,1362674.70142
325920,1362674.70142
32599,1362674.70142
325991,454224.900474
325992,454224.900474
325998,454224.900474
326,26219019.3685
3261,13109509.6842
32611,1872787.09775
326111,624262.365916
326112,624262.365916
326113,624262.365916
32612,1872787.09775
326121,936393.548874
326122,936393.548874
32613,1872787.09775
326130,1872787.09775
32614,1872787.09775
326140,1872787.09775
32615,1872787.09775
326150,1872787.09775
32616,1872787.09775
326160,1872787.09775
32619,1872787.09775
326191,936393.548874
326199,936393.548874
3262,13109509.6842
32621,4369836.56141
326211,2184918.28071
326212,2184918.28071
32622,4369836.56141
326220,4369836.56141
32629,4369836.56141
326291,2184918.28071
326299,2184918.28071
327,27081023.8802
3271,5416204.77604
32711,2708102.38802
327110,2708102.38802
32712,2708102.38802
327120,2708102.38802
3272,5416204.77604
32721,5416204.77604
327211,1354051.19401
327212,1354051.19401
327213,1354051.19401
327215,1354051.19401
3273,5416204.77604
32731,1354051.19401
327310,1354051.19401
32732,1354051.19401
327320,1354051.19401
32733,1354051.19401
327331,677025.597005
327332,677025.597005
32739,1354051.19401
327390,1354051.19401
3274,5416204.77604
32741,2708102.38802
327410,2708102.38802
32742,2708102.38802
327420,2708102.38802
3279,5416204.77604
32791,2708102.38802
327910,2708102.38802
32799,2708102.38802
327991,677025.597005
327992,677025.597005
327993,677025.597005
327999,677025.597005
331,10363030.5376
3313,10363030.5376
33131,10363030.5376
331315,10363030.5376
332,314981035.864
3322,314981035.864
33221,314981035.864
332215,314981035.864
333,235610055.776
3331,33658579.3966
33311,11219526.4655
333111,5609763.23276
333112,5609763.23276
33312,11219526.4655
333120,11219526.4655
33313,11219526.4655
333131,5609763.23276
333132,5609763.23276
3332,33658579.3966
33324,33658579.3966
333241,6731715.87931
333242,6731715.87931
333243,6731715.87931
333244,6731715.87931
333249,6731715.87931
3333,33658579.3966
33331,33658579.3966
333314,11219526.4655
333316,11219526.4655
333318,11219526.4655
3334,33658579.3966
33341,33658579.3966
333413,11219526.4655
333414,11219526.4655
333415,11219526.4655
3335,33658579.3966
33351,33658579.3966
333511,6731715.87931
333514,6731715.87931
333515,6731715.87931
333517,6731715.87931
333519,6731715.87931
3336,33658579.3966
33361,33658579.3966
333611,8414644.84914
333612,8414644.84914
333613,8414644.84914
333618,8414644.84914
3339,33658579.3966
33391,11219526.4655
333911,3739842.15517
333912,3739842.15517
333913,3739842.15517
33392,11219526.4655
333921,2804881.61638
333922,2804881.61638
333923,2804881.61638
333924,2804881.61638
33399,11219526.4655
333991,1402440.80819
333992,1402440.80819
333993,1402440.80819
333994,1402440.80819
333995,1402440.80819
333996,1402440.80819
333997,1402440.80819
333999,1402440.80819
334,76272121.0197
3341,12712020.1699
33411,12712020.1699
334111,4237340.05665
334112,4237340.05665
334118,4237340.05665
3342,12712020.1699
33421,4237340.05665
334210,4237340.05665
33422,4237340.05665
334220,4237340.05665
33429,4237340.05665
334290,4237340.05665
3343,12712020.1699
33431,12712020.1699
334310,12712020.1699
3344,12712020.1699
33441,12712020.1699
334412,2118670.02832
334413,2118670.02832
334416,2118670.02832
334417,2118670.02832
334418,2118670.02832
334419,2118670.02832
3345,12712020.1699
33451,12712020.1699
334510,1412446.68555
334511,1412446.68555
334512,1412446.68555
334513,1412446.68555
334514,1412446.68555
334515,1412446.68555
334516,1412446.68555
334517,1412446.68555
334519,1412446.68555
3346,12712020.1699
33461,12712020.1699
334613,6356010.08497
334614,6356010.08497
335,21354060.1066
3351,5338515.02664
33511,2669257.51332
335110,2669257.51332
33512,2669257.51332
335121,889752.50444
335122,889752.50444
335129,889752.50444
3352,5338515.02664
33521,2669257.51332
335210,2669257.51332
33522,2669257.51332
335221,667314.37833
335222,667314.37833
335224,667314.37833
335228,667314.37833
3353,5338515.02664
33531,5338515.02664
335311,1334628.75666
335312,1334628.75666
335313,1334628.75666
335314,1334628.75666
3359,5338515.02664
33591,1334628.75666
335911,667314.37833
335912,667314.37833
33592,1334628.75666
335921,667314.37833
335929,667314.37833
33593,1334628.75666
335931,667314.37833
335932,667314.37833
33599,1334628.75666
335991,667314.37833
335999,667314.37833
336,36143106.2703
3361,5163300.89575
33611,2581650.44788
336111,1290825.22394
336112,1290825.22394
33612,2581650.44788
336120,2581650.44788
3362,5163300.89575
33621,5163300.89575
336211,1290825.22394
336212,1290825.22394
336213,1290825.22394
336214,1290825.22394
3363,5163300.89575
33631,645412.611969
336310,645412.611969
33632,645412.611969
336320,645412.611969
33633,645412.611969
336330,645412.611969
33634,645412.611969
336340,645412.611969
33635,645412.611969
336350,645412.611969
33636,645412.611969
336360,645412.611969
33637,645412.611969
336370,645412.611969
33639,645412.611969
336390,645412.611969
3364,5163300.89575
33641,5163300.89575
336411,860550.149292
336412,860550.149292
336413,860550.149292
336414,860550.149292
336415,860550.149292
336419,860550.149292
3365,5163300.89575
33651,5163300.89575
336510,5163300.89575
3366,5163300.89575
33661,5163300.89575
336611,2581650.44788
336612,2581650.44788
3369,5163300.89575
33699,5163300.89575
336991,1721100.29858
336992,1721100.29858
336999,1721100.29858
337,129004005.181
3371,43001335.0604
33711,21500667.5302
337110,21500667.5302
33712,21500667.5302
337121,4300133.50604
337122,4300133.50604
337124,4300133.50604
337125,4300133.50604
337127,4300133.50604
3372,43001335.0604
33721,43001335.0604
337211,10750333.7651
337212,10750333.7651
337214,10750333.7651
337215,10750333.7651
3379,43001335.0604
33791,21500667.5302
337910,21500667.5302
33792,21500667.5302
337920,21500667.5302
339,193540028.845
3391,96770014.4224
33911,96770014.4224
