Codes:,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,corporate_limited_partners,tax_exempt_limited_partners
1,2103494000.0,106154000000.0,83792696000.0,131788318000.0,94440747000.0,344662139000.0,291199705000.0,9520084000.0,236425766000.0,78976841000.0
11,53036469.4958,3238270581.75,4614665929.63,3926550231.77,2855613408.4,7461388421.12,8329323756.39,107217092.141,5847533950.88,1679665244.65
111,46230616.8255,2822722701.29,4022493472.86,3422679543.66,2489169632.53,6503913106.63,7260471495.52,93458564.4753,5097154920.52,1464123857.77
1111,9246123.3651,564544540.258,804498694.571,684535908.732,497833926.505,1300782621.33,1452094299.1,18691712.8951,1019430984.1,292824771.553
11111,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
111110,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
11112,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
111120,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
11113,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
111130,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
11114,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
111140,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
11115,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
111150,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
11116,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
111160,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
11119,1320874.76644,80649220.0369,114928384.939,97790844.1045,71119132.3579,185826088.761,207442042.729,2670244.69929,145632997.729,41832110.2219
111191,660437.383222,40324610.0185,57464192.4694,48895422.0523,35559566.1789,92913044.3804,103721021.365,1335122.34965,72816498.8645,20916055.1109
