,Codes:,Financial_Income
0,1.0,13649700000000.0
1,11.0,149692476061.0808
2,111.0,29938495212.216164
3,1111.0,5987699042.443233
4,11111.0,855385577.4918903
5,111110.0,855385577.4918903
6,11112.0,855385577.4918903
7,111120.0,855385577.4918903
8,11113.0,855385577.4918903
9,111130.0,855385577.4918903
10,11114.0,855385577.4918903
11,111140.0,855385577.4918903
12,11115.0,855385577.4918903
13,111150.0,855385577.4918903
14,11116.0,855385577.4918903
15,111160.0,855385577.4918903
16,11119.0,855385577.4918903
17,111191.0,427692788.74594516
18,111199.0,427692788.74594516
19,1112.0,5987699042.443233
20,11121.0,5987699042.443233
21,111211.0,2993849521.2216163
22,111219.0,2993849521.2216163
23,1113.0,5987699042.443233
24,11131.0,1995899680.814411
25,111310.0,1995899680.814411
26,11132.0,1995899680.814411
27,111320.0,1995899680.814411
28,11133.0,1995899680.814411
29,111331.0,285128525.8306301
30,111332.0,285128525.8306301
31,111333.0,285128525.8306301
32,111334.0,285128525.8306301
33,111335.0,285128525.8306301
34,111336.0,285128525.8306301
35,111339.0,285128525.8306301
36,1114.0,5987699042.443233
37,11141.0,2993849521.2216163
38,111411.0,1496924760.6108081
39,111419.0,1496924760.6108081
40,11142.0,2993849521.2216163
41,111421.0,1496924760.6108081
42,111422.0,1496924760.6108081
43,1119.0,5987699042.443233
44,11191.0,1197539808.4886465
45,111910.0,1197539808.4886465
46,11192.0,1197539808.4886465
47,111920.0,1197539808.4886465
48,11193.0,1197539808.4886465
49,111930.0,1197539808.4886465
50,11194.0,1197539808.4886465
51,111940.0,1197539808.4886465
52,11199.0,1197539808.4886465
53,111991.0,399179936.16288215
54,111992.0,399179936.16288215
55,111998.0,399179936.16288215
56,112.0,29938495212.216164
57,1121.0,4989749202.036027
58,11211.0,1663249734.012009
59,112111.0,831624867.0060045
60,112112.0,831624867.0060045
61,11212.0,1663249734.012009
62,112120.0,1663249734.012009
63,11213.0,1663249734.012009
64,112130.0,1663249734.012009
65,1122.0,4989749202.036027
66,11221.0,4989749202.036027
67,112210.0,4989749202.036027
68,1123.0,4989749202.036027
69,11231.0,997949840.4072053
70,112310.0,997949840.4072053
71,11232.0,997949840.4072053
72,112320.0,997949840.4072053
73,11233.0,997949840.4072053
74,112330.0,997949840.4072053
75,11234.0,997949840.4072053
76,112340.0,997949840.4072053
77,11239.0,997949840.4072053
78,112390.0,997949840.4072053
79,1124.0,4989749202.036027
80,11241.0,2494874601.0180135
81,112410.0,2494874601.0180135
82,11242.0,2494874601.0180135
83,112420.0,2494874601.0180135
84,1125.0,4989749202.036027
85,11251.0,4989749202.036027
86,112511.0,1663249734.012009
87,112512.0,1663249734.012009
88,112519.0,1663249734.012009
89,1129.0,4989749202.036027
90,11291.0,1247437300.5090067
91,112910.0,1247437300.5090067
92,11292.0,1247437300.5090067
93,112920.0,1247437300.5090067
94,11293.0,1247437300.5090067
95,112930.0,1247437300.5090067
96,11299.0,1247437300.5090067
97,112990.0,1247437300.5090067
