NAICS,Mainframes,PCs,DASDs,Printers,Terminals,Tape drives,Storage devices,System integrators,Communications,Nonelectro medical instruments,Electro medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metals,Steam engines,Internal combustion engines,Metalworking machinery,Special industrial machinery,General industrial equipment,Electric transmission and distribution,Light trucks (including utility vehicles),"Other trucks, buses and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,Other electrical,Other,Office,Hospitals,Special care,Medical buildings,Multimerchandise shopping,Food and beverage establishments,Warehouses,Mobile structures,Other commercial,Manufacturing,Electric,Wind and solar,Gas,Petroleum pipelines,Communication,Petroleum and natural gas,Mining,Religious,Educational and vocational,Lodging,Amusement and recreation,Air transportation,Other transportation,Other railroad,Track replacement,Local transit structures,Other land transportation,Farm,Water supply,Sewage and waste disposal,Public safety,Highway and conservation and development,Prepackaged software,Custom software,Own account software,Pharmaceutical and medicine manufacturing,"Chemical manufacturing, ex. pharma and med",Semiconductor and other component manufacturing,Computers and peripheral equipment manufacturing,Communications equipment manufacturing,Navigational and other instruments manufacturing,"Other computer and electronic manufacturing, n.e.c.",Motor vehicles and parts manufacturing,Aerospace products and parts manufacturing,Other manufacturing,Scientific research and development services,Software publishers,Financial and real estate services,Computer systems design and related services,"All other nonmanufacturing, n.e.c.",Private universities and colleges,Other nonprofit institutions,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals
[[1]],6086612216,24257379879,0,4439811902,5829014658,0,3567825493,13885866920,1.32333E+11,1.53762E+11,87601034011,70565352831,12277747150,2868903062,1009103887,39466867161,14934626022,2815755512,40577893118,60786022797,1.22951E+11,79067147951,80488267909,70329296461,45490919504,75894344680,33883079571,40266371062,8942784316,1.03701E+11,93767329397,35697810512,1.12165E+11,3829790648,33476890476,76255635536,2242728031,4506620408,1.26583E+11,7.06046E+11,4.90548E+11,1.1124E+11,1.19421E+11,2.2096E+11,1.50628E+11,1.3393E+11,4787932450,1.67806E+11,3.62682E+11,1.78397E+11,25217720681,85348255976,55213220086,87244779459,5.38807E+11,29505595242,2.35156E+11,2.77091E+11,3.60531E+11,2.00695E+11,4967417797,2798053396,96868435741,1.25262E+11,4843934176,6334379033,2.41974E+11,22178527144,19987840564,14742774243,17943053247,25190907825,72802747926,76193862406,0,8903923371,0,1652153731,6630303545,5321349356,282563039.8,4426219684,0,0,0,2508060051,1299883766,4775057986,0,0,0,53854133019,0,23835571241,0,
[[11]],5775857.585,147968619.4,0,40954520.61,32449015.55,0,14807332.29,111419002.3,577827043.2,55557350.16,34443286.37,27059129686,8298550.183,4935777.43,0,2503966572,0,220279268.2,211031030.1,315030058.3,4639994675,511975158.1,7831491614,3314888397,2828185041,280586771.9,1493662516,0,0,761585381.7,92794685378,28576098184,5129442629,158256536.1,4200400.777,223951247.2,2.26E-08,34026924.49,17829672080,3206585953,0,3360320.622,7.25E-07,2.90E-06,0,2782345475,338552302.6,556973143.1,1915382754,10921042.02,3737863125,840080.1555,1680160.311,0,0,1.81E-07,1.45E-06,2.90E-06,2.90E-06,-1.45E-06,4.53E-08,139453305.8,0,0,0,493967131.4,1.91933E+11,1271041275,564533864.5,1801971933,2810068120,189561169.5,98189578.95,2206129.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111]],385211.7486,11941564.21,0,770423.4971,1155635.246,0,1155635.246,4237329.234,77812773.21,8859870.217,-3.24E-07,13910766664,3466905.737,385211.7486,0,1191074727,0,92065607.9,82820525.94,0,555475341.4,196457991.8,3763518783,1366346072,1389073565,-3.20E-07,3.20E-07,0,0,66256420.75,40988070893,14430802524,154855122.9,8089446.72,-8.09E-08,87828278.67,1.01E-08,4622540.983,8472347198,-2.35E-06,0,-3.25E-07,3.25E-07,1.30E-06,0,-4.27E-07,-2.67E-08,6.41E-07,-2.56E-06,-6.49E-07,1887152356,3.25E-07,-1.62E-07,0,0,8.11E-08,6.49E-07,1.30E-06,1.30E-06,-6.49E-07,2.03E-08,2.67E-08,0,0,0,-2.67E-08,1.00511E+11,1.07E-07,-1.60E-07,0,0,22727493.16,6548599.725,1155635.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[1111]],77042.34971,2388312.841,0,154084.6994,231127.0491,0,231127.0491,847465.8468,15562554.64,1771974.043,-6.47E-08,2782153333,693381.1474,77042.34971,0,238214945.3,0,18413121.58,16564105.19,0,111095068.3,39291598.35,752703756.7,273269214.4,277814713.1,-6.41E-08,6.41E-08,0,0,13251284.15,8197614179,2886160505,30971024.58,1617889.344,-1.62E-08,17565655.73,2.03E-09,924508.1965,1694469440,-4.70E-07,0,-6.49E-08,6.49E-08,2.60E-07,0,-8.54E-08,-5.34E-09,1.28E-07,-5.13E-07,-1.30E-07,377430471.2,6.49E-08,-3.25E-08,0,0,1.62E-08,1.30E-07,2.60E-07,2.60E-07,-1.30E-07,4.06E-09,5.34E-09,0,0,0,-5.34E-09,20102275098,2.14E-08,-3.20E-08,0,0,4545498.633,1309719.945,231127.0491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[11111]],11006.04996,341187.5487,0,22012.09992,33018.14988,0,33018.14988,121066.5495,2223222.092,253139.149,-9.25E-09,397450476.1,99054.44963,11006.04996,0,34030706.47,0,2630445.94,2366300.741,0,15870724.04,5613085.479,107529108.1,39038459.2,39687816.15,-9.15E-09,9.15E-09,0,0,1893040.593,1171087740,412308643.5,4424432.083,231127.0491,-2.31E-09,2509379.391,2.90E-10,132072.5995,242067062.8,-6.71E-08,0,-9.27E-09,9.27E-09,3.71E-08,0,-1.22E-08,-7.63E-10,1.83E-08,-7.32E-08,-1.85E-08,53918638.75,9.27E-09,-4.64E-09,0,0,2.32E-09,1.85E-08,3.71E-08,3.71E-08,-1.85E-08,5.79E-10,7.63E-10,0,0,0,-7.63E-10,2871753585,3.05E-09,-4.58E-09,0,0,649356.9476,187102.8493,33018.14988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111110]],11006.04996,341187.5487,0,22012.09992,33018.14988,0,33018.14988,121066.5495,2223222.092,253139.149,-9.25E-09,397450476.1,99054.44963,11006.04996,0,34030706.47,0,2630445.94,2366300.741,0,15870724.04,5613085.479,107529108.1,39038459.2,39687816.15,-9.15E-09,9.15E-09,0,0,1893040.593,1171087740,412308643.5,4424432.083,231127.0491,-2.31E-09,2509379.391,2.90E-10,132072.5995,242067062.8,-6.71E-08,0,-9.27E-09,9.27E-09,3.71E-08,0,-1.22E-08,-7.63E-10,1.83E-08,-7.32E-08,-1.85E-08,53918638.75,9.27E-09,-4.64E-09,0,0,2.32E-09,1.85E-08,3.71E-08,3.71E-08,-1.85E-08,5.79E-10,7.63E-10,0,0,0,-7.63E-10,2871753585,3.05E-09,-4.58E-09,0,0,649356.9476,187102.8493,33018.14988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[11112]],11006.04996,341187.5487,0,22012.09992,33018.14988,0,33018.14988,121066.5495,2223222.092,253139.149,-9.25E-09,397450476.1,99054.44963,11006.04996,0,34030706.47,0,2630445.94,2366300.741,0,15870724.04,5613085.479,107529108.1,39038459.2,39687816.15,-9.15E-09,9.15E-09,0,0,1893040.593,1171087740,412308643.5,4424432.083,231127.0491,-2.31E-09,2509379.391,2.90E-10,132072.5995,242067062.8,-6.71E-08,0,-9.27E-09,9.27E-09,3.71E-08,0,-1.22E-08,-7.63E-10,1.83E-08,-7.32E-08,-1.85E-08,53918638.75,9.27E-09,-4.64E-09,0,0,2.32E-09,1.85E-08,3.71E-08,3.71E-08,-1.85E-08,5.79E-10,7.63E-10,0,0,0,-7.63E-10,2871753585,3.05E-09,-4.58E-09,0,0,649356.9476,187102.8493,33018.14988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111120]],11006.04996,341187.5487,0,22012.09992,33018.14988,0,33018.14988,121066.5495,2223222.092,253139.149,-9.25E-09,397450476.1,99054.44963,11006.04996,0,34030706.47,0,2630445.94,2366300.741,0,15870724.04,5613085.479,107529108.1,39038459.2,39687816.15,-9.15E-09,9.15E-09,0,0,1893040.593,1171087740,412308643.5,4424432.083,231127.0491,-2.31E-09,2509379.391,2.90E-10,132072.5995,242067062.8,-6.71E-08,0,-9.27E-09,9.27E-09,3.71E-08,0,-1.22E-08,-7.63E-10,1.83E-08,-7.32E-08,-1.85E-08,53918638.75,9.27E-09,-4.64E-09,0,0,2.32E-09,1.85E-08,3.71E-08,3.71E-08,-1.85E-08,5.79E-10,7.63E-10,0,0,0,-7.63E-10,2871753585,3.05E-09,-4.58E-09,0,0,649356.9476,187102.8493,33018.14988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[11113]],11006.04996,341187.5487,0,22012.09992,33018.14988,0,33018.14988,121066.5495,2223222.092,253139.149,-9.25E-09,397450476.1,99054.44963,11006.04996,0,34030706.47,0,2630445.94,2366300.741,0,15870724.04,5613085.479,107529108.1,39038459.2,39687816.15,-9.15E-09,9.15E-09,0,0,1893040.593,1171087740,412308643.5,4424432.083,231127.0491,-2.31E-09,2509379.391,2.90E-10,132072.5995,242067062.8,-6.71E-08,0,-9.27E-09,9.27E-09,3.71E-08,0,-1.22E-08,-7.63E-10,1.83E-08,-7.32E-08,-1.85E-08,53918638.75,9.27E-09,-4.64E-09,0,0,2.32E-09,1.85E-08,3.71E-08,3.71E-08,-1.85E-08,5.79E-10,7.63E-10,0,0,0,-7.63E-10,2871753585,3.05E-09,-4.58E-09,0,0,649356.9476,187102.8493,33018.14988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111130]],11006.04996,341187.5487,0,22012.09992,33018.14988,0,33018.14988,121066.5495,2223222.092,253139.149,-9.25E-09,397450476.1,99054.44963,11006.04996,0,34030706.47,0,2630445.94,2366300.741,0,15870724.04,5613085.479,107529108.1,39038459.2,39687816.15,-9.15E-09,9.15E-09,0,0,1893040.593,1171087740,412308643.5,4424432.083,231127.0491,-2.31E-09,2509379.391,2.90E-10,132072.5995,242067062.8,-6.71E-08,0,-9.27E-09,9.27E-09,3.71E-08,0,-1.22E-08,-7.63E-10,1.83E-08,-7.32E-08,-1.85E-08,53918638.75,9.27E-09,-4.64E-09,0,0,2.32E-09,1.85E-08,3.71E-08,3.71E-08,-1.85E-08,5.79E-10,7.63E-10,0,0,0,-7.63E-10,2871753585,3.05E-09,-4.58E-09,0,0,649356.9476,187102.8493,33018.14988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
