HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
996749730499301,93001,2,201405,18,21.10
996749730499301,93001,4,201405,50,13.65
393903305033640,93001,1,201405,58,20.25
393903305033640,93001,2,201405,50,13.65
303901213394716,93001,2,201405,37,16.77
303901213394716,93001,3,201405,34,15.00
510462097833949,93001,1,201405,59,15.06
912006755379350,91001,1,201405,29,27.00
912006755379350,91001,2,201405,31,12.50
047033760924794,91001,2,201405,68,8.73
047033760924794,91001,3,201405,34,15.00
976989370399302,91001,1,201405,52,17.00
799580727140633,93001,1,201405,54,11.00
659007962339450,93001,1,201405,43,8.00
807903363892917,91001,1,201405,64,16.00
398977500096778,91001,1,201405,43,14.00
073779057908698,91001,2,201405,36,12.35
799650429740973,91001,1,201405,33,16.00
799650429740973,91001,2,201405,36,16.00
907439370359303,91001,1,201405,40,10.00
050973093337439,91001,1,201405,33,7.25
473063043906697,93001,1,201405,47,21.08
473063043906697,93001,2,201405,62,9.50
967459930829302,93001,1,201405,67,10.75
967459930829302,93001,2,201405,62,21.91
730709938052586,91002,1,201405,38,15.74
730709938052586,91002,2,201405,39,13.00
001483370994691,93001,1,201405,42,10.25
001483370994691,93001,2,201405,41,14.10
500970095433479,93001,2,201405,51,9.00
500970095433479,93001,3,201405,24,7.25
690972091737689,91001,1,201405,53,15.00
369973705147799,93001,3,201405,18,8.50
071983370024603,93001,2,201405,31,46.00
098863370977699,93001,1,201405,57,17.10
730709999768688,91001,1,201405,49,10.00
399903705061925,93001,1,201405,32,12.00
005993790975892,91002,1,201405,28,75.00
005993790975892,91002,2,201405,24,12.00
069353390970895,93001,3,201405,37,16.00
935099705339680,93001,1,201405,20,7.95
979560583900933,93001,2,201405,43,12.30
999670582040973,91001,1,201405,57,15.99
730900053327116,91001,1,201405,42,36.00
207902773899979,91001,1,201405,21,10.00
636308170900143,93001,1,201405,56,15.99
432392949900841,93001,3,201405,37,15.00
593622067908494,91001,2,201405,59,13.88
999290123220973,91001,1,201405,61,12.00
999290123220973,91001,2,201405,61,17.45
330900015199114,93001,1,201405,30,12.57
740990092433679,93001,1,201405,22,12.00
979629030749304,93001,1,201405,50,12.50
979629030749304,93001,2,201405,31,10.00
935079938379430,91001,1,201405,35,7.25
999540833730973,91001,1,201405,43,20.00
999540833730973,91001,2,201405,37,14.00
829999330646305,93001,2,201405,64,14.25
669049895339320,93001,1,201405,67,9.25
070993063333159,93001,1,201405,28,20.00
299790735590974,91001,2,201405,51,19.00
290926099543819,93001,1,201405,25,8.00
290926099543819,93001,2,201405,24,15.00
207905934690242,91001,1,201405,34,10.00
207905934690242,91001,2,201405,37,13.00
279580195860974,91002,2,201405,26,17.00
962079570699406,91002,1,201405,22,15.00
962079570699406,91002,2,201405,22,10.00
630929097247669,91001,1,201405,40,15.30
740209905340887,91001,1,201405,57,10.50
497907707027238,91001,1,201405,70,15.00
880927091647669,91001,2,201405,39,12.00
220770257660074,91001,2,201405,64,16.00
279320843930934,93001,1,201405,69,8.00
178495179200624,91001,3,201405,24,12.80
740209932349883,91001,1,201405,27,21.40
740209932349883,91001,2,201405,27,17.50
299920902630974,91001,1,201405,56,7.25
299920902630974,91001,2,201405,25,8.02
995082932439800,93001,2,201405,27,16.35
090921096043359,93001,1,201405,78,14.96
019504320993096,93001,1,201405,21,10.00
299790203580974,91001,1,201405,39,17.00
299790203580974,91001,2,201405,32,20.00
094794320993091,93001,1,201405,66,20.00
