HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
142290229100949,90001,1,201206,34,2
200095409039181,90001,2,201206,18,0
463298549100997,90001,1,201206,44,3
848291709100902,90001,1,201206,47,4
294972802098189,89001,1,201206,20,0
294972802098189,89001,3,201206,20,0
500914094923149,89002,1,201206,22,0
961119510749204,89002,1,201206,22,0
265902906078198,89002,1,201206,44,2
265902906078198,89002,2,201206,20,1
420106964277599,90001,2,201206,46,2
678261499100824,90001,1,201206,22,0
678261499100824,90001,2,201206,23,0
189690218440672,90001,1,201206,39,0
981829470469209,90001,1,201206,40,6
812039081909265,89001,2,201206,30,3
945001973279460,90001,2,201206,23,1
921739540056200,90001,2,201206,35,2
921739540056200,90001,4,201206,16,0
054002144260650,90001,2,201206,48,2
210460455040062,90001,2,201206,48,2
520126008228340,88001,2,201206,39,2
295924002031279,90001,1,201206,23,0
266974407094299,90001,2,201206,36,2
620206923759795,90001,1,201206,44,2
936082930259500,90001,2,201206,28,0
306905822994242,90001,1,201206,36,4
306905822994242,90001,3,201206,17,0
035512220014407,89001,1,201206,32,2
016822320993399,89001,3,201206,21,1
122887046909592,90001,2,201206,50,3
522502084909596,90001,3,201206,49,3
522502084909596,90001,4,201206,19,0
299470975010952,90001,3,201206,43,0
290928408025229,88001,1,201206,45,1
604605102992842,90001,2,201206,45,1
604605102992842,90001,3,201206,23,0
294912506049259,89002,1,201206,29,0
294912506049259,89002,3,201206,29,0
880920093921989,89001,1,201206,43,3
880920093921989,89001,3,201206,20,0
962849350789205,90001,2,201206,30,2
680123004528870,88001,1,201206,35,4
680123004528870,88001,3,201206,18,0
680123004528870,88001,5,201206,15,0
960833097822349,89001,2,201206,41,0
220309998315990,89001,3,201206,20,0
803019060139207,90001,1,201206,40,3
954003944279650,90001,2,201206,32,0
679043934239780,89001,1,201206,43,4
262992100012319,89001,3,201206,50,2
170936099621759,89001,2,201206,43,2
903839730689201,89001,1,201206,28,2
684266479300944,88001,2,201206,21,0
332260679300942,89001,1,201206,29,2
399120979480652,90001,2,201206,49,2
399120979480652,90001,4,201206,17,0
310870838580082,88001,1,201206,44,3
506906982791584,90001,1,201206,31,0
689295259400707,88001,2,201206,47,2
442089068907491,88001,2,201206,33,1
120400066945511,89001,1,201206,42,0
294962701036409,89001,2,201206,44,2
294962701036409,89001,3,201206,21,0
019034188260450,90001,1,201206,45,0
410940851380062,90001,1,201206,25,2
530144009826810,90001,1,201206,45,2
402906482997534,89001,2,201206,39,2
297986108066469,90001,2,201206,31,2
606906882996174,90001,1,201206,48,1
606906882996174,90001,3,201206,20,0
002906512996084,89001,2,201206,23,0
002906512996084,89001,3,201206,19,0
640299209400934,90001,2,201206,27,0
740743094721239,89001,2,201206,46,1
774249310349207,89001,1,201206,45,3
774249310349207,89001,3,201206,17,0
298941305064488,89001,1,201206,28,0
574249320349207,89001,2,201206,40,0
934044527229370,89001,2,201206,28,0
459430773420922,89001,1,201206,26,0
459430773420922,89001,2,201206,28,0
459430773420922,89001,3,201206,26,0
459430773420922,89001,4,201206,25,0
190843096322739,89001,1,201206,44,1
220409977669590,89001,3,201206,30,0
499380644580952,90001,2,201206,28,0
194000360610209,90001,2,201206,40,0
298946305064487,90001,2,201206,24,0
001962340991695,89001,1,201206,25,0
001962340991695,89001,2,201206,25,0
001962340991695,89001,3,201206,26,0
001962340991695,89001,4,201206,23,0
991004695249550,90001,1,201206,39,1
954919570909205,90001,2,201206,40,2
842030068909395,88001,2,201206,29,0
608904882997874,88001,2,201206,25,3
380741094825689,90001,1,201206,46,4
380741094825689,90001,2,201206,19,0
380741094825689,90001,3,201206,28,1
489290302530982,88001,1,201206,38,0
465291329500966,90001,1,201206,27,0
352166046909592,90001,2,201206,40,2
352166046909592,90001,3,201206,20,0
120500033096516,89001,2,201206,19,0
905019670309201,90001,1,201206,26,1
993055815249140,90001,1,201206,49,4
430859099628429,88002,1,201206,23,1
955159030259202,89001,3,201206,15,0
299956606026529,90001,3,201206,22,0
299956606026529,90001,4,201206,16,0
299956606026529,90001,5,201206,16,0
295921002031578,89001,3,201206,32,0
295921002031578,89001,4,201206,28,0
220509994853891,89001,9,201206,25,0
921295349500988,89001,1,201206,24,0
023012450011002,90001,3,201206,30,0
105120240030201,90001,2,201206,43,1
720500077307217,90001,2,201206,28,1
589950766270962,90001,1,201206,45,2
802907932992485,89261,1,201206,47,0
298992403028579,89001,2,201206,41,1
993065831249900,90001,1,201206,41,3
940085861269220,90001,2,201206,15,0
579530968230972,90001,2,201206,32,0
620161002728270,88001,2,201206,49,0
220609923550591,89001,1,201206,45,5
220609923550591,89001,2,201206,17,1
220609923550591,89001,3,201206,15,0
050960090323309,89001,1,201206,28,0
900056933239000,89001,1,201206,26,1
708906182997856,88001,1,201206,42,2
708906182997856,88001,2,201206,16,0
005904912891026,90001,2,201206,43,2
291936906037679,90001,2,201206,34,0
462801008909397,88001,1,201206,48,3
926719270469200,90001,2,201206,24,0
260962091027749,90001,3,201206,19,0
960391589300993,90001,2,201206,41,2
960391589300993,90001,4,201206,16,0
963063705319390,89001,1,201206,43,0
960433093537069,90001,2,201206,43,4
943139570679302,90001,2,201206,44,1
943139570679302,90001,4,201206,20,0
843159260629302,90001,1,201206,37,4
931392969400658,89001,4,201206,17,0
459650059270943,90001,1,201206,49,3
459650059270943,90001,2,201206,24,0
530409962907956,90001,2,201206,23,0
955084661369890,90001,2,201206,39,2
901024840329810,89001,2,201206,50,0
085963340990198,89001,1,201206,42,2
085963340990198,89001,2,201206,21,0
914269050699306,90001,2,201206,29,2
966094926359010,90001,1,201206,27,1
544139160959305,90001,2,201206,39,3
077453640965097,90001,2,201206,33,0
392948208035479,88001,1,201206,43,2
919034988339450,89001,1,201206,46,1
397906308016489,90001,2,201206,19,0
397906308016489,90001,3,201206,17,0
397906308016489,90001,4,201206,17,0
606908083991374,90001,1,201206,50,2
391918302048419,88001,2,201206,47,2
607907623897954,90001,2,201206,47,3
005723140973398,89003,1,201206,37,1
734389010759302,89001,2,201206,39,3
734389010759302,89001,3,201206,17,0
734389010759302,89001,5,201206,16,0
060413240965992,89001,2,201206,27,1
803908653692604,89001,2,201206,32,1
072473440950192,90001,2,201206,38,0
430409973168397,90001,2,201206,40,2
908054942359380,90001,3,201206,38,3
900014766379850,90001,4,201206,17,0
479080650160973,90001,3,201206,18,0
510748090637609,90001,1,201206,42,3
730409927012784,90001,4,201206,23,0
489630313970963,90001,2,201206,28,1
230409977906496,89002,1,201206,50,1
743226004909197,90001,2,201206,40,0
559397599400899,90001,1,201206,39,1
206907083995264,90001,1,201206,45,3
206907083995264,90001,3,201206,24,0
301905923890834,89001,1,201206,39,2
813399239400805,89001,4,201206,25,1
543767078907394,88001,2,201206,41,0
783397549400776,88001,2,201206,50,2
783397549400776,88001,4,201206,19,0
904019570569306,90001,2,201206,38,3
904019570569306,90001,3,201206,15,0
048026132380650,88001,1,201206,43,5
048026132380650,88001,2,201206,21,0
048026132380650,88001,3,201206,20,0
048026132380650,88001,4,201206,17,0
062423860013508,88001,1,201206,44,0
307907853599446,90001,1,201206,34,1
960967091531929,89001,2,201206,48,2
960967091531929,89001,4,201206,28,0
090853460984598,90001,1,201206,47,2
424368419600955,89001,4,201206,20,0
463350054909993,90001,1,201206,43,0
463350054909993,90001,2,201206,43,0
629720341850913,89001,1,201206,31,1
984056415319290,89001,3,201206,32,0
984056415319290,89001,5,201206,23,0
130609976742667,89001,3,201206,27,0
396941702067676,89001,2,201206,34,2
230609872548391,89002,1,201206,38,2
230609872548391,89002,2,201206,24,0
230609872548391,89002,3,201206,27,1
230609872548391,89002,5,201206,15,0
669150608760923,89001,2,201206,38,0
062763360927497,89001,2,201206,46,1
679890045500933,89001,2,201206,38,5
