HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
760251056909395,87001,2,201006,21,0
031016119080910,85001,1,201006,40,2
100609922486267,86262,1,201006,41,4
100609922486267,86262,3,201006,22,0
618092959600866,86002,1,201006,41,3
618092959600866,86002,2,201006,17,0
853007030600191,87001,1,201006,42,2
505909940899856,87001,1,201006,29,0
059860860936296,85001,2,201006,29,0
095981005096608,86001,3,201006,22,0
699950436300910,86001,4,201006,32,2
699950436300910,86001,9,201006,18,1
030967096101049,86001,2,201006,21,0
560186088909094,85001,2,201006,43,1
067840460982593,87001,2,201006,28,0
903096906059610,87001,1,201006,44,0
903096906059610,87001,2,201006,30,3
060965094001839,86001,3,201006,28,0
920091269600901,86001,3,201006,18,0
860016065908994,87001,2,201006,25,0
098994702003859,87001,2,201006,38,1
093921107054818,86001,6,201006,23,0
100989096101439,86001,3,201006,17,0
508908460992818,85001,1,201006,40,0
003011609033871,86001,2,201006,42,0
094932201092889,86001,3,201006,26,0
810490279090060,87001,2,201006,39,2
810490279090060,87001,3,201006,19,0
547093189800978,87001,1,201006,29,0
899830511650950,87261,1,201006,43,3
853004550800102,87001,1,201006,33,1
853004550800102,87001,3,201006,15,0
005045805003821,87001,1,201006,35,1
042096949800999,87001,1,201006,44,1
094964009092899,87001,3,201006,23,0
968059850119004,87001,2,201006,37,3
003550180992391,86001,2,201006,43,2
880187007506850,87001,1,201006,34,1
790604025001104,87001,2,201006,44,2
969790735590980,85001,3,201006,21,0
922039650029490,86001,2,201006,20,0
726096959900960,86001,2,201006,26,1
290570064907995,87001,2,201006,43,3
767095759900912,87001,1,201006,34,3
910610904480010,86001,2,201006,25,0
569449420829006,86001,3,201006,42,0
569449420829006,86001,5,201006,35,3
356099639900850,87001,2,201006,44,4
356099639900850,87001,3,201006,20,0
490257018909594,85001,2,201006,29,0
949139150959005,87001,2,201006,42,0
140107005712470,86001,1,201006,41,1
850409540479107,87001,2,201006,30,1
106900671994240,87001,1,201006,24,0
195861709066008,86001,1,201006,41,3
039750666900941,87001,3,201006,16,0
901285094904196,87001,2,201006,29,2
944040613149060,87001,5,201006,16,0
101963094909094,87001,1,201006,42,2
101963094909094,87001,3,201006,18,0
194995901030066,87001,1,201006,42,2
520005096016799,87001,2,201006,25,0
520005096016799,87001,3,201006,21,0
088620906790981,85001,2,201006,38,3
901606078904695,85001,2,201006,40,3
901606078904695,85001,4,201006,17,0
601482084002501,87001,1,201006,29,1
120110360470105,87001,3,201006,23,0
501900271193141,86001,2,201006,36,0
701904141397571,86001,1,201006,39,0
350719097711959,86001,1,201006,26,0
198892106057102,86002,1,201006,35,0
971061305129890,86001,1,201006,38,2
194874502052159,87001,3,201006,22,1
194874502052159,87001,5,201006,22,0
082301410935997,87251,2,201006,33,0
197150183390951,87001,1,201006,38,2
510109915983113,87001,3,201006,22,2
510109930465755,87001,2,201006,31,2
511397075908599,87001,1,201006,33,0
570015090716448,87001,1,201006,44,2
570015090716448,87001,2,201006,17,0
562197248100455,87001,1,201006,26,0
706900961495181,87001,1,201006,26,0
960018091518079,85002,2,201006,36,0
361029480179104,85001,1,201006,30,0
270614091318059,85001,2,201006,43,1
621019480579103,85001,3,201006,22,0
410209979935795,87001,3,201006,17,0
198995702003258,87001,3,201006,15,0
406901271995132,87001,3,201006,15,0
406901271995132,87001,4,201006,15,0
305003261103052,87001,2,201006,32,0
299240483250681,85001,1,201006,42,0
929092446119660,86002,2,201006,28,2
006371220014504,86001,2,201006,31,4
034062147120050,86001,2,201006,28,3
034062147120050,86001,3,201006,19,0
302005261205862,86001,1,201006,40,2
305904561697402,87001,1,201006,21,0
305904561697402,87001,2,201006,42,5
305904561697402,87001,3,201006,21,0
610209940456743,87001,1,201006,42,0
