MTRx,MTRy,ATR,x,y
0.071063632,,-19.88387022,0,-541.2365934
0.142127264,0,-9.92319507,2341.635488,-2377.739809
0.40222945,0.068627866,-5.830985412,0,207445.1191
0.071063632,,-2.405045788,2615.656662,200.0977346
0.037456875,0,-1.953866706,1620461.579,-1665866.693
0.071063632,,-1.658172041,0,-405.863329
-0.368787738,0,-0.92140758,9951.950822,-6152.411345
0.071063632,,-0.81057414,0,1552.608983
0.142127264,0,-0.809634431,24911.01582,-37713.42146
-0.313051556,,-0.713749102,7286.472129,-4476.603645
0.071063632,0,-0.654322596,6115.654385,8556.29799
0.142127264,,-0.611608827,34750.86708,-57573.44595
0.213190896,0,-0.593024934,0,-13915.78341
0.071063632,,-0.573462726,0,1009.502679
0.071063632,0,-0.5431624,0,2316.995232
-0.313051556,,-0.462425871,4620.993436,353.5059978
-0.368787738,,-0.459937382,13701.0587,-2853.23355
0.002786809,,-0.450996749,0,-1117.843915
-0.368787738,,-0.413348568,8669.033507,663.1810633
0.071063632,,-0.405381766,2453.735059,187.710732
0.002786809,,-0.404528402,5866.544227,-164.3037598
-0.313051556,,-0.398070208,8008.891588,612.6802065
-0.313051556,,-0.394855062,6140.565401,1147.869034
-0.415234557,,-0.391872887,3960.851516,2466.225167
0.071063632,,-0.390619538,0,3221.81706
0.002786809,,-0.384698158,13950.16886,1067.187918
-0.415234557,,-0.382005679,12580.06299,962.3748188
0.306084533,,-0.379517482,14199.27902,1086.244845
-0.415234556,,-0.378940292,13451.94855,1228.519882
-0.229447283,,-0.37826285,1494.660949,2808.394304
-0.415234557,,-0.374554356,10275.79403,786.0982431
-0.415234557,,-0.37369846,10064.05039,769.899855
0.071063632,,-0.371765507,3101.42147,-3739.61608
0.002786809,,-0.371336608,14448.38918,1105.301772
0.002786809,,-0.364995533,14697.49934,1124.358699
-0.415234557,,-0.364229745,8195.724206,626.9729018
-0.415234556,,-0.364152112,8183.268698,626.0200554
-0.415234557,,-0.364041693,6339.853527,208.6121276
0.071063632,0,-0.362850264,2179.713885,218.6852334
0.438020046,,-0.360015548,28274.00296,2162.961227
-0.368787738,0,-0.358594571,6688.607749,2900.806447
-0.368787738,,-0.357699344,8282.912762,-347.9908324
0.383464933,0.2598,-0.352697457,10250.88301,10820.9038
-0.229447283,,-0.351693357,2790.033772,2576.103428
-0.415234556,,-0.349685405,6377.220051,487.8573339
0.071063632,0,-0.345997581,2428.824043,-3438.68847
-0.415234556,,-0.345460823,5991.099306,458.3190969
0.002786809,,-0.344399722,15569.38489,1191.057944
-0.415234556,,-0.343675568,5841.633211,446.8849406
-0.415234556,,-0.343675568,5841.633211,446.8849406
0.002786809,,-0.341644273,15693.93997,1200.586408
-0.368787738,,-0.338552454,13825.61378,1057.659454
0.002786809,,-0.338401359,14199.27902,3964.401419
0.002786809,,-0.338285197,13950.16886,1067.187918
0.002786809,,-0.338285197,13950.16886,1067.187918
-0.368787738,,-0.337712585,13451.94855,1029.074064
-0.368787738,,-0.33756334,0,-670.7063488
-0.313051556,0,-0.337554795,7311.383145,-1345.133658
-0.415234557,,-0.336095714,1681.493568,-748.443275
0.002786809,,-0.334635815,15071.16457,1152.94409
-0.368787738,,-0.334541651,12206.39775,933.7894282
-0.368787738,,-0.334401298,12156.57572,929.9780428
-0.368787738,,-0.333973251,12007.10963,918.5438865
-0.368787738,,-0.33308437,11708.17744,895.675574
0.002786809,,-0.332301477,14199.27902,1086.244845
-0.313051556,0,-0.331816868,9378.997458,1945.918223
-0.368787738,,-0.331144105,8992.876713,687.9550685
0.002786809,,-0.331046393,16192.16029,1238.700262
-0.368787738,,-0.330167294,10823.83638,828.0234828
-0.368787738,,-0.329853671,10736.64782,821.3535583
-0.368787738,,-0.329580769,10661.91477,815.6364801
-0.415234556,,-0.328943807,0,-945.8679277
-0.415234556,,-0.328736707,4832.73707,369.7043859
0.002786809,,-0.328498048,16316.71537,1248.228725
0.002786809,,-0.326888429,15195.71965,1362.580696
0.071063632,,-0.326668551,0,3467.288836
0.002786809,,-0.326524093,14448.38918,1105.301772
-0.368787738,,-0.326358957,9852.306759,753.7014671
0.002786809,,-0.325988315,16441.27044,1257.757189
-0.368787738,,-0.325314725,9615.652108,735.5973863
-0.368787738,,-0.32379958,9291.808903,710.823381
-0.368787738,,-0.32379958,9291.808903,710.823381
-0.368787738,,-0.323739193,9279.353395,709.8705347
0.002786809,0,-0.321681069,16067.60521,1871.893673
-0.368787738,,-0.321115628,8768.67757,670.8038341
-0.415234556,,-0.320388027,12418.14139,3502.894287
-0.368787738,0,-0.3199634,10300.70504,1073.658102
0.002786809,,-0.318222138,14822.05442,1133.887163
-0.368787738,,-0.316430225,7983.980572,610.7745137
-0.415234556,,-0.316234067,4222.417182,323.0149144
-0.368787738,,-0.315768519,7884.336509,603.1517429
0.002786809,,-0.315547063,14946.60949,1143.415626
