"Page: 128  March 12, 2015"
""
"L.229 Direct Investment"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (current cost)","    4273.6","    4599.5","    4972.9","    5284.0","    5483.3","    5237.7","    5284.0","    5320.5","    5396.4","    5448.2","    5483.3","    1",
"Rest of the world; U.S. direct investment abroad: equity; liability (current cost)","    4084.8","    4405.2","    4757.4","    5078.6","    5336.2","    5028.8","    5078.6","    5125.6","    5200.4","    5259.7","    5336.2","    2",
"Rest of the world; U.S. direct investment abroad: intercompany accounts, including Netherlands Antillean Financial subsidiaries; liability","     188.7","     194.3","     215.5","     205.4","     184.6","     208.9","     205.4","     194.9","     196.0","     188.5","     184.6","    3",
"Rest of the world; U.S. direct investment abroad: intercompany accounts, U.S. parents' claims; liability","     586.9","     619.1","     644.3","     664.3","     691.5","     662.6","     664.3","     654.9","     684.1","     687.6","     691.5","    4",
"Rest of the world; foreign direct investment in U.S.: intercompany accounts, U.S. parents' liabilities; asset","     398.1","     424.8","     428.8","     458.8","     506.9","     453.7","     458.8","     460.0","     488.1","     499.2","     506.9","    5",
"Nonfinancial corporate business; U.S. direct investment abroad; asset","    3402.9","    3759.2","    4081.0","    4370.0","    4534.5","    4311.4","    4370.0","    4394.9","    4465.6","    4506.1","    4534.5","    6",
"U.S.-chartered depository institutions; U.S. direct investment abroad; asset","     280.1","     272.5","     283.9","     285.3","     289.8","     288.8","     285.3","     286.8","     288.9","     290.8","     289.8","    7",
"Property-casualty insurance companies; U.S. direct investment abroad; asset","      99.1","      90.2","      98.0","     108.8","     115.0","     113.0","     108.8","     109.6","     110.6","     112.5","     115.0","    8",
"Life insurance companies, general accounts; U.S. direct investment abroad; asset","      46.3","      54.2","      67.0","      65.5","      65.3","      67.9","      65.5","      65.4","      64.9","      65.4","      65.3","    9",
"Finance companies; U.S. direct investment abroad; asset","     206.0","     221.8","     225.4","     228.6","     245.6","     231.1","     228.6","     235.8","     238.1","     242.1","     245.6","   10",
