HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY,PWCMPWGT
250916067408329,92001,2,201402,62,16.90,2738.0948
400106915607698,91001,2,201402,60,14.30,2738.0948
400109906593391,91001,2,201402,50,13.25,3163.1793
099990810011309,92001,1,201402,51,40.80,3768.8272
095978600095109,92001,1,201402,48,12.00,3080.8822
093994308043109,91001,1,201402,39,9.85,3871.0318
068984804092109,91001,1,201402,59,11.07,3241.2304
919099685049620,91001,1,201402,72,35.00,883.6524
990285098907196,92001,2,201402,32,14.00,1207.0122
090988304039919,92001,2,201402,50,10.00,1004.6742
400909901265592,91001,1,201402,43,11.00,1036.1038
042096519900952,91001,1,201402,74,13.50,1089.0092
096948605051999,92001,2,201402,59,22.00,1102.8765
901285094904196,91002,4,201402,52,28.05,427.2503
941192969000458,91001,2,201402,53,7.25,420.8584
940199149000936,91001,2,201402,24,16.00,474.6878
199914600013049,91002,1,201402,52,24.75,391.6683
840889180566102,92001,1,201402,56,23.00,415.5805
190864305075147,91001,1,201402,61,20.50,308.4217
650810093718458,92001,1,201402,64,47.00,334.9566
975041847189710,92001,2,201402,48,11.00,290.7106
975041847189710,92001,3,201402,26,21.00,298.2884
810209901265542,92001,1,201402,32,13.00,3010.3196
021438008909795,92001,1,201402,55,8.00,3388.7824
027791420013100,91001,1,201402,34,48.00,4135.6083
289010955580981,92001,1,201402,50,15.15,3192.2983
289010955580981,92001,2,201402,45,12.00,3280.0072
810209915400499,92001,3,201402,22,10.00,4011.2797
810209939555190,92001,1,201402,29,17.00,3714.5132
965072831189320,92001,3,201402,31,14.58,3855.9331
604901781499382,91001,1,201402,54,15.00,3306.6443
269360458720941,91001,1,201402,60,15.84,3452.1507
190924706033259,91001,1,201402,47,17.00,3279.7359
152820740960104,91001,1,201402,56,22.23,4258.0843
152820740960104,91001,2,201402,54,13.50,4214.6208
843197939200729,91002,1,201402,31,10.50,3152.1822
372789280109101,92001,2,201402,44,12.00,2968.6211
918002371189270,92001,1,201402,26,24.00,3751.7695
630521099918529,92001,2,201402,44,7.50,2968.6211
810309921531098,92001,1,201402,29,7.90,2959.8047
810309921531098,92001,2,201402,31,18.10,3121.1648
131129068909593,92001,1,201402,20,7.75,3844.6650
060023170180060,92001,1,201402,42,9.50,4421.5048
060023170180060,92001,2,201402,43,17.00,4183.2931
310270089000041,91001,1,201402,26,20.00,2915.8366
908609381998063,92001,2,201402,43,12.44,2798.4278
933909680986108,92001,1,201402,43,8.00,2372.8146
933909680986108,92001,2,201402,44,9.00,2798.4278
748190129300945,91001,2,201402,30,8.25,2695.5946
198958604013339,92001,2,201402,48,10.00,3345.1060
298914905090139,91001,1,201402,45,15.00,1926.2954
298914905090139,91001,2,201402,46,15.15,1926.2954
408903962998731,92001,5,201402,21,12.70,3022.8880
294938201092189,92001,2,201402,50,16.00,2082.1276
420109915400499,91001,2,201402,48,10.00,2016.1825
420109915400499,91001,3,201402,26,10.00,2984.4870
570816069724719,91001,1,201402,72,9.50,1771.8081
904602772995641,91001,3,201402,17,7.25,2676.8294
904602772995641,91001,4,201402,22,10.00,3163.9457
110600316280042,91001,1,201402,25,16.50,2984.4870
322058044909794,91001,2,201402,57,10.46,3167.3478
808904122994052,92001,1,201402,40,16.15,3706.4576
522441074909593,91001,2,201402,60,20.00,3076.2517
820209958036792,92001,1,201402,56,32.31,3973.0897
820209958036792,92001,3,201402,28,10.50,3443.3304
504908462792813,91001,3,201402,18,10.00,692.7532
504908462792813,91001,4,201402,21,10.00,776.3771
963679940636202,91001,1,201402,56,11.00,597.8141
420309952955992,91001,1,201402,56,13.00,540.1816
290908101061329,92001,1,201402,21,3.75,776.3771
290908101061329,92001,2,201402,22,10.00,657.4989
290908101061329,92001,3,201402,22,10.00,657.4989
299918304098429,92001,1,201402,45,20.50,1489.6854
904064607249880,91001,1,201402,36,7.25,1975.4300
904064607249880,91001,5,201402,28,8.00,2088.7678
904064607249880,91001,6,201402,30,8.00,2119.3069
342544054907393,91001,1,201402,41,21.13,1452.1298
932084849249120,91001,1,201402,42,2.75,1652.1179
448296249500764,91001,1,201402,48,20.57,2736.6009
448296249500764,91001,3,201402,17,8.00,3775.9630
804904622796445,91001,1,201402,47,18.83,2736.6009
804904622796445,91001,3,201402,17,10.00,3765.4592
910025373289520,92001,1,201402,58,61.00,3205.8785
068002450982097,91001,1,201402,54,20.00,2976.2128
068002450982097,91001,2,201402,56,12.00,3262.8487
589760000820942,91001,1,201402,28,43.00,4634.6468
652024034909297,91001,1,201402,24,14.00,4645.7097
652024034909297,91001,2,201402,53,74.00,2932.1086
823519440549307,91001,2,201402,60,29.00,435.7282
430309901265592,91001,1,201402,31,19.70,553.9931
389180425690983,92001,1,201402,74,12.25,367.0875
396948605051399,92001,1,201402,68,40.00,465.3270
830309921531078,92001,2,201402,18,9.00,504.4623
830306987764291,92001,3,201402,17,7.50,482.8996
164070540690306,91001,1,201402,67,18.46,3429.2428
908901843793304,92001,1,201402,27,17.00,2804.2374
908901843793304,92001,2,201402,30,12.00,3562.0030
830409930184379,92001,1,201402,34,36.00,2526.1590
143095028909692,92001,2,201402,60,7.85,3671.6233
143095028909692,92001,3,201402,28,7.50,5447.5781
396908100013409,92001,2,201402,63,12.00,3671.6233
396908100013409,92001,3,201402,22,12.00,4256.5110
396908100013409,92001,4,201402,22,2.17,4256.5110
308900003991164,92001,2,201402,47,12.00,4372.9368
